"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.626635080E-1,1.541913033E0,6.838048935E0,4.946571827E0
4.627372900E-1,2.992843390E-1,7.235498428E0,3.517189741E0
5.627916040E-1,-2.387091875E0,1.123872566E1,1.826831698E0
6.628760840E-1,-4.467716694E0,1.134646797E1,1.968093872E0
7.629286330E-1,-1.855562925E0,9.842864037E0,3.035940409E0
8.629921460E-1,-2.662433624E0,8.085466385E0,6.067092419E0
9.630601600E-1,-4.333637357E-1,6.553130150E0,7.302538395E0
1.063133841E0,1.118126392E0,6.948185444E0,5.760625362E0
1.163187523E0,3.715914488E0,6.964945316E0,8.166871071E0
1.263264871E0,5.719922543E0,2.837215662E0,1.266810799E1
1.363332848E0,6.033572674E0,2.901860952E0,1.207432747E1
1.463393261E0,5.497254848E0,2.885101080E0,1.019721603E1
1.563464147E0,7.925049663E-1,6.354405403E0,5.810904980E0
1.663546362E0,-1.245022863E-1,8.315316200E0,3.505218267E0
1.763604610E0,-8.786988258E-1,1.066170597E1,8.068706393E-1
1.863667828E0,-3.622537851E0,1.149012470E1,1.139674783E0
1.963729176E0,-1.939362645E0,1.143984509E1,1.635289669E0
2.063799287E0,-2.037527800E0,8.827691078E0,5.054314137E0
2.163863399E0,2.681587696E0,7.881952763E0,3.799714088E0
2.263937711E0,2.346389294E0,6.735095024E0,5.276981831E0
2.364004858E0,2.700742006E0,4.209135056E0,3.888302326E0
2.464082105E0,5.006428719E0,3.988861799E0,1.279500484E1
2.564142285E0,4.405465603E0,3.062277555E0,1.254121113E1
2.664204561E0,5.011217117E0,5.171633720E0,8.849239349E0
2.764275442E0,7.541965842E-1,5.348809719E0,8.023215294E0
2.864349155E0,2.533142805E0,7.295355320E0,4.199557781E0
2.964401602E0,-6.273000240E-1,9.033598900E0,2.899466753E0
3.064479480E0,-4.470110893E0,1.399214172E1,-4.716721475E-1
3.164532029E0,-3.328042030E-1,1.073592854E1,-9.672870040E-1
3.264613178E0,-1.376708031E0,9.107821465E0,4.077449799E0
3.364682992E0,2.243435383E0,7.029590607E0,4.774183750E0
3.464746843E0,1.963305324E-1,5.446975231E0,6.675238132E0
3.564815624E0,8.229122162E0,6.086246490E0,6.105400562E0
3.664875304E0,8.854028702E0,1.051086664E0,1.386045647E1
3.764951585E0,1.041749001E1,4.278569221E0,6.589044094E0
3.865007141E0,2.774964571E0,4.125335693E0,9.622590065E0
3.965074820E0,4.113364220E0,6.878751755E0,2.971295118E0
4.065144366E0,1.580221355E-1,8.107014656E0,3.845205307E0
4.165213648E0,-1.110943556E0,1.160265541E1,8.930644989E-1
4.265278428E0,-4.829252243E0,1.518209648E1,-1.369525194E0
4.366467679E0,2.494834423E0,1.085324764E1,-5.458946824E-1
4.466538592E0,4.716721475E-1,8.097437859E0,3.052700281E0
4.566600877E0,3.557892323E0,6.871568680E0,1.934574008E0
