"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.336112270E-1,8.087568879E-1,2.474639565E-1,-1.350128353E-1
3.336878420E-1,7.152944803E-1,1.619428247E-1,1.814153790E-1
4.337486920E-1,2.046111524E-1,4.160236567E-2,-7.159456611E-1
5.338116070E-1,3.353362978E-1,1.491146535E-1,-8.906531334E-1
6.338767870E-1,4.746135771E-1,2.517400086E-1,-7.605388165E-1
7.339499020E-1,-2.211619318E-1,1.008562893E-1,3.200818002E-1
8.340084500E-1,-9.603089094E-1,7.893014550E-1,2.302845865E-1
9.340746960E-1,-6.127265692E-1,2.205467783E-2,3.151948452E-1
1.034150609E0,1.991133541E-1,-4.788548350E-1,5.949711204E-1
1.134205659E0,6.655560434E-2,-3.236950338E-1,2.840407491E-1
1.234279240E0,-1.948947310E-1,-2.070197910E-1,3.561228216E-1
1.334350386E0,-4.850557148E-1,3.280981779E-1,2.742668688E-1
1.434412197E0,4.911069274E-1,1.882100254E-1,-3.561460674E-1
1.534481316E0,7.769919038E-1,3.586414158E-1,-9.164139628E-2
1.634549998E0,5.833476186E-1,4.893274978E-2,-5.504012108E-1
1.734622879E0,7.091858387E-1,-3.475579247E-2,-8.002450466E-1
1.834686898E0,3.994771838E-1,-9.278798848E-2,-4.483866990E-1
1.934753812E0,-1.576319486E-1,5.021947622E-1,2.217324823E-1
2.034819091E0,-5.919571519E-1,3.800216913E-1,7.458548546E-1
2.134881135E0,-1.820665598E-1,6.909129769E-2,8.356520534E-1
2.234950081E0,-3.500545025E-1,-2.711606324E-1,2.198998928E-1
2.335022594E0,-1.050975323E-1,-1.135574058E-1,-6.476332247E-2
2.435108941E0,-9.010549188E-1,2.712876797E-1,-1.020260975E-1
2.535151955E0,-8.931137323E-1,-3.536665440E-2,3.952181935E-1
2.635220931E0,-2.010033727E-1,6.579654217E-1,-7.373259068E-1
2.735291944E0,5.576912761E-1,2.132554948E-1,3.170274794E-1
2.835360592E0,8.050916791E-1,1.924860775E-1,-1.533387750E-1
2.935420005E0,9.071062207E-1,-5.020676851E-1,-7.147239447E-1
3.035494250E0,3.732099533E-1,-4.086444154E-2,-7.562627792E-1
3.135551699E0,9.893145412E-2,-1.293138146E0,5.986363292E-1
3.235628481E0,-7.129084468E-1,2.529617548E-1,5.570974946E-1
3.335689662E0,-6.389937997E-1,2.506990917E-3,5.894733071E-1
3.435761112E0,-4.722275436E-1,-4.855743349E-1,2.144020945E-1
3.535833793E0,-1.124279201E-1,-9.803751707E-1,5.522105694E-1
3.635892441E0,-8.790637851E-1,-4.800765514E-1,-4.795408249E-1
3.735966420E0,-3.384480476E-1,6.298655868E-1,-4.819842875E-1
3.836036044E0,5.558586717E-1,5.553400517E-1,-3.708068132E-1
3.936098590E0,6.554296613E-1,3.390937448E-1,-1.631126255E-1
4.036159569E0,3.304494023E-1,-2.198479623E-1,-8.338426352E-1
4.136228484E0,2.156067193E-1,1.094084084E-1,-6.029356122E-1
4.236291964E0,2.437065244E-1,-1.905264258E-1,2.808819339E-2
4.336360910E0,-3.909824491E-1,-2.070197910E-1,1.224773169E0
4.436518998E0,-3.750999868E-1,7.208845019E-1,9.566034079E-1
4.536581216E0,-3.372263312E-1,-3.456861973E-1,2.980906367E-1
4.636654296E0,-5.235401988E-1,-3.627904356E-1,4.599699080E-1
4.736715944E0,-6.884738207E-1,-2.992604375E-1,5.069020763E-2
4.836782892E0,-1.692383885E-1,4.991404414E-1,2.907602489E-1
4.936850771E0,1.129813641E-1,1.062969089E0,-1.711583324E-2
5.036919916E0,5.240936875E-1,2.419661731E-1,4.043811858E-1
5.136978630E0,3.188429475E-1,3.299307525E-1,-1.142434105E-1
5.237052679E0,6.041169763E-1,-3.554600477E-1,-2.718466520E-1
5.337119663E0,5.295914412E-1,-5.405521989E-1,-7.416020036E-1
5.437188377E0,4.245226383E-1,-6.670013666E-1,2.136867680E-2
5.537253993E0,-7.318452597E-1,-1.294398904E-1,5.241107941E-1
5.637320073E0,1.050401106E-1,-3.530165851E-1,1.104432702E0
5.737387685E0,-4.099192917E-1,3.543653786E-1,5.644278526E-1
5.837453431E0,-1.091034055E0,1.796007276E0,-8.002450466E-1
5.937527243E0,-4.820013940E-1,-1.722004712E-1,-9.164139628E-2
6.037591591E0,7.755117863E-2,-5.142850280E-1,6.450620890E-1
6.137656271E0,5.283697248E-1,1.918752193E-1,4.361461699E-1
6.237721020E0,8.673999906E-1,1.845448315E-1,1.985195875E-1
6.337791267E0,4.428485930E-1,-8.118154854E-2,-3.500373960E-1
6.437857746E0,4.202465713E-1,5.076534674E-2,-5.223013759E-1
6.537923724E0,2.009459585E-1,-4.843525887E-1,-1.030541301E0
6.637992039E0,-2.996110730E-2,-6.713164598E-2,-6.860132813E-1
6.738064917E0,-4.050323665E-1,-2.290109396E-1,7.684568763E-1
6.838129198E0,-1.093735918E-1,5.840507150E-1,1.116649985E0
6.938193346E0,-2.339901030E-1,-3.921119571E-1,4.385896325E-1
7.038261191E0,-3.787651658E-1,-1.037835628E-1,1.136093289E-1
7.138324838E0,-4.270235300E-1,-5.558238626E-1,1.032246202E-1
7.238392686E0,-4.655080140E-1,6.329199076E-1,6.517816186E-1
7.338460831E0,5.686868429E-1,5.394575000E-1,-4.471649826E-1
7.438528010E0,6.700904369E-1,3.610457852E-2,-2.566794679E-2
7.538596060E0,6.786425710E-1,4.545472860E-1,2.321171910E-1
7.638664641E0,4.233008921E-1,-2.271783501E-1,-9.089790583E-1
7.738735021E0,4.373508096E-1,-3.047582507E-1,-8.924857378E-1
7.838796434E0,5.063785911E-1,-6.474536061E-1,-5.504012108E-1
7.938869313E0,-7.959861159E-1,-6.144669056E-1,9.761510491E-1
8.038936627E0,-5.406444669E-1,1.265126318E-1,1.651768088E0
8.138998974E0,-3.506653607E-1,-3.212516010E-1,6.065775752E-1
8.239068789E0,-3.860955536E-1,1.601102352E-1,3.316882253E-1
8.339133537E0,-5.101011992E-1,-1.544853747E-1,2.944254577E-1
8.439205285E0,-1.325864643E-1,1.716775633E-2,-6.965024769E-2
8.539272300E0,8.044808507E-1,2.688442469E-1,2.253976762E-1
8.639332681E0,6.542079449E-1,2.859484553E-1,-2.261362039E-2
8.739404404E0,6.529862285E-1,1.289560944E-1,-2.852856815E-1
8.839475216E0,5.192067027E-1,-6.670013666E-1,-9.425766468E-1
