"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-2.018395662E0,-9.108368158E-1,1.283588409E-1
1.000669630E-1,-2.506487370E0,-1.372592330E0,3.000020981E-1
2.001331830E-1,-1.939085126E0,-2.076843262E0,4.951353073E-1
3.002052810E-1,-1.169051826E-1,4.753875732E-1,-4.686431885E-1
4.002722790E-1,1.604700565E0,3.208814621E0,-3.876043320E0
5.003392440E-1,-1.092918873E0,2.466756344E0,-4.114000797E0
6.004016760E-1,-1.518971086E0,3.071673393E0,-3.840982914E0
7.004787070E-1,-3.303650379E0,5.658874512E0,-6.191281319E0
8.005481360E-1,7.310258746E-1,8.630132675E-2,-2.048700094E0
9.006178670E-1,1.040701509E0,-2.879867554E-1,3.152465820E-2
1.000674831E0,1.014250517E-1,-1.142055988E0,4.789600372E-1
1.100743795E0,1.602422476E0,-1.292109013E0,-1.430940628E-2
1.200806293E0,1.350253463E0,-2.739466667E0,2.969723225E0
1.300875458E0,5.112718105E0,-5.492434502E0,6.058865547E0
1.400939190E0,6.679660797E0,-3.224670172E0,1.967366219E0
1.501008420E0,5.290265083E-1,-1.728551388E0,1.984193802E0
1.601073652E0,-1.763392925E0,2.930068970E-1,-2.217984676E0
1.701140651E0,-1.702149868E0,2.129511356E0,-4.204258919E0
1.801207649E0,-2.921494007E0,3.093012810E0,-4.046891212E0
1.901280413E0,-4.468233109E0,3.392881393E0,-4.377638340E0
2.001347578E0,-1.878728122E-1,4.677228928E-1,-1.290424109E0
2.101416443E0,2.309679985E-2,-1.033175468E0,5.525932312E-1
2.201477974E0,1.417811275E0,-8.817615509E-1,-1.335887909E-1
2.301548906E0,7.135114670E-1,-2.252038479E0,1.745399475E0
2.401617170E0,5.818041801E0,4.089040756E-1,6.960722446E0
2.501687668E0,4.268165112E0,-4.651581287E0,9.517239571E0
2.601752466E0,6.676472187E0,-1.792569160E0,-6.780929565E-1
2.701817264E0,-1.260082722E-1,-9.908294678E-1,1.791417599E0
2.801880729E0,-6.021910906E-1,-2.634510994E-1,-1.121917248E0
2.901946661E0,-6.712921858E-1,9.439706802E-1,-2.114411831E0
3.002013127E0,-4.479187012E0,2.347818851E0,-3.168756485E0
3.102080526E0,-4.344399929E0,6.534914017E0,-7.021151543E0
3.202146391E0,-1.174652338E0,1.695653915E0,-3.980354071E0
3.302214556E0,6.754641533E-1,-1.026735306E-1,-1.691009521E0
3.402283620E0,1.292184711E0,-1.434495926E0,-3.898375034E-1
3.502351685E0,3.026680946E-1,-3.524266243E0,-3.102288246E-1
3.602421884E0,2.740127563E0,-4.538275719E0,6.697839737E0
3.702489415E0,9.247768402E0,-4.570425034E0,3.825292110E0
