"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.238460610E1,5.208819500E0,-2.813363066E0,0.000000000E0,0.000000000E0,2.063699913E1,2.000000000E0
2.015175288E0,5.238474282E1,5.208738684E0,3.076826089E0,2.855050266E-1,2.975067902E1,3.200000000E1,0.000000000E0
3.031615210E0,5.238444992E1,5.208826489E0,1.885523294E1,7.957172394E-1,3.442051392E2,6.000000000E0,0.000000000E0
4.098361979E0,5.238448444E1,5.208797286E0,2.189945093E1,3.278303444E-1,3.130711060E2,6.000000000E0,0.000000000E0
5.052954632E0,5.238448788E1,5.208775796E0,2.285750925E1,5.121331811E-1,3.194917908E2,6.000000000E0,0.000000000E0
6.044300016E0,5.238449388E1,5.208768703E0,8.429207408E0,3.654115498E-1,1.253044033E1,3.200000000E1,0.000000000E0
7.086795554E0,5.238450710E1,5.208770416E0,4.963360382E0,6.205767393E-1,3.530639954E2,8.000000000E0,0.000000000E0
8.104235130E0,5.238450579E1,5.208772177E0,2.107177119E0,9.367477298E-1,1.841846771E2,1.600000000E1,0.000000000E0
9.019916052E0,5.238449916E1,5.208785071E0,-2.008428266E1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.001855848E1,5.238453691E1,5.208804579E0,-1.699606462E1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.139702513E1,5.238454951E1,5.208789265E0,-1.533325492E1,0.000000000E0,0.000000000E0,1.200000000E1,0.000000000E0
1.241611090E1,5.238455434E1,5.208792229E0,-1.567720869E1,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
1.341006647E1,5.238456061E1,5.208791929E0,-1.584508086E1,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
1.441917386E1,5.238456627E1,5.208788806E0,-1.625104834E1,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
1.543108824E1,5.238457127E1,5.208789906E0,-1.684280813E1,0.000000000E0,0.000000000E0,8.000000000E0,0.000000000E0
1.646462351E1,5.238457641E1,5.208788577E0,-1.741342284E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
1.741847732E1,5.238458028E1,5.208788000E0,-1.765767533E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
1.842575701E1,5.238458602E1,5.208788500E0,-1.762186152E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
1.940931974E1,5.238459093E1,5.208783059E0,-1.743263049E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
2.041462235E1,5.238459296E1,5.208779540E0,-1.730995964E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
2.142975043E1,5.238459485E1,5.208779127E0,-1.741553688E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
2.241903385E1,5.238459634E1,5.208777579E0,-1.715644414E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
2.342663593E1,5.238460035E1,5.208772050E0,-1.692219484E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
2.443438054E1,5.238460215E1,5.208764994E0,-1.672584355E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
2.541628069E1,5.238460139E1,5.208766121E0,-1.641199304E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
2.641842812E1,5.238460177E1,5.208765297E0,-1.631679319E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
2.743226062E1,5.238460382E1,5.208758775E0,-1.589656458E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
2.843197062E1,5.238460403E1,5.208752627E0,-1.552192848E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
2.942160962E1,5.238460199E1,5.208750038E0,-1.512072632E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
3.042794400E1,5.238460199E1,5.208750038E0,-1.476415806E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
3.142513427E1,5.238460199E1,5.208750038E0,-1.437514321E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
3.241150346E1,5.238460199E1,5.208750038E0,-1.405750976E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
3.342176684E1,5.238460199E1,5.208750038E0,-1.378042199E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
3.443339573E1,5.238460199E1,5.208750038E0,-1.353542540E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
3.542310461E1,5.238460199E1,5.208750038E0,-1.334241495E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
3.642082423E1,5.238460199E1,5.208750038E0,-1.323910909E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
3.742104715E1,5.238460199E1,5.208750038E0,-1.323919741E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
3.841735418E1,5.238460199E1,5.208750038E0,-1.323803245E1,0.000000000E0,0.000000000E0,6.000000000E0,0.000000000E0
3.941566815E1,5.238458716E1,5.208751304E0,-1.324030330E1,1.161552593E-1,0.000000000E0,4.000000000E0,0.000000000E0
4.041951057E1,5.238458694E1,5.208747583E0,-1.324159252E1,3.223244846E-1,0.000000000E0,4.000000000E0,0.000000000E0
4.141837180E1,5.238458654E1,5.208741934E0,-1.323602936E1,3.153558373E-1,0.000000000E0,4.000000000E0,0.000000000E0
4.242228587E1,5.238458662E1,5.208738309E0,-1.323519720E1,3.200341463E-1,0.000000000E0,4.000000000E0,0.000000000E0
4.342319049E1,5.238458227E1,5.208735837E0,-1.324053190E1,2.613802552E-1,2.172538300E2,4.000000000E0,0.000000000E0
4.444387872E1,5.238458153E1,5.208733471E0,-1.324125429E1,1.804209799E-1,2.172538300E2,4.000000000E0,0.000000000E0
4.542877645E1,5.238458113E1,5.208732494E0,-1.324218078E1,1.435243040E-1,2.172538300E2,4.000000000E0,0.000000000E0
4.641201433E1,5.238458072E1,5.208731403E0,-1.324333028E1,6.811390817E-2,2.172538300E2,4.000000000E0,0.000000000E0
4.742138768E1,5.238458017E1,5.208730589E0,-1.325616434E1,1.310164183E-1,2.172538300E2,4.000000000E0,0.000000000E0
4.846374983E1,5.238458031E1,5.208728182E0,-1.326991929E1,1.691448390E-1,2.172538300E2,4.000000000E0,0.000000000E0
4.942653387E1,5.238457897E1,5.208727015E0,-1.328414144E1,1.460896134E-1,2.172538300E2,4.000000000E0,0.000000000E0
5.042866895E1,5.238457766E1,5.208723988E0,-1.330024232E1,2.919851243E-1,2.098897400E2,4.000000000E0,0.000000000E0
5.141586310E1,5.238457517E1,5.208720613E0,-1.331909337E1,4.603549540E-1,2.179927979E2,4.000000000E0,0.000000000E0
5.242304433E1,5.238457294E1,5.208720472E0,-1.334494130E1,3.776594400E-1,2.179927979E2,4.000000000E0,0.000000000E0
