"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.541665010E-1,1.046298146E0,9.759063721E0,8.164477348E-1
4.542313520E-1,9.289786220E-1,1.006313705E1,7.685621977E-1
5.542992020E-1,4.597007632E-1,9.110215187E0,1.201925993E0
6.543647830E-1,1.391073704E0,9.198803902E0,8.571503758E-1
7.544287630E-1,8.691217303E-1,1.000567436E1,1.312062621E0
8.545018840E-1,1.307274103E0,1.082212257E1,1.369525194E0
9.545646670E-1,1.350371003E0,9.591464996E0,1.355159521E0
1.054635882E0,1.477267504E0,9.115004539E0,8.954587579E-1
1.154700097E0,1.290514112E0,9.902720451E0,1.012778282E0
1.254761445E0,1.668809533E0,9.921875000E0,5.554717779E-1
1.354841063E0,1.340793848E0,9.538790703E0,1.060663700E0
1.454920608E0,5.842030644E-1,1.027143860E1,1.149251938E0
1.554975689E0,1.450930476E0,9.531607628E0,1.316851079E-1
1.655046036E0,8.068706393E-1,1.003680038E1,7.996878028E-1
1.755106485E0,1.594586968E0,1.038397026E1,5.985686779E-1
1.855180534E0,1.264177084E0,9.162889481E0,1.513181686E0
1.955240849E0,4.764606953E-1,1.076705360E1,3.088614643E-1
2.055308398E0,1.498816013E0,9.919480324E0,9.816526622E-2
2.155379316E0,1.103760719E0,9.083878517E0,9.672870040E-1
2.255439897E0,1.292908341E-1,1.044143200E1,1.391073704E0
2.355504845E0,2.753416002E-1,1.025946712E1,6.680026650E-1
2.455574195E0,4.357580245E-1,1.016369629E1,1.015172482E0
2.555648642E0,1.264177084E0,9.131764412E0,1.079817891E0
2.655708858E0,4.501236677E-1,1.020200539E1,1.625712633E0
2.755773509E0,8.212362528E-1,9.917086601E0,2.106961727E0
2.855844859E0,9.744698405E-1,9.505270958E0,1.410227895E0
2.955911774E0,4.237866402E-1,9.325700760E0,1.965699673E0
3.055978255E0,1.316851079E-1,1.029298782E1,2.162030220E0
3.156050404E0,7.781392932E-1,9.670475960E0,6.727912426E-1
3.256105256E0,1.000806928E0,8.729525566E0,2.887495518E0
