"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.309648300E-1,8.028724045E-2,2.570948564E-2,1.159513891E-1
3.310395790E-1,5.279830471E-2,1.654650643E-2,-1.660637185E-2
4.311009630E-1,-4.738359526E-2,1.484933943E-1,1.862009019E-1
5.311720820E-1,6.379388273E-2,-2.711710334E-1,9.334937483E-2
6.312319290E-1,2.042244747E-2,-3.799050152E-1,1.153405234E-1
7.312989750E-1,-4.127494246E-2,1.960083470E-2,1.073992774E-1
8.313788300E-1,-2.478158101E-2,-1.398349851E-1,1.758161783E-1
9.314405140E-1,-3.211196512E-2,-1.642696112E-1,8.296465874E-2
1.031503329E0,7.967637479E-2,-3.293357790E-2,3.776063398E-2
1.131569409E0,1.003773790E-2,-3.049011528E-2,2.136898190E-1
1.231635557E0,-9.258762002E-2,-2.339082509E-1,8.785158396E-2
1.331727709E0,-1.732218266E-1,-3.634116948E-1,6.769303232E-2
1.431783822E0,-1.933803856E-1,-4.159460664E-1,-1.110858470E-2
1.531837435E0,1.517584622E-1,-4.416024089E-1,7.217372768E-3
1.631918750E0,-1.212982833E-1,-6.328032017E-1,-3.167336341E-3
1.731977030E0,-6.998561323E-2,-6.010382771E-1,-3.981925175E-2
1.832054047E0,-5.227051675E-2,-6.914463043E-1,-8.380155265E-2
1.932116596E0,1.248119865E-2,-7.458133101E-1,3.653890640E-2
2.032172877E0,-1.451220363E-1,-5.784361959E-1,-1.094578877E-1
2.132244460E0,-1.457328945E-1,-4.666478932E-1,-1.723770201E-1
2.232305811E0,-2.764580548E-1,-5.497255921E-1,-1.754313409E-1
2.332376625E0,-7.670512050E-2,-7.543654442E-1,-4.389066715E-3
2.432448108E0,-3.503727317E-1,-1.040861249E0,5.669745803E-2
2.532513890E0,-3.778617084E-1,-8.582125306E-1,-1.966069825E-2
2.632581671E0,-4.664371610E-1,-5.485038161E-1,-1.674900800E-1
2.732641654E0,-3.070013225E-1,-5.442277789E-1,-1.345033497E-1
2.832722039E0,-1.866608709E-1,-5.601102710E-1,-1.210643277E-1
2.932784053E0,-3.008926809E-1,-6.181424856E-1,-1.112904847E-1
3.032844202E0,-2.428604662E-1,-7.140483260E-1,-1.100687534E-1
3.132919717E0,2.653109841E-2,-9.962680936E-1,5.995642394E-3
3.232977702E0,-4.511655271E-1,-7.507002354E-1,4.081496224E-2
3.333041685E0,-7.677354384E-3,-4.623718560E-1,-2.059745938E-1
3.433130736E0,-1.561860275E-2,-4.825303853E-1,7.196908444E-2
3.533193384E0,6.562647223E-2,-3.566921651E-1,-1.167882681E-1
3.633246864E0,-1.188548282E-1,-2.143605500E-1,-1.314490288E-1
3.733323979E0,-9.075503051E-2,-1.990889311E-1,9.457110614E-2
3.833386692E0,-3.943550289E-1,-3.756289780E-1,-4.833074212E-1
3.933460108E0,-2.417071536E-2,-4.148568958E-2,-1.400011480E-1
4.033517291E0,8.211983740E-2,1.955300272E-1,-1.876486391E-1
4.133597172E0,8.205141872E-3,5.846511722E-1,1.226709038E-1
4.233648554E0,-7.670512050E-2,2.737207711E-1,2.981938794E-2
4.333796988E0,4.546792060E-2,-6.666372530E-3,-1.467206776E-1
4.433858637E0,1.493150145E-1,9.216123261E-3,8.968418092E-2
4.533932884E0,4.363532737E-2,-3.854028285E-1,-1.253403872E-1
4.633998001E0,5.150815938E-3,-4.269416630E-1,-2.841653526E-1
4.734060985E0,1.377085745E-1,2.248515636E-1,-2.071963400E-1
4.834127200E0,-8.586810529E-2,4.624781609E-1,-1.259512454E-1
4.934191449E0,-1.866608709E-1,5.321167707E-1,1.196165755E-1
5.034259029E0,-1.475654840E-1,4.875236154E-1,1.367208064E-1
5.134329512E0,-9.686367959E-2,5.315059423E-1,3.297542036E-1
5.234400395E0,7.051339746E-2,2.767751217E-1,2.859765664E-2
5.334466813E0,1.468715519E-1,3.311421275E-1,2.839393318E-1
5.434525930E0,-2.417071536E-2,-2.662840784E-1,1.721509844E-1
5.534606979E0,-3.401297610E-3,-3.548595607E-1,1.745944470E-1
5.634660092E0,1.835234612E-1,-2.730036378E-1,1.440511942E-1
5.734735072E0,1.493150145E-1,-4.813086689E-1,2.222419381E-1
5.834794652E0,1.487041414E-1,-7.922390699E-1,1.379425377E-1
5.934861634E0,6.990253180E-2,-7.073287964E-1,-1.130100718E-4
6.034928713E0,-2.208693177E-1,-6.395227909E-1,-4.429903328E-1
6.135000827E0,-2.776797712E-1,-4.416024089E-1,-3.079890907E-1
6.235064642E0,3.874840587E-2,-4.299960136E-1,-2.556471154E-3
6.335128725E0,4.485705495E-2,3.181813657E-2,-6.119953468E-2
6.435207005E0,5.035484210E-2,4.349891841E-1,1.821294799E-2
6.535265354E0,-5.104878545E-2,4.893561900E-1,-2.328526676E-1
6.635336237E0,-9.442021698E-2,5.192885995E-1,-1.497749984E-1
6.735402653E0,-8.464637399E-2,6.011445522E-1,-1.155665442E-1
6.835466469E0,-1.561860275E-2,5.461666584E-1,-3.004540689E-2
6.935536685E0,1.603105962E-1,2.920467257E-1,1.882381178E-2
7.035601697E0,-2.190367281E-1,-6.164424494E-2,1.361099333E-1
7.135669814E0,1.413737684E-1,3.115944266E-1,1.214491725E-1
7.235742627E0,1.309890598E-1,-5.858992040E-2,2.546178102E-1
7.335801680E0,3.997013345E-2,-4.434350133E-1,2.472874075E-1
7.435869699E0,-7.853771746E-2,-1.367806643E-1,9.762542695E-2
7.535941486E0,1.163282916E-1,-1.783194989E-1,-8.319067955E-2
7.636007603E0,-6.021176651E-2,4.403544217E-2,9.457110614E-2
7.736074884E0,-1.684033312E-2,1.203936040E-1,1.599336863E-1
7.836143200E0,1.248804033E-1,4.953322932E-2,2.252962589E-1
7.936207813E0,7.723291963E-2,-4.759434611E-2,9.762542695E-2
8.036272661E0,-8.288219571E-3,2.815294638E-2,2.941316226E-3
8.136338341E0,-5.104878545E-2,6.969177723E-2,3.898236528E-2
8.236410787E0,-1.188548282E-1,-2.571211159E-1,-1.540510505E-1
8.336478803E0,2.164417692E-2,9.962418675E-2,2.004554309E-2
8.436550486E0,5.646349862E-2,-9.035491198E-2,-1.589379758E-1
8.536610433E0,6.372546311E-3,-1.239525005E-1,-8.074722439E-2
8.636678248E0,-9.991800785E-2,-9.951788932E-2,-9.724058211E-2
8.736740828E0,-1.219091564E-1,-1.155329403E-2,-4.714963585E-2
8.836809276E0,-1.555067450E-1,-3.049011528E-2,-1.400011480E-1
8.936875157E0,-7.487253100E-2,-2.723927498E-1,-1.760421991E-1
9.036952236E0,-2.722504176E-2,-2.675058246E-1,-1.235077903E-1
9.137010285E0,4.180273041E-2,-2.693384290E-1,-5.570174754E-2
9.237079932E0,1.248804033E-1,-1.276176870E-1,-1.904983260E-2
9.337143983E0,5.035484210E-2,-2.315973490E-2,-4.776049778E-2
9.437219903E0,-6.632041931E-2,1.423847526E-1,3.104111739E-2
9.537278885E0,3.202888370E-2,6.175053492E-2,1.183948442E-1
9.637344801E0,-1.078592539E-1,2.651686668E-1,3.470630944E-2
9.737413653E0,1.395411640E-1,3.256443143E-1,3.552181413E-3
9.837481499E0,-1.530632824E-1,1.649867594E-1,2.088029087E-1
9.937551945E0,1.560345292E-1,6.358312815E-2,1.978073269E-1
1.003761943E1,-1.195341069E-2,2.370688617E-1,2.356809676E-1
1.013768758E1,8.334156871E-2,1.668193489E-1,8.662985265E-2
1.023775153E1,-1.286286712E-1,6.480485946E-2,2.371073514E-2
1.033782211E1,1.089979112E-1,-9.463096410E-2,2.493246458E-2
1.043788509E1,5.646349862E-2,-7.691587508E-2,9.396023303E-2
1.053795247E1,-1.683349162E-1,-1.380023956E-1,-7.830376178E-2
1.063801702E1,-3.150109947E-2,-4.087482393E-2,-2.957717776E-1
1.073808387E1,-4.066407681E-2,3.792679310E-2,-1.705444157E-1
1.083815801E1,1.981158182E-2,1.497151405E-1,-1.735987365E-1
1.093821856E1,1.450389624E-1,9.046120197E-2,-3.238715827E-1
1.103828777E1,1.083870381E-1,-2.736144662E-1,4.448015243E-2
1.113835326E1,-9.258762002E-2,-1.777086407E-1,1.849791557E-1
1.123842860E1,-1.512306780E-1,-8.363538980E-2,6.524956971E-2
1.133849699E1,1.010566577E-1,-1.282285601E-1,7.624514401E-2
1.143856700E1,-5.471397936E-2,-1.282285601E-1,-7.769289613E-2
1.153862282E1,9.861319512E-2,6.541572511E-2,-8.074722439E-2
1.163868640E1,-1.353481859E-1,2.279058844E-1,7.502341270E-2
1.173875368E1,-1.090809852E-1,1.600998342E-1,3.853429556E-1
1.183893878E1,-1.726109833E-1,-2.315973490E-2,1.672640741E-1
1.193900463E1,1.370977014E-1,9.107206762E-2,2.326266468E-1
1.203907227E1,-2.361409664E-1,3.914852068E-2,1.428294480E-1
1.213914416E1,-1.011397392E-1,-9.829615802E-2,1.764270514E-1
1.223921327E1,1.395411640E-1,-6.042251736E-2,-1.210643277E-1
1.233928015E1,-2.355985157E-2,-2.137496918E-1,1.049558073E-1
1.243934417E1,1.279347241E-1,-1.929802746E-1,-1.314490288E-1
1.253940778E1,-1.280178130E-1,-4.820520803E-2,-8.563414961E-2
1.263947513E1,5.340916663E-2,3.487246484E-2,-3.403649628E-1
1.273953934E1,-1.304612756E-1,2.204429358E-2,-2.994369864E-1
1.283961069E1,3.325061873E-2,-7.202894986E-2,-2.493460178E-1
1.293967631E1,8.816007525E-3,1.998060793E-1,-2.016985416E-1
1.303974529E1,-4.188580811E-2,4.863018692E-1,-1.357250959E-1
1.313981324E1,-7.670512050E-2,4.991300404E-1,2.126727253E-2
1.323988332E1,3.263975307E-2,4.007807374E-1,1.354990751E-1
1.333994677E1,1.096087694E-1,4.007807374E-1,1.409968585E-1
1.344001325E1,2.638937731E-4,3.256443143E-1,1.342773438E-1
1.354008730E1,5.646349862E-2,2.615034878E-1,1.275578290E-1
1.364014329E1,2.934792042E-1,3.781787455E-1,9.090591222E-2
1.374021164E1,8.273070306E-2,3.494680822E-1,1.519924253E-1
1.384028005E1,1.529802084E-1,4.911888242E-1,2.472874075E-1
1.394034844E1,-5.715744197E-2,5.370036960E-1,3.407498002E-1
1.404041975E1,2.995878458E-1,3.891743124E-1,2.143006921E-1
1.414048343E1,-1.774978936E-1,3.396942019E-1,6.341698021E-2
1.424054941E1,2.513295114E-1,3.427485228E-1,-1.259512454E-1
1.434062273E1,-9.509949945E-3,5.498318672E-1,-2.982152402E-1
1.444068574E1,1.792474091E-1,6.524572372E-1,-4.837136343E-2
1.454075656E1,1.273238659E-1,3.946720958E-1,1.245035008E-1
1.464081784E1,-3.344902694E-1,7.813497782E-1,4.997793958E-2
1.474088642E1,1.614639163E-2,9.016902447E-1,-1.021274999E-1
1.484095640E1,-6.143349409E-2,4.227718711E-1,-8.624500781E-2
1.494102095E1,3.318219911E-3,-3.049011528E-2,1.697075367E-1
1.504108697E1,-2.050552331E-2,4.026133418E-1,-3.493232653E-2
1.514115768E1,2.855379581E-1,2.217972279E-1,2.124680877E-1
1.524122016E1,-1.512306780E-1,5.113473535E-1,4.448015243E-2
1.534128818E1,1.328216493E-1,7.758519650E-1,4.012254775E-1
1.544136132E1,1.389302909E-1,2.670012414E-1,1.330556124E-1
1.554142514E1,2.330035567E-1,4.997408986E-1,8.418639004E-2
1.564149209E1,8.700676262E-2,5.357819796E-1,2.057485878E-1
1.574156330E1,1.987951100E-1,2.022495419E-1,3.841212094E-1
1.584162788E1,-1.096918508E-1,3.036531806E-1,4.177187979E-1
1.594170010E1,2.653109841E-2,6.724832207E-2,1.760208048E-2
1.604175845E1,-9.686367959E-2,3.451920152E-1,2.045268416E-1
1.614182386E1,1.994059533E-1,1.051219702E-1,-2.420156449E-1
1.624190428E1,3.857198358E-1,2.254624218E-1,3.898236528E-2
