"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,2.274048328E-1,3.204774857E-1,4.909247160E-2
1.000665330E-1,6.107529402E-1,2.287139893E-1,-2.153019905E-1
2.001360830E-1,1.059209108E0,1.535720825E-1,-6.840610504E-1
3.002033800E-1,-3.251730800E-1,-3.865470886E-1,4.398545027E-1
4.002735430E-1,5.526638031E-2,9.488372803E-1,1.492421627E-1
5.003410410E-1,-3.775371313E-1,-3.762636185E-1,8.697210550E-1
6.004078390E-1,-3.316087127E-1,-5.861282349E-3,3.139216304E-1
7.004714020E-1,-1.207780838E-2,-2.241125107E-1,4.281729460E-1
8.005358650E-1,-2.634433508E-1,7.028141022E-1,7.316037416E-1
9.006030290E-1,1.758165359E-1,1.608304977E-1,-3.094961643E-1
1.000669427E0,-1.486667395E-1,4.198074341E-3,-8.235509992E-1
1.100735055E0,-5.366649628E-1,-5.188817978E-1,-7.517236471E-2
1.200801787E0,-2.887642384E-2,4.358282089E-1,-2.714961767E-1
1.300874552E0,-4.891952276E-1,2.417011261E-1,-5.299626589E-1
1.400948449E0,-3.358979225E-1,-2.957057953E-2,1.269168854E-1
1.501016347E0,-2.837580442E-1,-5.007057190E-1,-1.097139716E-1
1.601083344E0,-5.206199884E-1,-2.005815506E-1,-2.309026718E-1
1.701146041E0,2.490675449E-2,8.396253586E-1,2.744521499E-1
1.801219172E0,-6.311278343E-1,-1.669473648E-1,1.188474298E-1
1.901282136E0,-9.862658978E-1,6.105470657E-1,9.992206097E-1
2.001348201E0,3.904056549E-2,5.445213318E-1,-3.321633935E-1
2.101414465E0,-4.700969458E-1,8.517341614E-1,-4.211920500E-2
2.201487528E0,-4.511387348E-1,-4.075021744E-1,5.164765716E-1
2.301554626E0,-8.272430897E-1,1.120949745E0,1.375615597E-1
2.401615857E0,-1.134286642E0,5.332098007E-1,-9.348976612E-1
2.501677022E0,-2.169749737E-1,8.810415268E-1,-1.172315240E0
2.601745852E0,-1.039206505E0,-6.585807800E-1,-3.955395222E-1
2.701813316E0,-2.044141293E-1,1.158823967E0,1.158409119E-1
2.801880080E0,-2.830131054E-1,-3.521232605E-1,-8.156899214E-1
2.901945878E0,-3.204551339E-1,-2.460880280E-1,-7.707198858E-1
3.002014476E0,-4.092352986E-1,-8.202171326E-2,-2.227536440E-1
3.102082039E0,-9.939385653E-1,1.232896805E0,-4.653341770E-1
3.202153904E0,-2.063526511E-1,-1.054032326E0,-1.858848333E-1
3.302218335E0,7.129436731E-1,1.150482178E0,9.500751495E-1
3.402291366E0,-2.007068396E-1,3.609867096E-1,-3.210268021E-1
3.502353797E0,-1.156842709E-1,9.925527573E-1,1.850679398E0
3.602421794E0,6.042999029E-1,-7.334613800E-1,-1.093790412E0
