"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.238477370E1,5.208201700E0,-2.813307025E0,0.000000000E0,0.000000000E0,2.718899918E1,2.000000000E0
4.605734914E0,5.238466162E1,5.208623156E0,5.257892125E1,3.807827234E0,4.657986450E1,6.000000000E0,0.000000000E0
5.600535028E0,5.238468696E1,5.208644371E0,1.706663652E1,1.711560249E0,4.682126617E1,1.600000000E1,0.000000000E0
6.650304258E0,5.238470218E1,5.208659671E0,6.646851795E1,1.267286777E0,4.920144272E1,3.200000000E1,0.000000000E0
7.611267373E0,5.238471451E1,5.208747885E0,3.132488115E1,2.213926315E-1,0.000000000E0,3.200000000E1,0.000000000E0
8.640716449E0,5.238473307E1,5.208806351E0,1.983082510E1,3.362932205E-1,0.000000000E0,1.600000000E1,0.000000000E0
1.001336226E1,5.238473524E1,5.208852031E0,1.283501801E1,1.118443489E0,8.397254944E1,1.600000000E1,0.000000000E0
1.102067156E1,5.238474075E1,5.208872744E0,1.255304054E1,1.552397966E0,7.643323517E1,1.200000000E1,0.000000000E0
1.201390664E1,5.238475368E1,5.208922987E0,9.693898203E0,1.587999701E0,4.568410492E1,1.200000000E1,0.000000000E0
1.306989145E1,5.238477135E1,5.208944465E0,9.519747312E0,1.861898899E0,1.895665741E1,1.200000000E1,0.000000000E0
1.404603356E1,5.238479070E1,5.208955071E0,6.506869200E0,1.757924080E0,1.586102962E1,1.200000000E1,0.000000000E0
1.501859041E1,5.238479816E1,5.208942152E0,3.847806575E0,1.658046007E0,1.259924531E0,1.200000000E1,0.000000000E0
1.602241314E1,5.238481509E1,5.208937508E0,3.612655424E0,1.912375689E0,3.522247009E2,1.200000000E1,0.000000000E0
1.703272075E1,5.238483364E1,5.208927743E0,2.540594863E0,2.078780890E0,3.515022278E2,1.200000000E1,0.000000000E0
1.802838633E1,5.238485432E1,5.208916194E0,2.018766989E0,2.375577450E0,3.433870544E2,1.200000000E1,0.000000000E0
1.902974533E1,5.238487771E1,5.208897068E0,7.364082594E-1,2.469904423E0,3.496070557E2,1.200000000E1,0.000000000E0
2.003211056E1,5.238490288E1,5.208893707E0,1.398138605E0,2.469054461E0,3.422308655E2,1.200000000E1,0.000000000E0
2.104138409E1,5.238492987E1,5.208879253E0,1.619355483E0,2.578210831E0,3.399519653E2,1.200000000E1,0.000000000E0
2.202589625E1,5.238494853E1,5.208861402E0,-2.861630238E-2,2.246739864E0,3.404556885E2,1.200000000E1,0.000000000E0
2.306586609E1,5.238496203E1,5.208847005E0,-1.467561832E0,1.930438995E0,3.390291748E2,1.200000000E1,0.000000000E0
2.402756267E1,5.238497750E1,5.208836161E0,-2.256861053E0,1.704816341E0,3.477788086E2,1.200000000E1,0.000000000E0
2.505868948E1,5.238499472E1,5.208829921E0,-1.616302970E0,1.695581079E0,3.463256836E2,1.200000000E1,0.000000000E0
2.603799286E1,5.238501336E1,5.208819488E0,-1.654174088E0,1.924900532E0,3.425791931E2,1.200000000E1,0.000000000E0
2.703279232E1,5.238503916E1,5.208802202E0,-1.330207306E0,2.394423962E0,3.412477112E2,1.200000000E1,0.000000000E0
2.803506040E1,5.238505895E1,5.208786145E0,-2.476222919E0,2.675145149E0,3.423200378E2,8.000000000E0,0.000000000E0
2.903053086E1,5.238508350E1,5.208753027E0,-3.839351474E0,2.913198233E0,3.422536621E2,8.000000000E0,0.000000000E0
3.002417740E1,5.238511417E1,5.208725813E0,-4.963846028E0,3.003416061E0,3.430228882E2,8.000000000E0,0.000000000E0
3.102756066E1,5.238514748E1,5.208698102E0,-5.692089618E0,3.160663366E0,3.433085938E2,8.000000000E0,0.000000000E0
3.203618832E1,5.238517732E1,5.208672710E0,-6.223679453E0,3.171896458E0,3.445641785E2,1.200000000E1,0.000000000E0
3.304748420E1,5.238520693E1,5.208653709E0,-6.844086678E0,3.171510220E0,3.448683472E2,1.200000000E1,0.000000000E0
3.405865170E1,5.238523704E1,5.208641125E0,-7.286355520E0,3.069215298E0,3.451252136E2,8.000000000E0,0.000000000E0
3.504189285E1,5.238525596E1,5.208629054E0,-7.934279927E0,2.884311914E0,3.450813904E2,8.000000000E0,0.000000000E0
3.603052535E1,5.238528126E1,5.208618024E0,-7.952065419E0,3.011672020E0,3.464933472E2,8.000000000E0,0.000000000E0
