"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.832480700E-1,-1.019999981E1,3.420000076E1,3.581999969E1
1.932460700E-1,-9.899999619E0,3.468000031E1,3.527999878E1
2.032450700E-1,-9.359999657E0,3.545999908E1,3.491999817E1
2.132437360E-1,-8.399999619E0,3.593999863E1,3.509999847E1
2.232422360E-1,-7.859999657E0,3.641999817E1,3.497999954E1
2.332410360E-1,-7.259999752E0,3.641999817E1,3.504000092E1
2.432397020E-1,-6.659999847E0,3.689999771E1,3.521999741E1
2.532382730E-1,-6.539999962E0,3.695999908E1,3.486000061E1
2.632370230E-1,-6.359999657E0,3.689999771E1,3.438000107E1
2.732358000E-1,-6.179999828E0,3.707999802E1,3.438000107E1
2.832346000E-1,-5.639999866E0,3.684000015E1,3.402000046E1
2.932333270E-1,-5.279999733E0,3.713999939E1,3.402000046E1
3.032319930E-1,-4.859999657E0,3.743999863E1,3.438000107E1
3.132307620E-1,-4.079999924E0,3.755999756E1,3.407999802E1
3.232295470E-1,-3.779999971E0,3.755999756E1,3.438000107E1
3.332284800E-1,-3.720000029E0,3.804000092E1,3.413999939E1
3.432274800E-1,-3.480000019E0,3.821999741E1,3.407999802E1
3.532265380E-1,-3.059999943E0,3.881999969E1,3.402000046E1
3.632255930E-1,-3.059999943E0,3.911999893E1,3.336000061E1
3.732246980E-1,-2.519999981E0,3.875999832E1,3.293999863E1
3.832237980E-1,-1.860000014E0,3.911999893E1,3.275999832E1
3.932229400E-1,-1.740000010E0,3.923999786E1,3.239999771E1
4.032221210E-1,-1.259999990E0,3.905999756E1,3.288000107E1
4.132212510E-1,-9.599999785E-1,3.936000061E1,3.293999863E1
4.232204170E-1,-1.019999981E0,3.911999893E1,3.234000015E1
4.332195370E-1,-1.079999924E0,3.881999969E1,3.197999954E1
4.432186130E-1,-1.139999986E0,3.845999908E1,3.150000000E1
4.532176870E-1,-8.999999762E-1,3.797999954E1,3.161999893E1
4.632167220E-1,-3.599999845E-1,3.809999847E1,3.197999954E1
4.732157220E-1,-1.799999923E-1,3.809999847E1,3.192000008E1
4.832147550E-1,1.799999923E-1,3.875999832E1,3.197999954E1
4.932138210E-1,2.999999821E-1,3.911999893E1,3.161999893E1
5.032127870E-1,-1.199999973E-1,3.911999893E1,3.173999977E1
5.132118530E-1,4.799999893E-1,3.947999954E1,3.173999977E1
5.232109190E-1,1.139999986E0,3.936000061E1,3.185999870E1
5.332099850E-1,1.740000010E0,3.936000061E1,3.185999870E1
5.432090510E-1,2.460000038E0,3.947999954E1,3.173999977E1
5.532081170E-1,2.819999933E0,3.941999817E1,3.155999947E1
5.632071500E-1,2.700000048E0,3.941999817E1,3.101999855E1
