"Time (s)","Pressure (hPa)"
2.205420700E-1,1.000271729E3
3.205310700E-1,1.000272461E3
4.205230700E-1,1.000265625E3
5.205137360E-1,1.000292236E3
6.205032360E-1,1.000305420E3
7.204924360E-1,1.000336182E3
8.204816020E-1,1.000332031E3
9.204703160E-1,1.000330811E3
1.020458941E0,1.000312988E3
1.120447274E0,1.000309082E3
1.220435674E0,1.000328613E3
1.320424037E0,1.000347168E3
1.420412370E0,1.000350098E3
1.520400831E0,1.000364014E3
1.620389116E0,1.000366211E3
1.720377382E0,1.000362793E3
1.820365694E0,1.000362793E3
1.920353870E0,1.000364746E3
2.020342092E0,1.000355957E3
2.120330144E0,1.000358887E3
2.220318244E0,1.000369629E3
2.320306339E0,1.000360352E3
2.420294339E0,1.000372803E3
2.520282686E0,1.000362793E3
2.620271019E0,1.000377686E3
2.720259339E0,1.000355713E3
2.820247646E0,1.000367188E3
2.920235868E0,1.000346680E3
3.020224118E0,1.000340820E3
3.120212290E0,1.000343262E3
3.220200456E0,1.000361816E3
3.320188589E0,1.000360596E3
3.420176455E0,1.000360596E3
3.520164321E0,1.000370361E3
3.620152321E0,1.000368408E3
3.720659454E0,1.000381104E3
3.820647420E0,1.000416260E3
3.920635386E0,1.000430176E3
4.020623386E0,1.000460938E3
4.120611386E0,1.000471436E3
4.220599352E0,1.000485596E3
4.320587318E0,1.000502686E3
4.420575251E0,1.000456055E3
4.520563117E0,1.000446533E3
4.620551183E0,1.000434082E3
4.720539416E0,1.000434082E3
4.820527616E0,1.000424072E3
4.920515816E0,1.000438232E3
5.020504016E0,1.000467773E3
5.120492249E0,1.000472900E3
5.220480449E0,1.000433350E3
5.320468649E0,1.000417969E3
5.420456849E0,1.000422119E3
5.520444815E0,1.000416260E3
5.620432715E0,1.000424561E3
5.720420815E0,1.000429932E3
5.820409048E0,1.000431396E3
5.920397281E0,1.000416260E3
6.020385481E0,1.000404785E3
6.120373681E0,1.000393799E3
6.220361914E0,1.000391602E3
6.320350147E0,1.000398926E3
6.420338347E0,1.000437012E3
6.520326547E0,1.000403809E3
6.620314647E0,1.000380859E3
6.720302747E0,1.000365234E3
6.820290980E0,1.000387207E3
6.920279213E0,1.000411377E3
7.020267413E0,1.000417725E3
7.120255613E0,1.000409424E3
7.220243846E0,1.000382080E3
7.320232079E0,1.000358398E3
7.420220279E0,1.000325439E3
7.520208479E0,1.000347900E3
7.620196512E0,1.000344482E3
7.720184378E0,1.000329834E3
7.820172244E0,1.000296387E3
7.920160444E0,1.000292480E3
8.020148610E0,1.000311279E3
8.120136776E0,1.000330566E3
8.220124942E0,1.000331299E3
8.320113142E0,1.000332031E3
8.420101342E0,1.000331787E3
8.520089508E0,1.000319336E3
8.620077674E0,1.000294189E3
8.720065674E0,1.000321777E3
8.820053540E0,1.000320068E3
8.920041440E0,1.000315918E3
9.020029440E0,1.000287354E3
9.120017440E0,1.000292236E3
9.220005406E0,1.000286621E3
9.319993372E0,1.000310547E3
9.419981372E0,1.000324463E3
9.519969372E0,1.000321289E3
9.619957338E0,1.000317139E3
9.719945304E0,1.000294434E3
9.819933170E0,1.000294434E3
9.919921036E0,1.000261963E3
1.001990914E1,1.000277588E3
1.011989737E1,1.000291016E3
1.021988557E1,1.000259277E3
1.031987377E1,1.000260010E3
1.041986200E1,1.000261719E3
1.051985024E1,1.000264404E3
1.061983844E1,1.000277832E3
1.071982664E1,1.000296143E3
1.081981487E1,1.000301270E3
1.091980277E1,1.000290771E3
1.101997837E1,1.000276123E3
1.111996654E1,1.000321289E3
1.121995477E1,1.000305176E3
1.131994297E1,1.000283936E3
1.141993117E1,1.000261963E3
1.151991937E1,1.000266113E3
1.161990760E1,1.000272949E3
1.171989580E1,1.000277344E3
1.181988400E1,1.000288330E3
1.191987217E1,1.000301025E3
1.201986027E1,1.000298340E3
1.211984837E1,1.000303223E3
1.221983660E1,1.000304688E3
1.231982484E1,1.000333008E3
1.241981304E1,1.000327881E3
1.251980124E1,1.000321289E3
1.261978947E1,1.000315186E3
1.271977770E1,1.000301270E3
1.281976590E1,1.000313232E3
1.291975410E1,1.000293213E3
1.301974210E1,1.000308838E3
1.311972997E1,1.000311523E3
1.321971797E1,1.000323486E3
1.331970617E1,1.000294678E3
1.341969433E1,1.000322510E3
1.351968250E1,1.000321777E3
1.361967067E1,1.000326416E3
1.371965887E1,1.000326904E3
1.381964703E1,1.000315186E3
1.391963520E1,1.000330566E3
1.401962336E1,1.000343750E3
1.411961130E1,1.000339844E3
1.421959916E1,1.000347656E3
1.431958710E1,1.000346680E3
1.441957510E1,1.000315430E3
1.451956310E1,1.000324463E3
1.461955106E1,1.000325195E3
1.471953906E1,1.000318115E3
1.481952706E1,1.000289551E3
1.491951506E1,1.000289551E3
1.501950303E1,1.000288574E3
1.511949103E1,1.000283203E3
1.521947889E1,1.000290039E3
1.531946676E1,1.000303223E3
1.541945492E1,1.000327881E3
1.551944316E1,1.000319092E3
1.561943136E1,1.000307861E3
1.571941959E1,1.000299805E3
1.581940782E1,1.000324219E3
1.591939606E1,1.000317139E3
1.601938426E1,1.000310303E3
1.611937246E1,1.000300537E3
1.621936056E1,1.000313477E3
1.631934846E1,1.000300049E3
1.641933636E1,1.000313232E3
1.651932459E1,1.000322021E3
1.661931282E1,1.000324463E3
1.671930102E1,1.000306152E3
1.681928922E1,1.000294678E3
1.691927746E1,1.000312744E3
1.701926569E1,1.000324219E3
1.711925389E1,1.000312012E3
1.721924209E1,1.000312012E3
1.731923026E1,1.000326660E3
1.741921836E1,1.000350586E3
1.751920646E1,1.000360107E3
1.761919469E1,1.000360352E3
1.771918292E1,1.000367432E3
1.781917112E1,1.000345703E3
1.791915932E1,1.000330078E3
1.801914755E1,1.000354980E3
1.811913575E1,1.000365723E3
1.821912395E1,1.000358643E3
1.831908225E1,1.000337891E3
1.841907018E1,1.000335938E3
1.851905805E1,1.000333008E3
1.861904618E1,1.000345215E3
1.871903435E1,1.000347412E3
1.881902251E1,1.000347900E3
1.891901068E1,1.000329590E3
1.901899885E1,1.000302734E3
1.911898711E1,1.000299072E3
1.921897528E1,1.000323486E3
1.931896344E1,1.000289062E3
1.941895161E1,1.000281494E3
1.951893948E1,1.000280029E3
1.961892741E1,1.000283936E3
1.971891541E1,1.000312988E3
1.981890341E1,1.000331543E3
1.991889138E1,1.000340576E3
2.001887934E1,1.000340576E3
2.011886741E1,1.000316650E3
2.021885541E1,1.000302002E3
2.031884337E1,1.000296387E3
2.041883134E1,1.000312744E3
2.051881934E1,1.000303223E3
2.061880727E1,1.000279541E3
2.071879514E1,1.000283203E3
2.081878337E1,1.000293945E3
2.091877160E1,1.000291260E3
2.101875980E1,1.000288330E3
2.111874807E1,1.000304688E3
2.121873630E1,1.000289307E3
2.131872454E1,1.000255859E3
2.141871274E1,1.000264404E3
2.151870094E1,1.000257324E3
2.161868897E1,1.000246094E3
2.171867687E1,1.000223877E3
2.181866480E1,1.000202393E3
2.191865304E1,1.000190186E3
2.201864127E1,1.000183838E3
2.211862947E1,1.000199707E3
2.221861767E1,1.000223877E3
2.231860590E1,1.000219482E3
2.241859413E1,1.000215576E3
2.251858233E1,1.000206299E3
2.261857053E1,1.000232910E3
2.271855863E1,1.000230957E3
2.281854673E1,1.000214844E3
2.291853490E1,1.000202148E3
2.301852313E1,1.000189697E3
2.311851133E1,1.000210205E3
2.321849953E1,1.000222656E3
2.331848777E1,1.000235352E3
2.341847600E1,1.000253662E3
2.351846420E1,1.000228027E3
2.361845240E1,1.000228027E3
2.371844060E1,1.000246582E3
2.381842846E1,1.000246338E3
2.391841633E1,1.000223633E3
2.401840446E1,1.000215088E3
2.411839266E1,1.000216309E3
2.421838083E1,1.000223633E3
2.431836900E1,1.000241455E3
2.441835716E1,1.000246582E3
2.451834536E1,1.000256348E3
2.461833353E1,1.000237793E3
2.471832169E1,1.000227295E3
2.481830983E1,1.000238037E3
2.491829769E1,1.000262207E3
2.501828556E1,1.000222656E3
2.511827356E1,1.000222656E3
2.521826156E1,1.000219727E3
2.531824953E1,1.000215576E3
2.541823749E1,1.000221191E3
2.551822549E1,1.000248779E3
2.561820536E1,1.000252197E3
2.571819333E1,1.000250244E3
2.581818129E1,1.000244873E3
2.591816923E1,1.000214844E3
2.601815709E1,1.000219727E3
2.611814509E1,1.000247070E3
2.621813333E1,1.000218018E3
2.631812153E1,1.000205811E3
2.641810973E1,1.000210205E3
2.651809793E1,1.000213379E3
2.661808616E1,1.000227539E3
2.671807436E1,1.000241699E3
2.681806256E1,1.000266357E3
2.691805076E1,1.000267578E3
2.701803872E1,1.000235352E3
2.711802663E1,1.000254150E3
2.721801473E1,1.000280029E3
2.731800296E1,1.000268066E3
2.741799119E1,1.000264648E3
2.751797939E1,1.000259521E3
2.761796759E1,1.000253906E3
2.771795586E1,1.000271973E3
2.781794409E1,1.000282471E3
2.791793229E1,1.000289307E3
2.801792049E1,1.000290527E3
2.811790859E1,1.000255615E3
2.821789669E1,1.000255371E3
2.831788492E1,1.000275391E3
2.841787316E1,1.000260010E3
2.851786136E1,1.000242920E3
2.861784956E1,1.000244873E3
2.871783779E1,1.000239502E3
2.881782602E1,1.000240967E3
2.891781422E1,1.000252441E3
2.901780242E1,1.000272461E3
2.911779052E1,1.000260254E3
2.921777839E1,1.000219727E3
2.931776625E1,1.000245850E3
2.941775445E1,1.000259766E3
2.951774265E1,1.000239014E3
2.961773082E1,1.000207764E3
2.971771899E1,1.000200928E3
2.981770719E1,1.000215576E3
2.991769539E1,1.000226562E3
3.001768355E1,1.000232666E3
3.011767172E1,1.000251709E3
3.021765972E1,1.000251709E3
3.031764758E1,1.000233643E3
3.041763548E1,1.000218994E3
3.051762348E1,1.000221924E3
3.061761148E1,1.000247559E3
3.071759942E1,1.000229980E3
3.081758738E1,1.000215576E3
3.091757538E1,1.000212158E3
3.101756338E1,1.000233398E3
3.111755135E1,1.000236084E3
3.121753932E1,1.000255127E3
3.131752718E1,1.000255127E3
3.141751505E1,1.000250488E3
3.151750315E1,1.000226074E3
3.161749138E1,1.000249512E3
3.171747958E1,1.000238525E3
3.181746778E1,1.000230713E3
3.191745601E1,1.000217041E3
3.201744425E1,1.000223145E3
3.211743245E1,1.000229004E3
3.221742065E1,1.000256104E3
3.231740888E1,1.000266357E3
3.241739678E1,1.000283936E3
3.251738468E1,1.000259033E3
3.261737281E1,1.000235840E3
3.271736105E1,1.000273926E3
3.281734924E1,1.000255371E3
3.291750324E1,1.000221680E3
3.301749147E1,1.000184082E3
3.311747971E1,1.000187744E3
3.321746791E1,1.000216064E3
3.331745611E1,1.000219727E3
3.341744427E1,1.000229980E3
3.351743237E1,1.000255859E3
3.361742047E1,1.000260010E3
3.371740871E1,1.000260742E3
3.381739694E1,1.000281494E3
3.391738514E1,1.000246826E3
3.401737334E1,1.000231201E3
3.411736157E1,1.000196045E3
3.421734984E1,1.000182129E3
3.431733804E1,1.000195801E3
3.441732624E1,1.000180420E3
3.451731424E1,1.000192383E3
3.461730210E1,1.000230225E3
3.471729010E1,1.000216553E3
3.481727830E1,1.000246826E3
3.491726647E1,1.000252197E3
3.501725464E1,1.000235352E3
3.511724280E1,1.000235596E3
3.521723100E1,1.000216309E3
3.531721917E1,1.000216553E3
3.541720733E1,1.000216553E3
3.551719550E1,1.000206299E3
3.561718347E1,1.000238281E3
3.571717133E1,1.000239746E3
3.581715926E1,1.000232422E3
3.591714726E1,1.000231689E3
3.601713523E1,1.000212891E3
3.611712320E1,1.000260254E3
3.621711120E1,1.000218018E3
3.631709920E1,1.000211182E3
3.641708720E1,1.000182861E3
3.651707516E1,1.000169189E3
3.661706313E1,1.000191895E3
3.671705099E1,1.000197998E3
3.681703886E1,1.000213867E3
3.691702703E1,1.000202637E3
3.701701526E1,1.000180420E3
3.711700346E1,1.000188477E3
3.721699163E1,1.000210449E3
3.731697986E1,1.000190430E3
3.741696809E1,1.000167236E3
3.751695629E1,1.000160400E3
3.761694449E1,1.000167236E3
3.771693259E1,1.000171143E3
3.781692049E1,1.000173584E3
3.791690839E1,1.000203369E3
3.801689662E1,1.000211914E3
3.811688486E1,1.000208984E3
3.821687306E1,1.000210693E3
3.831686126E1,1.000225342E3
3.841684949E1,1.000202393E3
3.851683772E1,1.000163330E3
3.861682592E1,1.000128174E3
3.871681412E1,1.000137695E3
3.881680229E1,1.000137939E3
3.891679039E1,1.000158447E3
3.901677849E1,1.000173584E3
3.911676672E1,1.000189697E3
3.921675492E1,1.000181641E3
3.931674312E1,1.000191895E3
3.941673132E1,1.000197021E3
3.951671956E1,1.000187012E3
3.961670779E1,1.000161377E3
3.971669599E1,1.000131592E3
3.981668419E1,1.000120605E3
3.991667212E1,1.000145508E3
4.001665999E1,1.000145508E3
4.011664805E1,1.000152832E3
4.021669454E1,1.000181396E3
4.031668271E1,1.000178955E3
4.041667087E1,1.000179932E3
4.051665904E1,1.000179932E3
4.061664724E1,1.000189697E3
4.071663541E1,1.000164307E3
4.081662357E1,1.000136230E3
4.091661174E1,1.000105225E3
4.101659960E1,1.000093018E3
4.111658747E1,1.000099121E3
4.121657547E1,1.000092041E3
4.131656347E1,1.000121338E3
4.141655144E1,1.000137695E3
4.151653940E1,1.000134277E3
4.161652740E1,1.000154053E3
4.171651544E1,1.000166748E3
4.181650340E1,1.000135254E3
4.191649137E1,1.000116699E3
4.201647937E1,1.000129639E3
4.211646723E1,1.000114014E3
4.221645513E1,1.000116943E3
4.231644337E1,1.000090332E3
4.241643160E1,1.000094482E3
4.251641980E1,1.000126221E3
4.261640800E1,1.000103760E3
