"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-7.301921844E-1,-4.444503784E-1,7.089574337E-1
9.999000000E-3,-1.552537441E0,-5.411987305E-1,3.220167160E-1
1.999850000E-2,-1.736273289E0,-5.295839310E-1,1.874978542E-1
2.999850000E-2,-1.737220526E0,-5.275030136E-1,1.821143627E-1
3.999825000E-2,-1.737871170E0,-5.252075195E-1,1.763768196E-1
4.999805000E-2,-1.739020586E0,-5.225925446E-1,1.696553230E-1
5.999788300E-2,-1.740358353E0,-5.197610855E-1,1.623330116E-1
6.999788300E-2,-1.741855860E0,-5.167455673E-1,1.544985771E-1
7.999788300E-2,-1.743699789E0,-5.136060715E-1,1.462259293E-1
8.999777100E-2,-1.745646238E0,-5.102920532E-1,1.375334263E-1
9.999767100E-2,-1.747505188E0,-5.069417953E-1,1.288049221E-1
1.099975800E-1,-1.749614239E0,-5.035791397E-1,1.199300289E-1
1.199974960E-1,-1.751917839E0,-5.000858307E-1,1.106994152E-1
1.299974190E-1,-1.754236221E0,-4.964771271E-1,1.012217999E-1
1.399974190E-1,-1.756469965E0,-4.928445816E-1,9.174847603E-2
1.499973520E-1,-1.758929968E0,-4.892625809E-1,8.231091499E-2
1.599972890E-1,-1.761114597E0,-4.855442047E-1,7.272648811E-2
1.699972300E-1,-1.763560295E0,-4.818449020E-1,6.307530403E-2
1.799972300E-1,-1.765942812E0,-4.781465530E-1,5.349683762E-2
1.899972300E-1,-1.768453360E0,-4.743471146E-1,4.366803169E-2
1.999971800E-1,-1.770769596E0,-4.704713821E-1,3.375577927E-2
2.099971320E-1,-1.773366213E0,-4.666643143E-1,2.391886711E-2
2.199970860E-1,-2.045147657E0,-3.697109222E-2,-9.266700745E-1
2.299970860E-1,-2.313778400E0,4.455800056E-1,-1.746948719E0
2.399970860E-1,-2.573140621E0,9.568886757E-1,-2.446722984E0
2.499970460E-1,-2.819278002E0,1.477760315E0,-3.037712574E0
2.599970070E-1,-3.049403667E0,1.993828773E0,-3.532653332E0
2.699969690E-1,-3.262577534E0,2.494822502E0,-3.944371223E0
2.799969330E-1,-3.458244562E0,2.973805904E0,-4.284924507E0
2.899969330E-1,-3.637098789E0,3.426124573E0,-4.565140724E0
2.999969330E-1,-3.799427271E0,3.849348545E0,-4.794762611E0
3.099969330E-1,-3.946271658E0,4.242343903E0,-4.982201576E0
3.199969330E-1,-4.079099178E0,4.605396271E0,-5.134816170E0
3.299968990E-1,-4.198568344E0,4.938910484E0,-5.258606911E0
3.399969320E-1,-4.306130409E0,5.244214058E0,-5.358770370E0
3.499969650E-1,-4.402504921E0,5.522627354E0,-5.439568520E0
3.599969650E-1,-4.489181519E0,5.776244164E0,-5.504662514E0
3.699969310E-1,6.502742767E-1,-2.143518925E0,7.356643677E-3
3.799968970E-1,5.806136727E-1,-1.932120323E0,-8.721923828E-2
3.899969300E-1,5.251931548E-1,-1.728587747E0,-1.182661057E-1
3.999969300E-1,4.571841359E-1,-1.559940100E0,-1.640586853E-1
4.099969300E-1,4.258679152E-1,-1.408119440E0,-1.683740616E-1
4.199969300E-1,3.850637674E-1,-1.273705244E0,-1.850109100E-1
4.299969300E-1,3.341423273E-1,-1.126386881E0,-2.052736282E-1
4.399968960E-1,2.947230339E-1,-1.015808344E0,-2.154741287E-1
4.499969290E-1,2.615952492E-1,-9.235160351E-1,-2.162590027E-1
4.599969290E-1,2.246090174E-1,-8.461765647E-1,-2.415695190E-1
4.699969290E-1,2.024804354E-1,-7.537305355E-1,-2.271518707E-1
4.799968950E-1,1.882171631E-1,-6.742620468E-1,-2.403774261E-1
4.899968610E-1,1.446962357E-1,-6.141377091E-1,-2.167205811E-1
4.999968940E-1,1.348325014E-1,-5.536185503E-1,-2.546453476E-1
5.099968940E-1,1.128205061E-1,-4.871174693E-1,-2.489557266E-1
5.199968940E-1,9.486603737E-2,-4.357233047E-1,-2.476034164E-1
5.299968600E-1,8.800208569E-2,-3.893485963E-1,-2.482967377E-1
5.399968600E-1,9.485590458E-2,-3.619107604E-1,-2.391929626E-1
5.499968600E-1,8.094298840E-2,-3.337005079E-1,-2.417974472E-1
5.599968260E-1,6.075525284E-2,-2.941110134E-1,-2.322778702E-1
5.699968260E-1,4.176962376E-2,-2.723475695E-1,-2.442092896E-1
5.799968260E-1,4.279935360E-2,-2.580854893E-1,-2.440872192E-1
5.899967920E-1,3.763115406E-2,-2.320148647E-1,-2.415380478E-1
5.999967920E-1,1.878082752E-2,-1.865687966E-1,-2.700700760E-1
6.099968250E-1,2.215683460E-2,-1.864751577E-1,-2.459001541E-1
6.199968250E-1,1.877641678E-2,-1.546571255E-1,-2.432403564E-1
6.299968250E-1,-1.027536392E-2,-1.653651297E-1,-2.405881882E-1
6.399967910E-1,-2.195692062E-2,-1.580307633E-1,-2.116289139E-1
6.499967910E-1,8.042573929E-3,-1.160633266E-1,-2.497930527E-1
6.599968240E-1,2.148282528E-2,-1.064203531E-1,-2.903318405E-1
6.699968240E-1,-1.077175140E-2,-9.345769882E-2,-1.871299744E-1
6.799968240E-1,-6.709218025E-3,-8.374404907E-2,-2.731018066E-1
6.899967900E-1,4.815220833E-3,-4.897339642E-2,-2.417554855E-1
6.999968230E-1,-2.662062645E-3,-7.521152496E-2,-2.391290665E-1
7.099968230E-1,-1.496958733E-2,-6.882660091E-2,-2.628068924E-1
7.199968230E-1,-2.453255653E-2,-7.710728049E-2,-2.146978378E-1
7.299968230E-1,-2.629303932E-2,-7.147760689E-2,-2.504673004E-1
7.399968230E-1,-1.604032516E-2,-5.673697591E-2,-2.239789963E-1
7.499967890E-1,-1.981592178E-2,-6.146237254E-2,-2.358407974E-1
7.599968220E-1,-1.626503468E-2,-4.009702802E-2,-2.429275513E-1
7.699968550E-1,-1.299750805E-2,-4.786108434E-2,-2.403850555E-1
7.799968550E-1,-1.692938805E-2,-1.541770995E-2,-2.378292084E-1
7.899968550E-1,-3.022205830E-2,-1.713953912E-2,-2.448682785E-1
7.999968210E-1,-5.291688442E-2,-1.241604984E-2,-2.495260239E-1
8.099968540E-1,-2.941119671E-2,-1.522742212E-2,-2.494955063E-1
8.199968540E-1,-5.160760880E-2,-2.069769800E-2,-2.398509979E-1
8.299968540E-1,-3.035902977E-2,-1.682879031E-2,-2.494087219E-1
8.399968200E-1,-1.618611813E-2,-1.797221601E-2,-2.470073700E-1
8.499968530E-1,-3.109300137E-2,-3.107452393E-2,-2.301874161E-1
8.599969190E-1,-1.253497601E-2,-9.062290192E-4,-2.492761612E-1
8.699969190E-1,-3.462970257E-2,1.444460452E-2,-2.396335602E-1
8.799968850E-1,-3.512096405E-2,-1.154009998E-2,-2.467479706E-1
8.899968510E-1,-4.496800900E-2,-1.356999576E-2,-2.562894821E-1
8.999968510E-1,-4.759347439E-2,-2.255633473E-2,-2.514762878E-1
9.099967840E-1,-3.083109856E-2,-5.211845040E-3,-2.371215820E-1
9.199968170E-1,-3.820204735E-2,-1.189984381E-2,-2.442836761E-1
9.299968170E-1,-3.594565392E-2,-1.612366736E-2,-2.394828796E-1
9.399968170E-1,-3.364503384E-2,-1.566284895E-2,-2.490539551E-1
9.499967830E-1,-4.068350792E-2,-6.206050515E-3,-2.442846298E-1
9.599967830E-1,-2.858090401E-2,3.847360611E-3,-2.491016388E-1
9.699968160E-1,-1.910567284E-2,-1.076146960E-3,-2.419013977E-1
9.799967820E-1,-1.931035519E-2,6.216347218E-3,-2.490549088E-1
9.899967820E-1,-4.871487617E-2,-5.732506514E-3,-2.441644669E-1
9.999967480E-1,-4.406976700E-2,-2.024801075E-2,-2.393512726E-1
1.009996781E0,-2.743005753E-2,1.257821918E-3,-2.465152740E-1
1.019996814E0,-2.990686893E-2,6.062731147E-3,-2.153778076E-1
1.029996814E0,-3.469359875E-2,-1.063638926E-2,-2.345333099E-1
1.039996814E0,-2.748250961E-2,-1.059141755E-2,-2.297506332E-1
1.049996814E0,-3.242290020E-2,1.345172524E-3,-2.584581375E-1
1.059996780E0,-3.221940994E-2,-5.911529064E-3,-2.321491241E-1
1.069996780E0,-2.017295361E-2,-3.376349807E-3,-2.561063766E-1
1.079996813E0,-3.981459141E-2,-3.370419145E-3,-2.560329437E-1
1.089996813E0,-3.321158886E-2,-2.014324069E-2,-2.535505295E-1
1.099996813E0,-3.356671333E-2,-1.737263799E-2,-2.343492508E-1
1.109996746E0,-5.322396755E-2,-1.214702427E-2,-2.390680313E-1
1.119996779E0,-4.122614861E-2,-4.602164030E-3,-2.390775681E-1
1.129996812E0,-3.648042679E-2,-7.024526596E-3,-2.678022385E-1
1.139996812E0,-5.331540108E-2,-1.666098833E-3,-2.175207138E-1
1.149996778E0,-3.681409359E-2,5.496218801E-3,-2.462120056E-1
1.159996711E0,-3.458523750E-2,-1.114146411E-2,-2.461891174E-1
1.169996711E0,-2.983999252E-2,-1.688137650E-3,-2.461805344E-1
1.179996711E0,-3.466427326E-2,-4.122674465E-3,-2.509632111E-1
1.189996744E0,-3.207767010E-2,-4.164099693E-3,-2.485961914E-1
1.199996710E0,-1.518368721E-2,-6.557896733E-3,-2.390403748E-1
1.209996743E0,-1.743304729E-2,3.952533007E-4,-2.318754196E-1
1.219996709E0,-2.461230755E-2,8.028745651E-4,-2.342777252E-1
1.229996742E0,-3.427791595E-2,-6.462171674E-3,-2.390508652E-1
1.239996775E0,-2.713966370E-2,-8.940190077E-3,-2.366485596E-1
1.249996775E0,-2.988505363E-2,-6.124541163E-3,-2.318134308E-1
1.259996741E0,-4.666483402E-2,-6.210803986E-3,-2.342033386E-1
1.269996707E0,-4.686748981E-2,1.392289996E-3,-2.509393692E-1
1.279996773E0,-4.673826694E-2,-3.517538309E-3,-2.509574890E-1
1.289996773E0,-3.479886055E-2,-1.065503061E-2,-2.317981720E-1
1.299996773E0,-3.729724884E-2,-1.538720727E-2,-2.317838669E-1
1.309996739E0,-3.240752220E-2,-1.004296541E-2,-2.533578873E-1
1.319996739E0,-3.004384041E-2,-7.521033287E-3,-2.150459290E-1
1.329996805E0,-3.953552246E-2,-5.233258009E-3,-2.389993668E-1
1.339996805E0,-5.190694332E-2,-9.997263551E-3,-2.245740891E-1
1.349996805E0,-4.916942120E-2,2.335384488E-3,-2.294206619E-1
1.359996805E0,-4.202961922E-2,1.209171116E-2,-2.365999222E-1
1.369996771E0,-4.650223255E-2,-2.103075385E-3,-2.127084732E-1
1.379996737E0,-3.412282467E-2,2.540186048E-3,-2.295274734E-1
1.389996770E0,-3.586566448E-2,-9.509474039E-3,-2.272310257E-1
1.399996770E0,-3.573513031E-2,-4.564493895E-3,-2.248592377E-1
1.409996803E0,-3.326463699E-2,-9.422346950E-3,-2.200803757E-1
1.419996769E0,-5.677449703E-2,-4.539728165E-3,-2.129650116E-1
1.429996769E0,-2.492880821E-2,-6.887823343E-3,-2.178640366E-1
1.439996802E0,-4.156696796E-2,9.695127606E-3,-1.987247467E-1
1.449996802E0,-4.586887360E-2,-7.496774197E-5,-2.418928146E-1
1.459996835E0,-3.095674515E-2,-2.713233232E-3,-2.132406235E-1
1.469996835E0,-4.732358456E-2,-1.470068097E-2,-2.276659012E-1
1.479996901E0,-1.867151260E-2,-2.512037754E-4,-2.156829834E-1
1.489996934E0,-4.002082348E-2,-2.865612507E-3,-2.085275650E-1
1.499996967E0,-5.168104172E-2,-9.970217943E-3,-2.085762024E-1
1.509996967E0,-3.249692917E-2,-5.088925362E-3,-2.109756470E-1
1.519996967E0,-3.209948540E-2,-2.411137521E-2,-2.110376358E-1
1.529996933E0,-2.236759663E-2,-2.259358764E-3,-2.110671997E-1
1.539996933E0,-3.657281399E-2,6.116330624E-4,-1.991271973E-1
1.549996966E0,-3.182280064E-2,-1.742094755E-3,-2.039098740E-1
1.559996966E0,-4.845285416E-2,5.440905690E-3,-2.111129761E-1
1.569996966E0,-4.065513611E-2,-1.875087619E-2,-2.112016678E-1
1.579996932E0,-3.578889370E-2,-2.349978685E-2,-2.112150192E-1
1.589996965E0,-3.536510468E-2,-1.380406320E-2,-2.088861465E-1
1.599996965E0,-4.689228535E-2,9.266138077E-4,-2.065649033E-1
1.609996965E0,-1.777660847E-2,-3.649830818E-3,-2.162036896E-1
1.619996931E0,-3.228831291E-2,3.593057394E-3,-1.970291138E-1
1.629996864E0,-2.264392376E-2,5.993619561E-3,-1.994333267E-1
1.639996897E0,-3.219556808E-2,-3.527849913E-3,-2.066202164E-1
1.649996897E0,-2.731525898E-2,-8.289501071E-3,-2.090301514E-1
1.659996897E0,-1.755630970E-2,8.447110653E-3,-2.066621780E-1
1.669996897E0,-3.465855122E-2,3.339558840E-3,-2.113933563E-1
1.679996897E0,-2.528858185E-2,-4.226267338E-3,-2.113561630E-1
1.689996863E0,-4.921138287E-2,-9.037256241E-3,-2.017822266E-1
1.699996896E0,-5.158019066E-2,-1.151412725E-2,-2.017841339E-1
1.709996896E0,-3.674352169E-2,1.248432696E-2,-2.042493820E-1
1.719996896E0,-2.421486378E-2,-1.978784800E-3,-2.282762527E-1
1.729996862E0,-3.621709347E-2,-2.120271325E-2,-2.091159821E-1
1.739996828E0,-4.310941696E-2,-1.694530249E-3,-2.091665268E-1
1.749996861E0,-4.302465916E-2,5.373328924E-3,-2.211484909E-1
1.759996861E0,-3.809809685E-2,-1.141223311E-2,-2.163801193E-1
1.769996861E0,-3.498053551E-2,5.544885993E-3,-1.997318268E-1
1.779996827E0,-3.532338142E-2,6.587952375E-4,-2.284097672E-1
1.789996827E0,-2.999007702E-2,-1.392647624E-2,-2.045459747E-1
1.799996827E0,-3.253769875E-2,3.548413515E-4,-2.117042542E-1
1.809996827E0,-4.604816437E-2,-2.089664340E-3,-2.142276764E-1
1.819996827E0,-4.128932953E-2,1.233154535E-2,-2.142238617E-1
1.829996827E0,-3.654575348E-2,-1.167947054E-2,-2.022447586E-1
1.839996793E0,-3.109955788E-2,2.513960004E-3,-2.191009521E-1
1.849996793E0,-3.569602966E-2,-1.193600893E-2,-2.119455338E-1
1.859996826E0,-3.106892109E-2,2.430737019E-3,-2.023439407E-1
1.869996826E0,-3.823184967E-2,-4.843637347E-3,-1.879796982E-1
1.879996826E0,-2.337336540E-2,-7.175624371E-3,-2.096042633E-1
1.889996792E0,-1.838815212E-2,-1.436312497E-2,-1.976623535E-1
1.899996825E0,-3.524005413E-2,1.350641251E-4,-2.120151520E-1
1.909996858E0,-4.959893227E-2,-9.394466877E-3,-2.144117355E-1
1.919996858E0,-3.737413883E-2,-2.160206437E-3,-2.072687149E-1
1.929996858E0,-2.776420116E-2,2.596586943E-3,-1.976957321E-1
1.939996824E0,-4.444849491E-2,-1.671670377E-2,-1.953096390E-1
1.949996857E0,-3.209030628E-2,1.235587895E-2,-2.097396851E-1
1.959996857E0,-2.973830700E-2,9.876772761E-3,-2.145204544E-1
1.969996857E0,-3.654229641E-2,-1.212063432E-2,-2.217521667E-1
1.979996857E0,-2.250170708E-2,-2.554059029E-4,-2.097320557E-1
1.989996857E0,-3.229773045E-2,-2.706915140E-3,-1.953315735E-1
1.999996823E0,-3.484332561E-2,-2.959519625E-4,-2.216453552E-1
2.009996856E0,-3.507983685E-2,-2.558231354E-3,-2.072467804E-1
2.019996889E0,-2.079331875E-2,-5.050227046E-3,-2.072334290E-1
2.029996889E0,-8.755326271E-3,-1.695901155E-2,-2.168216705E-1
2.039996889E0,-2.813708782E-2,2.555161715E-3,-1.976394653E-1
2.049996855E0,-2.422356606E-2,-1.191610098E-2,-2.022933960E-1
2.059996888E0,-2.665090561E-2,-1.664619148E-2,-2.358093262E-1
2.069996888E0,-1.053547859E-2,2.699539065E-3,-1.950130463E-1
2.079996888E0,-3.764402866E-2,2.927690744E-3,-2.332077026E-1
2.089996854E0,-3.336644173E-2,-4.235148430E-3,-2.067947388E-1
2.099996854E0,-2.604246140E-2,-6.718814373E-3,-2.139968872E-1
2.109996887E0,-1.439738274E-2,2.952307463E-3,-2.091617584E-1
2.119996887E0,-2.443313599E-2,-1.374846697E-2,-2.066984177E-1
2.129996887E0,-3.936028481E-2,-8.873775601E-3,-1.970376968E-1
2.139996887E0,-2.970361710E-2,-6.303191185E-3,-2.066287994E-1
2.149996853E0,-3.721117973E-2,-6.030142307E-3,-1.994009018E-1
2.159996819E0,-3.204798698E-2,8.066430688E-3,-2.186079025E-1
2.169996852E0,-3.920996189E-2,3.153681755E-3,-2.018499374E-1
2.179996852E0,-2.247035503E-2,-1.637607813E-3,-2.138185501E-1
2.189996852E0,-3.234803677E-2,5.165860057E-3,-2.065839767E-1
2.199996818E0,-2.035987377E-2,-1.166985929E-2,-2.089796066E-1
2.209996818E0,-3.750729561E-2,-2.128805220E-2,-2.208909988E-1
2.219996851E0,-3.986287117E-2,1.211673021E-2,-2.065296173E-1
2.229996851E0,-2.519476414E-2,-1.191975176E-2,-2.137565613E-1
2.239996851E0,-4.670846462E-2,-7.197767496E-3,-2.113666534E-1
2.249996817E0,-4.933941364E-2,2.075731754E-5,-1.969661713E-1
2.259996850E0,-4.692018032E-2,4.844740033E-3,-2.448549271E-1
2.269996883E0,-3.982579708E-2,9.611696005E-3,-2.113208771E-1
2.279996883E0,-3.457391262E-2,4.490658641E-3,-2.137804031E-1
2.289996883E0,-2.231907845E-2,-1.966513693E-2,-2.066364288E-1
2.299996883E0,-3.677904606E-2,-1.010699570E-2,-2.377481461E-1
2.309996849E0,-4.351472855E-2,-5.197092891E-3,-2.306356430E-1
2.319996849E0,-5.320012569E-2,-9.862378240E-3,-2.162551880E-1
2.329996882E0,-2.865374088E-2,-2.417530119E-2,-2.043752670E-1
2.339996882E0,-4.994535446E-2,1.202975214E-2,-2.139968872E-1
2.349996882E0,-1.890563965E-2,-7.229223847E-3,-2.139816284E-1
2.359996848E0,-1.906096935E-2,-1.193447411E-2,-2.307195663E-1
2.369996881E0,-2.636075020E-2,-7.189571857E-3,-2.091531754E-1
2.379996914E0,-4.096508026E-2,-1.725792885E-3,-2.115221024E-1
2.389996914E0,-4.308116436E-2,8.174166083E-3,-2.211456299E-1
2.399996880E0,-3.348422050E-2,8.353769779E-3,-2.283344269E-1
2.409996846E0,-4.038500786E-2,-8.909016848E-3,-2.092161179E-1
2.419996879E0,-2.097332478E-2,7.576897740E-3,-2.236146927E-1
2.429996879E0,-4.717028141E-2,-2.016857266E-3,-2.188472748E-1
2.439996879E0,-3.769564629E-2,-9.095847607E-3,-2.140455246E-1
2.449996879E0,-1.637613773E-2,-1.123264432E-2,-2.283802032E-1
2.459996879E0,-3.795874119E-2,-1.422837377E-3,-2.140130997E-1
2.469996845E0,-2.122652531E-2,-6.168052554E-3,-2.331638336E-1
2.479996878E0,-3.326034546E-2,1.030653715E-3,-2.092123032E-1
2.489996911E0,-4.257798195E-2,1.041695476E-3,-2.188291550E-1
2.499996911E0,-4.495239258E-2,6.009399891E-3,-2.188348770E-1
2.509996877E0,-4.252612591E-2,-3.747954965E-3,-2.164421082E-1
2.519996843E0,-2.078914642E-2,3.238439560E-3,-2.140731812E-1
2.529996876E0,-2.802395821E-2,5.246102810E-4,-2.188491821E-1
2.539996876E0,-3.297281265E-2,-1.120914519E-2,-2.236175537E-1
2.549996876E0,-4.007363319E-2,1.740342379E-2,-2.140502930E-1
2.559996842E0,-3.509593010E-2,-1.597389579E-3,-2.116870880E-1
2.569996842E0,-3.500616550E-2,-1.555740833E-3,-2.308559418E-1
2.579996875E0,-3.744387627E-2,-1.371175051E-2,-2.188749313E-1
2.589996875E0,-4.231631756E-2,-1.126508415E-2,-2.236518860E-1
2.599996875E0,-5.194330215E-2,1.017893851E-2,-2.164592743E-1
2.609996875E0,-2.464306355E-2,-9.601935744E-3,-2.046222687E-1
2.619996841E0,-3.690230846E-2,-6.883099675E-3,-1.997966766E-1
2.629996807E0,-3.406918049E-2,-4.892989993E-3,-2.118272781E-1
2.639996840E0,-1.734232903E-2,-5.097642541E-3,-1.902704239E-1
