"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.225509680E1,4.576816800E0,-9.004993942E-1,0.000000000E0,0.000000000E0,1.441300011E1,2.000000000E0
0.000000000E0,5.225509680E1,4.576816800E0,-9.004993942E-1,0.000000000E0,0.000000000E0,1.441300011E1,2.000000000E0
4.065300000E1,5.225509650E1,4.576817800E0,-1.000497717E0,0.000000000E0,0.000000000E0,1.468200016E1,2.000000000E0
4.065300000E1,5.225509650E1,4.576817800E0,-1.000497717E0,0.000000000E0,0.000000000E0,1.468200016E1,2.000000000E0
8.067200000E1,5.225509120E1,4.576821600E0,-9.005042722E-1,0.000000000E0,0.000000000E0,1.467199993E1,2.000000000E0
8.067200000E1,5.225509120E1,4.576821600E0,-9.005042722E-1,0.000000000E0,0.000000000E0,1.467199993E1,2.000000000E0
1.206970000E2,5.225509160E1,4.576820100E0,-9.005045672E-1,0.000000000E0,0.000000000E0,1.460999966E1,2.000000000E0
1.206970000E2,5.225509160E1,4.576820100E0,-9.005045672E-1,0.000000000E0,0.000000000E0,1.460999966E1,2.000000000E0
1.618040000E2,5.225509930E1,4.576811500E0,-9.004989721E-1,0.000000000E0,0.000000000E0,1.412699986E1,2.000000000E0
1.618040000E2,5.225509930E1,4.576811500E0,-9.004989721E-1,0.000000000E0,0.000000000E0,1.412699986E1,2.000000000E0
2.018340000E2,5.225509390E1,4.576811800E0,-9.005060827E-1,0.000000000E0,0.000000000E0,1.461100006E1,2.000000000E0
2.018340000E2,5.225509390E1,4.576811800E0,-9.005060827E-1,0.000000000E0,0.000000000E0,1.461100006E1,2.000000000E0
2.420450000E2,5.225509350E1,4.576812600E0,-9.005061769E-1,0.000000000E0,0.000000000E0,1.466399956E1,2.000000000E0
2.420450000E2,5.225509350E1,4.576812600E0,-9.005061769E-1,0.000000000E0,0.000000000E0,1.466399956E1,2.000000000E0
2.820710000E2,5.225508890E1,4.576810300E0,-9.005136551E-1,0.000000000E0,0.000000000E0,1.487500000E1,2.000000000E0
