"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.600073190E-1,1.992000008E1,-6.960000038E0,-4.859999657E0
1.700073190E-1,1.992000008E1,-6.779999733E0,-4.859999657E0
1.800078190E-1,1.961999893E1,-6.839999676E0,-5.039999962E0
1.900081520E-1,1.968000031E1,-7.079999924E0,-4.980000019E0
2.000081520E-1,1.973999977E1,-7.019999981E0,-5.159999847E0
2.100081520E-1,1.979999924E1,-6.719999790E0,-5.099999905E0
2.200081520E-1,1.973999977E1,-6.960000038E0,-5.159999847E0
2.300082940E-1,1.973999977E1,-6.839999676E0,-5.460000038E0
2.400084190E-1,1.961999893E1,-7.199999809E0,-4.799999714E0
2.500084190E-1,1.937999916E1,-7.259999752E0,-4.859999657E0
2.600084190E-1,1.955999947E1,-7.319999695E0,-4.440000057E0
2.700084190E-1,1.979999924E1,-7.379999638E0,-4.139999866E0
2.800084190E-1,1.943999863E1,-7.199999809E0,-4.199999809E0
2.900084950E-1,1.943999863E1,-7.259999752E0,-3.899999857E0
3.000085660E-1,1.937999916E1,-7.500000000E0,-4.440000057E0
3.100085660E-1,1.913999939E1,-7.739999771E0,-4.440000057E0
3.200085660E-1,1.919999886E1,-8.099999428E0,-4.619999886E0
3.300085660E-1,1.950000000E1,-7.859999657E0,-4.619999886E0
3.400086210E-1,1.961999893E1,-7.559999943E0,-4.259999752E0
3.500086730E-1,1.992000008E1,-7.319999695E0,-4.199999809E0
3.600086730E-1,2.034000015E1,-6.779999733E0,-4.440000057E0
3.700086730E-1,2.027999878E1,-6.719999790E0,-4.500000000E0
3.800086730E-1,1.997999954E1,-6.539999962E0,-4.619999886E0
3.900087160E-1,1.985999870E1,-6.179999828E0,-5.099999905E0
4.000087160E-1,1.973999977E1,-6.659999847E0,-4.739999771E0
4.100087160E-1,1.985999870E1,-7.199999809E0,-5.159999847E0
4.200087160E-1,2.015999985E1,-7.139999866E0,-5.159999847E0
4.300087160E-1,1.985999870E1,-7.559999943E0,-4.980000019E0
4.400087160E-1,2.015999985E1,-7.259999752E0,-4.739999771E0
4.500087500E-1,1.985999870E1,-7.079999924E0,-4.319999695E0
4.600087500E-1,1.985999870E1,-7.259999752E0,-4.380000114E0
4.700087500E-1,2.015999985E1,-7.139999866E0,-4.319999695E0
4.800087160E-1,1.968000031E1,-7.139999866E0,-4.559999943E0
4.900086820E-1,2.010000038E1,-6.960000038E0,-4.799999714E0
5.000087150E-1,2.034000015E1,-7.259999752E0,-4.980000019E0
5.100087150E-1,2.010000038E1,-7.319999695E0,-4.619999886E0
5.200087150E-1,2.010000038E1,-7.259999752E0,-5.339999676E0
5.300086810E-1,1.961999893E1,-7.440000057E0,-5.279999733E0
5.400086810E-1,1.895999908E1,-7.199999809E0,-4.980000019E0
5.500086810E-1,1.931999969E1,-7.019999981E0,-4.920000076E0
5.600086470E-1,1.943999863E1,-7.440000057E0,-4.679999828E0
5.700086470E-1,1.968000031E1,-7.500000000E0,-4.859999657E0
5.800086470E-1,1.973999977E1,-7.739999771E0,-5.159999847E0
5.900086130E-1,1.973999977E1,-7.619999886E0,-5.460000038E0
6.000086130E-1,1.955999947E1,-7.199999809E0,-4.980000019E0
6.100086460E-1,1.950000000E1,-7.199999809E0,-4.980000019E0
6.200086460E-1,1.950000000E1,-7.019999981E0,-4.559999943E0
6.300086460E-1,1.950000000E1,-7.139999866E0,-4.559999943E0
6.400086120E-1,1.973999977E1,-7.199999809E0,-4.739999771E0
6.500086120E-1,1.992000008E1,-7.259999752E0,-4.500000000E0
6.600086450E-1,2.003999901E1,-7.559999943E0,-4.559999943E0
6.700086450E-1,1.992000008E1,-7.559999943E0,-4.679999828E0
6.800086450E-1,1.992000008E1,-7.739999771E0,-4.739999771E0
6.900086110E-1,1.968000031E1,-7.679999828E0,-4.739999771E0
7.000086440E-1,1.973999977E1,-7.319999695E0,-4.980000019E0
7.100086440E-1,1.955999947E1,-7.319999695E0,-4.799999714E0
7.200086440E-1,1.926000023E1,-7.319999695E0,-4.980000019E0
7.300086440E-1,1.913999939E1,-7.199999809E0,-5.039999962E0
7.400086440E-1,1.889999962E1,-7.379999638E0,-5.219999790E0
7.500086100E-1,1.919999886E1,-7.379999638E0,-5.219999790E0
7.600086430E-1,1.937999916E1,-7.500000000E0,-4.679999828E0
7.700086760E-1,1.926000023E1,-7.500000000E0,-4.679999828E0
7.800086760E-1,1.943999863E1,-7.559999943E0,-4.259999752E0
7.900086760E-1,1.961999893E1,-7.559999943E0,-4.380000114E0
8.000086420E-1,1.950000000E1,-7.379999638E0,-4.859999657E0
8.100086750E-1,2.010000038E1,-7.559999943E0,-4.799999714E0
8.200086750E-1,2.039999962E1,-7.440000057E0,-4.920000076E0
8.300086750E-1,2.003999901E1,-7.199999809E0,-4.619999886E0
8.400086410E-1,2.003999901E1,-7.079999924E0,-4.199999809E0
8.500086740E-1,1.992000008E1,-7.139999866E0,-3.959999800E0
8.600087400E-1,1.968000031E1,-7.019999981E0,-3.839999914E0
8.700087400E-1,1.992000008E1,-7.079999924E0,-4.259999752E0
8.800087060E-1,1.979999924E1,-6.899999619E0,-4.259999752E0
8.900086720E-1,1.979999924E1,-6.779999733E0,-4.619999886E0
9.000086720E-1,1.961999893E1,-7.019999981E0,-4.619999886E0
9.100086050E-1,1.931999969E1,-7.619999886E0,-4.259999752E0
9.200086380E-1,1.926000023E1,-7.919999599E0,-4.139999866E0
9.300086380E-1,1.931999969E1,-7.679999828E0,-3.720000029E0
9.400086380E-1,1.931999969E1,-7.559999943E0,-3.779999971E0
9.500086040E-1,1.926000023E1,-7.199999809E0,-4.139999866E0
9.600086040E-1,1.943999863E1,-7.259999752E0,-4.319999695E0
9.700086370E-1,1.919999886E1,-7.619999886E0,-4.440000057E0
9.800086030E-1,1.907999992E1,-7.199999809E0,-4.619999886E0
9.900086030E-1,1.919999886E1,-7.319999695E0,-4.500000000E0
1.000008569E0,1.926000023E1,-7.319999695E0,-4.920000076E0
1.010008602E0,1.943999863E1,-7.259999752E0,-4.799999714E0
1.020008635E0,1.979999924E1,-7.679999828E0,-4.920000076E0
1.030008635E0,1.985999870E1,-7.440000057E0,-4.980000019E0
1.040008635E0,2.003999901E1,-7.319999695E0,-4.739999771E0
1.050008635E0,1.985999870E1,-7.259999752E0,-5.279999733E0
1.060008601E0,1.997999954E1,-7.500000000E0,-5.099999905E0
1.070008601E0,1.968000031E1,-7.559999943E0,-4.920000076E0
1.080008634E0,1.937999916E1,-7.799999714E0,-4.859999657E0
1.090008634E0,1.961999893E1,-7.919999599E0,-4.559999943E0
1.100008634E0,1.943999863E1,-7.379999638E0,-4.679999828E0
1.110008567E0,1.943999863E1,-6.899999619E0,-4.920000076E0
1.120008600E0,1.968000031E1,-6.539999962E0,-5.039999962E0
1.130008633E0,1.955999947E1,-6.480000019E0,-5.519999981E0
1.140008633E0,1.919999886E1,-6.899999619E0,-5.400000095E0
1.150008599E0,1.937999916E1,-7.319999695E0,-5.400000095E0
1.160008532E0,1.937999916E1,-7.799999714E0,-5.339999676E0
1.170008532E0,1.943999863E1,-7.559999943E0,-5.039999962E0
1.180008532E0,1.985999870E1,-7.500000000E0,-4.739999771E0
1.190008565E0,2.003999901E1,-7.559999943E0,-4.980000019E0
1.200008531E0,1.985999870E1,-7.139999866E0,-4.980000019E0
1.210008564E0,1.937999916E1,-7.259999752E0,-4.920000076E0
1.220008530E0,1.919999886E1,-7.019999981E0,-5.400000095E0
1.230008563E0,1.919999886E1,-6.839999676E0,-5.099999905E0
1.240008596E0,1.926000023E1,-6.659999847E0,-5.279999733E0
1.250008596E0,1.961999893E1,-6.779999733E0,-5.339999676E0
1.260008562E0,1.973999977E1,-6.960000038E0,-5.099999905E0
1.270008528E0,1.997999954E1,-7.199999809E0,-5.339999676E0
1.280008594E0,2.027999878E1,-7.440000057E0,-5.339999676E0
1.290008594E0,2.069999886E1,-7.440000057E0,-5.460000038E0
1.300008594E0,2.063999939E1,-7.259999752E0,-5.339999676E0
1.310008560E0,2.034000015E1,-7.379999638E0,-4.980000019E0
1.320008560E0,2.027999878E1,-7.559999943E0,-4.980000019E0
1.330008626E0,1.985999870E1,-7.379999638E0,-4.559999943E0
1.340008626E0,1.992000008E1,-7.440000057E0,-4.679999828E0
1.350008626E0,2.027999878E1,-7.019999981E0,-4.799999714E0
1.360008626E0,2.063999939E1,-6.779999733E0,-4.619999886E0
1.370008592E0,2.027999878E1,-6.960000038E0,-4.980000019E0
1.380008558E0,2.015999985E1,-7.139999866E0,-5.159999847E0
1.390008591E0,1.961999893E1,-7.500000000E0,-5.579999924E0
1.400008591E0,1.919999886E1,-7.319999695E0,-5.519999981E0
1.410008624E0,1.955999947E1,-7.259999752E0,-5.339999676E0
1.420008590E0,1.973999977E1,-7.319999695E0,-5.039999962E0
1.430008590E0,2.015999985E1,-7.139999866E0,-5.039999962E0
1.440008623E0,2.039999962E1,-7.319999695E0,-5.339999676E0
1.450008623E0,2.021999931E1,-7.199999809E0,-5.460000038E0
1.460008656E0,2.021999931E1,-6.839999676E0,-5.759999752E0
1.470008656E0,1.992000008E1,-7.079999924E0,-5.460000038E0
1.480008722E0,1.979999924E1,-7.259999752E0,-5.339999676E0
