"Time (s)","Pressure (hPa)"
1.953073190E-1,1.000250977E3
2.953073190E-1,1.000255371E3
3.953073190E-1,1.000257324E3
4.953076520E-1,1.000258789E3
5.953079020E-1,1.000260010E3
6.953081020E-1,1.000260986E3
7.953082680E-1,1.000266357E3
8.953082680E-1,1.000263672E3
9.953082680E-1,1.000268066E3
1.095308156E0,1.000274414E3
1.195308156E0,1.000277100E3
1.295308156E0,1.000274414E3
1.395308156E0,1.000279541E3
1.495308156E0,1.000277344E3
1.595308156E0,1.000280029E3
1.695308222E0,1.000278320E3
1.795308222E0,1.000272949E3
1.895308280E0,1.000276367E3
1.995308280E0,1.000260986E3
2.095308332E0,1.000260010E3
2.195308332E0,1.000269775E3
2.295308332E0,1.000268799E3
2.395308332E0,1.000260986E3
2.495308332E0,1.000263672E3
2.595308332E0,1.000264404E3
2.695308332E0,1.000268311E3
2.795308332E0,1.000274902E3
2.895308332E0,1.000270996E3
2.995308367E0,1.000261963E3
3.095308401E0,1.000258057E3
3.195308434E0,1.000258301E3
3.295308467E0,1.000258789E3
3.395308467E0,1.000256836E3
3.495308433E0,1.000259277E3
3.595308399E0,1.000260254E3
3.695308365E0,1.000254639E3
3.795308331E0,1.000261475E3
3.895308331E0,1.000266602E3
3.995308331E0,1.000272217E3
4.095308364E0,1.000271973E3
4.195308397E0,1.000275146E3
4.295308397E0,1.000269775E3
4.396382741E0,1.000269775E3
4.496382741E0,1.000263428E3
4.596382774E0,1.000263184E3
4.696382740E0,1.000263184E3
4.796382740E0,1.000268066E3
4.896382706E0,1.000268799E3
4.996382706E0,1.000267090E3
5.096382672E0,1.000268799E3
5.196382672E0,1.000265869E3
5.296382672E0,1.000268799E3
5.396382672E0,1.000263916E3
5.496382705E0,1.000260498E3
5.596382738E0,1.000261719E3
5.696382771E0,1.000251465E3
5.796382804E0,1.000252686E3
5.896382804E0,1.000258057E3
5.996382804E0,1.000255859E3
6.096382770E0,1.000257080E3
6.196382736E0,1.000254150E3
6.296382702E0,1.000259277E3
6.396382702E0,1.000262207E3
6.496382702E0,1.000265625E3
6.596382702E0,1.000261719E3
6.696382735E0,1.000259033E3
6.796382735E0,1.000265869E3
6.896382768E0,1.000269775E3
6.996382768E0,1.000271484E3
7.096382801E0,1.000262451E3
7.196382767E0,1.000257568E3
7.296382767E0,1.000255127E3
7.396382733E0,1.000254395E3
7.496382733E0,1.000255859E3
7.596382699E0,1.000266602E3
7.696382699E0,1.000266113E3
7.796382699E0,1.000265381E3
7.896382699E0,1.000265381E3
7.996382732E0,1.000260498E3
8.096382765E0,1.000253174E3
8.196382798E0,1.000263184E3
8.296382831E0,1.000261719E3
8.396382831E0,1.000269775E3
8.496382797E0,1.000283203E3
8.596382763E0,1.000283203E3
8.696382729E0,1.000282227E3
8.796382695E0,1.000283447E3
8.896382695E0,1.000279297E3
8.996382661E0,1.000274170E3
9.096382661E0,1.000266113E3
9.196382694E0,1.000265137E3
9.296382694E0,1.000266113E3
9.396382727E0,1.000263916E3
9.496382727E0,1.000262939E3
9.596382760E0,1.000265869E3
9.696382726E0,1.000260498E3
9.796382726E0,1.000264160E3
9.896382692E0,1.000264160E3
9.996382692E0,1.000264893E3
1.009638266E1,1.000265381E3
1.019638266E1,1.000268311E3
1.029638266E1,1.000266113E3
1.039638266E1,1.000269775E3
1.049638269E1,1.000273926E3
1.059638272E1,1.000276855E3
1.069638276E1,1.000268066E3
1.079638279E1,1.000271973E3
1.089638279E1,1.000275146E3
1.099638276E1,1.000279053E3
1.109638272E1,1.000274170E3
1.119638269E1,1.000272217E3
1.129638265E1,1.000267090E3
1.139638265E1,1.000267334E3
1.149638265E1,1.000268799E3
1.159637450E1,1.000270508E3
1.169637454E1,1.000259277E3
1.179637454E1,1.000259766E3
1.189637457E1,1.000256104E3
1.199637457E1,1.000254150E3
1.209637460E1,1.000260254E3
1.219637457E1,1.000260986E3
1.229637457E1,1.000258301E3
1.239637454E1,1.000262695E3
1.249637454E1,1.000262695E3
1.259637450E1,1.000261963E3
1.269637450E1,1.000266113E3
1.279637450E1,1.000269287E3
1.289637450E1,1.000268311E3
1.299637453E1,1.000273193E3
1.309637457E1,1.000265381E3
1.319637460E1,1.000255127E3
1.329637463E1,1.000260498E3
1.339637463E1,1.000261963E3
1.349637460E1,1.000260986E3
1.359637457E1,1.000265625E3
1.369637453E1,1.000264893E3
1.379637450E1,1.000260254E3
1.389637450E1,1.000261475E3
1.399637450E1,1.000252930E3
1.409637446E1,1.000261475E3
1.419637450E1,1.000258057E3
1.429637450E1,1.000250000E3
1.439637453E1,1.000248779E3
1.449637453E1,1.000252930E3
1.459637456E1,1.000248047E3
1.469637453E1,1.000243652E3
1.479637453E1,1.000251709E3
1.489637449E1,1.000235107E3
1.499637449E1,1.000235107E3
1.509637446E1,1.000236084E3
1.519637446E1,1.000246094E3
1.529637446E1,1.000248291E3
1.539637446E1,1.000253174E3
1.549637449E1,1.000248047E3
1.559637453E1,1.000251465E3
1.569637456E1,1.000253662E3
1.579637459E1,1.000251465E3
1.589637459E1,1.000253418E3
1.599637459E1,1.000257568E3
1.609637456E1,1.000259766E3
1.619637452E1,1.000259521E3
1.629637449E1,1.000260498E3
1.639637449E1,1.000260742E3
1.649637449E1,1.000262695E3
