"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,9.672870040E-1,9.737515450E0,-7.015225291E-1
1.000668800E-1,1.034326673E0,9.802161217E0,-6.608198285E-1
2.001349280E-1,8.523618579E-1,9.816526413E0,-7.350423932E-1
3.002019750E-1,8.715160489E-1,9.821314812E0,-6.225114465E-1
4.002699570E-1,8.643332124E-1,9.809344292E0,-6.440598965E-1
5.003371380E-1,9.098244309E-1,9.792584419E0,-5.698373914E-1
6.004002200E-1,8.619389534E-1,9.830892563E0,-6.440598965E-1
7.004705660E-1,8.236305118E-1,9.720755577E0,-5.339232683E-1
8.005368140E-1,9.337671995E-1,9.881172180E0,-3.328042030E-1
9.006019950E-1,8.475732803E-1,9.806949615E0,-4.692778587E-1
1.000671076E0,7.853221297E-1,9.850046158E0,-5.387118459E-1
1.100738421E0,8.308133483E-1,9.883566856E0,-5.363175869E-1
1.200799502E0,8.116591573E-1,9.838075638E0,-4.309694767E-1
1.300866349E0,8.044763207E-1,9.847652435E0,-4.285751879E-1
1.400943797E0,7.230709791E-1,9.833286285E0,-4.022381604E-1
1.501012179E0,7.565908432E-1,9.835680962E0,-3.328042030E-1
1.601075760E0,8.691217303E-1,9.847652435E0,-3.639297783E-1
1.701141077E0,7.948992252E-1,9.826104164E0,-3.495641351E-1
1.801207724E0,7.350423932E-1,9.833286285E0,-4.237866402E-1
1.901274972E0,7.901107073E-1,9.852440834E0,-3.256213665E-1
2.001341954E0,8.164477348E-1,9.852440834E0,-2.777358890E-1
2.101408804E0,8.595446348E-1,9.826104164E0,-2.849186957E-1
2.201476052E0,8.020820618E-1,9.830892563E0,-2.537931204E-1
2.301543298E0,7.877163887E-1,9.823709488E0,-3.519583941E-1
2.401611113E0,8.212362528E-1,9.859623909E0,-2.657645047E-1
2.501678125E0,8.068706393E-1,9.818921089E0,-3.256213665E-1
2.601748672E0,8.643332124E-1,9.845257759E0,-4.213923812E-1
2.701812287E0,7.996878028E-1,9.809344292E0,-3.591412306E-1
2.801880799E0,7.757450342E-1,9.833286285E0,-3.950553536E-1
2.901953447E0,8.427847624E-1,9.821314812E0,-4.142095447E-1
3.002015393E0,8.595446348E-1,9.823709488E0,-4.405465722E-1
3.102080607E0,9.026415944E-1,9.802161217E0,-3.854782581E-1
3.202154356E0,8.882759809E-1,9.821314812E0,-4.261809289E-1
3.302217137E0,8.044763207E-1,9.852440834E0,-3.759011328E-1
3.402282988E0,8.475732803E-1,9.814132690E0,-4.189980924E-1
3.502349869E0,8.308133483E-1,9.828497887E0,-3.519583941E-1
3.602416215E0,9.529213905E-1,9.830892563E0,-3.088614643E-1
3.702483229E0,9.074301720E-1,9.852440834E0,-4.477293789E-1
3.802552209E0,9.265843630E-1,9.802161217E0,-2.418217510E-1
3.902618223E0,8.379961848E-1,9.859623909E0,-3.040728867E-1
4.002684435E0,8.834874034E-1,9.818921089E0,-2.513988614E-1
4.102751849E0,8.906702399E-1,9.823709488E0,-2.394274771E-1
4.202816929E0,9.601042271E-1,9.845257759E0,-3.328042030E-1
4.304341496E0,1.005595446E0,9.783006668E0,-3.016786277E-1
4.404409044E0,9.696813226E-1,9.821314812E0,-2.226675600E-1
4.504477193E0,1.029538155E0,9.809344292E0,-2.513988614E-1
4.604550106E0,1.012778282E0,9.828497887E0,-2.202732861E-1
4.704610117E0,9.960182905E-1,9.845257759E0,-3.232271075E-1
4.804677399E0,1.089395046E0,9.811738014E0,-2.298503816E-1
4.904745313E0,1.091789365E0,9.790189743E0,-3.950553536E-1
5.004812127E0,1.137280583E0,9.821314812E0,-3.782954216E-1
5.104878872E0,1.106154919E0,9.830892563E0,-4.333637357E-1
5.204949786E0,1.180377483E0,9.804554939E0,-4.142095447E-1
5.305013100E0,1.113337755E0,9.761458397E0,-3.375927508E-1
5.405079778E0,1.223474383E0,9.792584419E0,-4.788549542E-1
5.505147294E0,1.163617611E0,9.771035194E0,-4.644893110E-1
5.605214376E0,1.139674783E0,9.818921089E0,-5.027977228E-1
5.705281260E0,1.204320192E0,9.766246796E0,-5.051919818E-1
5.805348607E0,1.283331275E0,9.792584419E0,-5.913859010E-1
5.905416288E0,1.347976685E0,9.751881599E0,-4.740664065E-1
6.005482901E0,1.328822494E0,9.794978142E0,-5.626545548E-1
6.105549851E0,1.247417212E0,9.735121727E0,-5.482889414E-1
6.205613667E0,1.355159521E0,9.744698524E0,-5.004034638E-1
6.305691548E0,1.350371003E0,9.761458397E0,-5.458946824E-1
6.405751795E0,1.379102230E0,9.761458397E0,-5.913859010E-1
6.505818542E0,1.395862222E0,9.754275322E0,-5.578660369E-1
6.605885722E0,1.424593568E0,9.711178780E0,-6.967339516E-1
6.705952702E0,1.489238977E0,9.694418907E0,-5.339232683E-1
6.806019483E0,1.362342358E0,9.747093201E0,-6.703969240E-1
6.906087632E0,1.537124395E0,9.715967178E0,-6.344828010E-1
7.006153981E0,1.403045058E0,9.804554939E0,-5.075862408E-1
7.106220993E0,1.491633177E0,9.723150253E0,-6.799740195E-1
7.206285540E0,1.527547359E0,9.684841156E0,-6.751855016E-1
7.306356321E0,1.556278586E0,9.718361855E0,-8.451790214E-1
7.406422768E0,1.594586968E0,9.694418907E0,-7.541965842E-1
7.506491948E0,1.788523316E0,9.651321411E0,-1.017566800E0
7.606556994E0,1.747820616E0,9.634561539E0,-9.361614585E-1
7.706624139E0,1.893871427E0,9.624984741E0,-9.840469360E-1
7.806691752E0,1.685569525E0,9.651321411E0,-8.284190893E-1
7.906758734E0,1.774157643E0,9.577098846E0,-8.691217303E-1
8.006825815E0,1.891477108E0,9.675264359E0,-1.051086664E0
8.106892397E0,1.750214934E0,9.723150253E0,-8.236305118E-1
8.206957212E0,1.743032098E0,9.682447433E0,-8.284190893E-1
8.307027492E0,1.819648862E0,9.672870636E0,-8.523618579E-1
8.407099172E0,1.769369125E0,9.680052757E0,-8.044763207E-1
8.507160719E0,1.690358043E0,9.696812630E0,-1.673598051E0
8.607228102E0,1.834014535E0,9.538790703E0,-5.075862408E-1
8.707294416E0,1.482056141E0,9.761458397E0,-8.475732803E-1
8.807363231E0,-9.984126091E-1,1.076465988E1,9.553156495E-1
8.907429979E0,1.836408734E0,9.689630508E0,-5.411061049E-1
9.007497991E0,1.620923996E0,9.715967178E0,-5.075862408E-1
9.107563740E0,1.630501151E0,9.718361855E0,-4.405465722E-1
9.207627286E0,1.690358043E0,9.680052757E0,-5.123748183E-1
9.307697966E0,1.575432777E0,9.696812630E0,-4.788549542E-1
9.407766080E0,1.683175206E0,9.747093201E0,-5.722316504E-1
9.507832895E0,1.565855742E0,9.699207306E0,-4.453351200E-1
9.607900008E0,1.522758722E0,9.754275322E0,-4.501236677E-1
9.707966687E0,1.565855742E0,9.689630508E0,-3.926610649E-1
9.808034301E0,1.549095750E0,9.663292885E0,-3.328042030E-1
9.908100681E0,1.501210332E0,9.735121727E0,-4.836435020E-1
1.000816846E1,1.529941559E0,9.725543976E0,-4.213923812E-1
1.010823561E1,1.489238977E0,9.718361855E0,-4.213923812E-1
1.020830402E1,1.544307232E0,9.737515450E0,-5.123748183E-1
1.030836944E1,1.575432777E0,9.687235832E0,-5.578660369E-1
1.040843932E1,1.379102230E0,9.809344292E0,-4.932205975E-1
1.050850330E1,1.537124395E0,9.732727051E0,-2.825244367E-1
1.060857155E1,1.347976685E0,9.759063721E0,-4.884320498E-1
1.070863892E1,1.350371003E0,9.785401344E0,-4.237866402E-1
1.080870487E1,1.314456820E0,9.809344292E0,-3.184385598E-1
1.090877172E1,1.336005330E0,9.766246796E0,-2.466102988E-1
1.100883877E1,1.297696948E0,9.778218269E0,-3.902668059E-1
1.110890765E1,1.156434774E0,9.818921089E0,-2.921015322E-1
1.120897036E1,1.223474383E0,9.763853073E0,-2.154847383E-1
1.130904107E1,1.273754239E0,9.802161217E0,-4.477293789E-1
1.140910739E1,1.101366401E0,9.785401344E0,-2.418217510E-1
1.150917507E1,1.230657220E0,9.799766541E0,-1.987248063E-1
1.160924611E1,1.156434774E0,9.811738014E0,-2.992843390E-1
1.170935730E1,1.039115310E0,9.864412308E0,-2.921015322E-1
1.180942394E1,1.144463301E0,9.775823593E0,-2.035133541E-1
1.190949062E1,1.067846537E0,9.778218269E0,-1.795706153E-1
1.200955777E1,1.101366401E0,9.826104164E0,-2.705530524E-1
1.210963009E1,1.084606528E0,9.828497887E0,-2.657645047E-1
1.220968900E1,1.041509509E0,9.818921089E0,-1.867534369E-1
1.230975925E1,1.048692346E0,9.802161217E0,-3.136500120E-1
1.240982636E1,1.051086664E0,9.759063721E0,-2.633702159E-1
1.250989344E1,1.029538155E0,9.830892563E0,-3.280156553E-1
1.260995999E1,1.077423692E0,9.799766541E0,-2.921015322E-1
1.271002700E1,1.043903828E0,9.818921089E0,-3.639297783E-1
1.281009455E1,1.029538155E0,9.814132690E0,-4.213923812E-1
1.291016120E1,9.409499764E-1,9.794978142E0,-3.519583941E-1
1.301023454E1,1.015172482E0,9.838075638E0,-4.620950520E-1
1.311029702E1,8.739103079E-1,9.838075638E0,-3.064671755E-1
1.321035854E1,1.000806928E0,9.806949615E0,-4.333637357E-1
1.331043055E1,1.101366401E0,9.811738014E0,-5.435003638E-1
