"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.634662770E-1,-2.478158101E-2,6.640105275E-4,3.552181413E-3
3.635347260E-1,-9.509949945E-3,-7.277237717E-3,-1.130100718E-4
4.636012400E-1,-3.577715531E-2,-9.720697999E-3,3.552181413E-3
5.636677220E-1,-1.745119877E-2,-3.001180943E-3,1.108720433E-3
6.637351690E-1,-3.401297610E-3,-1.033156365E-2,1.719585620E-3
7.638017160E-1,-6.143349409E-2,4.329202231E-3,1.271515992E-2
8.638700630E-1,-3.333369270E-2,5.550932605E-3,1.271515992E-2
9.639346770E-1,-1.622946747E-2,-9.109833278E-3,-2.556471154E-3
1.063999526E0,-7.677354384E-3,-1.155329403E-2,-1.130100718E-4
1.164068636E0,-2.600331046E-2,-8.498968557E-3,4.163046833E-3
1.264132550E0,-9.509949945E-3,-1.277502440E-2,5.995642394E-3
1.364206766E0,-2.172725461E-2,6.772662979E-3,1.719585620E-3
1.464277014E0,-3.883148357E-2,1.410304569E-2,2.187814005E-2
1.564339963E0,2.707354724E-3,-6.055507343E-3,2.248900384E-2
1.664406645E0,-1.439687237E-2,1.885741018E-3,1.699121669E-2
1.764472793E0,-1.684033312E-2,4.329202231E-3,1.699121669E-2
1.864540109E0,-7.066489197E-3,1.885741018E-3,1.515862066E-2
1.964608655E0,-2.111639082E-2,1.274875714E-3,3.165198490E-2
2.064675006E0,-3.469714429E-4,-2.390315756E-3,1.271515992E-2
2.164741087E0,-1.195341069E-2,-1.582935080E-2,9.049968794E-3
2.264809400E0,1.553552505E-2,-3.001180943E-3,1.515862066E-2
2.364876215E0,3.929085098E-3,3.107471392E-3,1.760208048E-2
2.464945261E0,3.935926780E-2,-2.682492696E-2,2.493246458E-2
2.565014075E0,3.935926780E-2,-6.055507343E-3,2.065640874E-2
2.665077755E0,-4.623028450E-3,2.496606437E-3,1.027169917E-2
2.765145102E0,1.553552505E-2,1.274875714E-3,2.432160079E-2
2.865218550E0,5.150815938E-3,-8.498968557E-3,2.248900384E-2
2.965280496E0,1.675725542E-2,-2.132713981E-2,2.981938794E-2
3.065345609E0,-9.578366880E-4,-4.833776504E-3,2.798679098E-2
3.165419391E0,-2.179567004E-3,3.107471392E-3,1.271515992E-2
3.265485940E0,-6.455624010E-3,1.274875714E-3,1.271515992E-2
3.365547855E0,3.929085098E-3,-1.779450453E-3,2.493246458E-2
3.465615471E0,-9.509949945E-3,-4.222911317E-3,2.554333024E-2
3.565681284E0,-9.509949945E-3,-2.071627229E-2,2.676505968E-2
3.665749264E0,-1.568701933E-3,4.940067418E-3,2.065640874E-2
3.765816345E0,-2.539244667E-2,9.216123261E-3,1.454775594E-2
3.865883025E0,-6.455624010E-3,-5.577199627E-4,2.187814005E-2
3.965950038E0,-7.677354384E-3,-7.888102904E-3,2.248900384E-2
4.066016718E0,-1.256427635E-2,-7.277237717E-3,2.676505968E-2
4.166083231E0,1.003773790E-2,-7.888102904E-3,4.142582789E-2
4.266315970E0,-9.578366880E-4,-3.001180943E-3,2.859765664E-2
4.366383851E0,-8.288219571E-3,2.448775433E-2,3.470630944E-2
4.466450533E0,-2.179567004E-3,2.448775433E-2,3.409544379E-2
4.566517881E0,-2.790432423E-3,1.885741018E-3,2.676505968E-2
4.666584792E0,1.309206430E-2,-7.277237717E-3,3.409544379E-2
4.766651973E0,2.775282972E-2,-2.560319565E-2,4.142582789E-2
4.866719120E0,5.707436055E-2,-3.659877181E-2,3.348457813E-2
4.966786068E0,2.347677201E-2,-2.377059869E-2,3.714976832E-2
5.066853413E0,2.897455916E-2,-2.071627229E-2,3.714976832E-2
5.166925360E0,1.125946827E-2,8.605258539E-3,3.287371621E-2
5.266988541E0,5.761681125E-3,-9.720697999E-3,2.554333024E-2
5.367054420E0,2.714196406E-2,-4.209655896E-2,3.287371621E-2
5.467121901E0,1.553552505E-2,-1.277502440E-2,2.798679098E-2
5.567188016E0,2.347677201E-2,-2.926838771E-2,3.043025173E-2
5.667255466E0,8.205141872E-3,-2.377059869E-2,4.509101808E-2
5.767323182E0,2.653109841E-2,-4.270742089E-2,3.776063398E-2
5.867390629E0,-6.455624010E-3,-3.171184659E-2,3.653890640E-2
5.967457643E0,1.370292995E-2,1.654650643E-2,3.348457813E-2
6.067525191E0,8.205141872E-3,-4.392915219E-2,3.287371621E-2
6.167590874E0,-2.179567004E-3,-2.010540850E-2,4.509101808E-2
6.267657788E0,1.736812107E-2,-2.560319565E-2,4.142582789E-2
6.367726302E0,1.553552505E-2,-3.293357790E-2,3.470630944E-2
