"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.700759100E-2,-8.218864202E-1,1.320295334E0,3.992866516E0
1.170817260E-1,-6.853706837E-1,1.002265930E0,3.364880800E0
2.171525910E-1,-4.316973686E-1,2.790651321E-1,1.153634906E0
3.172181890E-1,-1.669150591E-1,1.864757538E-1,7.203024626E-1
4.172844870E-1,-6.321066618E-2,1.016168594E-1,3.385356069E-1
5.173521850E-1,-1.104598641E-1,1.106567383E-1,3.725264668E-1
6.174198160E-1,-8.592027426E-2,9.780120850E-2,2.681651711E-1
7.174884470E-1,-5.709624290E-2,-4.598617554E-3,-4.521548748E-3
8.175553450E-1,-4.075998068E-2,1.532688141E-1,-2.828186750E-2
9.176212100E-1,-2.996063232E-2,2.818298340E-2,1.260977983E-1
1.017685274E0,-1.265491843E-1,9.679603577E-2,1.618803144E-1
1.117751472E0,-6.297469139E-2,1.266355515E-1,-2.833694220E-2
1.217818270E0,-7.045847178E-2,1.002578735E-1,6.700295210E-2
1.317884901E0,-1.202228069E-1,8.375167847E-2,6.164690852E-2
1.417952899E0,-1.666411757E-1,7.482910156E-2,-2.514144778E-2
1.518021730E0,-7.039362192E-2,4.254341125E-2,1.510431170E-1
1.618091493E0,-3.203129768E-2,8.754920959E-2,9.402334690E-3
1.718158024E0,-7.601547241E-2,1.114263535E-1,5.856218934E-2
1.818224988E0,-1.170699596E-1,7.030391693E-2,7.439845800E-2
1.918292318E0,-1.685912609E-1,8.642387390E-2,3.438246250E-2
2.018359683E0,-4.600185156E-2,9.552764893E-2,7.667124271E-2
2.118426481E0,-3.669327497E-2,8.096694946E-2,4.129236937E-2
2.218492845E0,-9.957534075E-2,7.562446594E-2,1.258287430E-1
2.318560043E0,-8.964425325E-2,6.569576263E-2,1.548901200E-2
2.418627607E0,-1.230620146E-1,7.525730133E-2,1.814029962E-1
2.518701405E0,-6.772768497E-2,8.822154999E-2,3.468275070E-2
2.618768604E0,-1.508229971E-2,1.186656952E-1,-6.185659766E-2
2.718835602E0,-1.109426022E-1,6.657505035E-2,1.315045059E-1
2.818896633E0,-9.627747536E-2,6.210517883E-2,6.485810876E-2
2.918963798E0,-8.473652601E-2,8.677291870E-2,1.041668653E-2
3.019030996E0,-7.876807451E-2,9.977245331E-2,-6.010091305E-2
3.119097861E0,-2.269560099E-2,1.010656357E-1,2.652981877E-2
3.219169692E0,-8.198398352E-2,8.016109467E-2,3.293728828E-2
3.319236690E0,-1.652339101E-1,8.467578888E-2,3.125771880E-2
3.419304488E0,-5.519372225E-2,1.084775925E-1,-3.009024262E-2
3.519366852E0,-3.209781647E-2,2.301120758E-2,-4.484137893E-2
3.619434150E0,-5.366981030E-2,6.468963623E-2,5.253016949E-3
3.719500581E0,-9.769988060E-2,1.324081421E-1,-7.978478074E-2
3.819567945E0,-1.141622066E-1,8.642387390E-2,6.846511364E-2
3.919635010E0,-1.177340150E-1,1.003885269E-1,2.430269122E-2
4.019702142E0,-6.455522776E-2,5.799198151E-2,-2.797862887E-2
4.119769073E0,-1.162126064E-1,8.314037323E-2,7.700462639E-2
4.219835538E0,-3.893053532E-2,1.163940430E-1,-6.292811036E-2
4.321553636E0,-5.323374271E-2,8.268642426E-2,2.877777815E-2
4.421620835E0,-1.193497777E-1,8.969879150E-2,6.302626431E-2
4.521688365E0,-1.555353403E-1,9.360885620E-2,9.687721729E-3
4.621755863E0,-6.809234619E-2,5.894660950E-2,4.717126489E-2
4.721822861E0,-1.160194278E-1,1.115446091E-1,4.386597872E-2
4.821890359E0,-2.769470215E-2,3.569698334E-2,1.017213464E-1
4.921957491E0,-4.110848904E-2,5.187225342E-2,-7.289457321E-2
5.022024755E0,-8.500099182E-2,1.016445160E-1,5.064770579E-2
5.122091787E0,-9.829843044E-2,7.651805878E-2,4.691630602E-3
5.222158219E0,-1.823341846E-2,7.701683044E-2,-1.876491308E-2
5.322225318E0,-1.315058470E-1,7.171058655E-2,7.783770561E-2
5.422292517E0,-2.120411396E-2,7.405853271E-2,-1.384571195E-2
5.522360248E0,-5.700588226E-2,8.219242096E-2,3.767749667E-2
5.622427346E0,-1.822917461E-1,1.017942429E-1,-5.524179339E-2
5.722494344E0,-3.377950191E-2,7.615375519E-2,5.844005942E-2
5.822561508E0,-4.858720303E-2,9.951114655E-2,-2.499908209E-2
5.922628706E0,-2.555930614E-2,2.203941345E-2,4.267582297E-2
6.022695971E0,-3.688967228E-2,8.761215210E-2,7.471817732E-2
6.122763036E0,-6.944406033E-2,7.751750946E-2,-9.061169624E-2
6.222829335E0,-6.814157963E-2,4.070281982E-2,4.994243383E-2
6.322899700E0,-5.127620697E-2,8.261394501E-2,-4.373592138E-2
6.422966964E0,-1.126989126E-1,7.714557648E-2,-6.069874763E-2
6.523035662E0,-2.055048943E-3,4.941463470E-2,2.791339159E-2
6.623099527E0,-8.249223232E-2,1.945114136E-2,-8.990031481E-2
6.723166659E0,-1.088762283E-2,3.816127777E-2,4.559725523E-2
6.823233091E0,-5.249965191E-2,8.476352692E-2,-2.554023266E-2
6.923300222E0,-5.101859570E-2,8.448219299E-2,-3.915190697E-3
7.023367387E0,-6.466746330E-2,8.662986755E-2,2.374708652E-3
7.123434219E0,-1.363543272E-1,1.867294312E-2,-5.066341162E-2
7.223500483E0,-7.445240021E-2,-2.145767212E-4,1.278104782E-1
7.323567615E0,3.491640091E-4,9.997558594E-2,-1.782509089E-1
7.423634980E0,-1.204578876E-1,7.278537750E-2,-3.624618053E-3
7.523703011E0,1.042829752E-1,1.115026474E-1,-1.766550541E-1
7.623770143E0,-5.231857300E-2,5.492973328E-2,-1.984334588E-1
7.723837475E0,5.235576630E-2,-2.150726318E-2,-6.874567270E-2
