"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.238456190E1,5.208636900E0,-2.913485724E0,0.000000000E0,0.000000000E0,1.513700008E1,2.000000000E0
1.090081696E1,5.238438629E1,5.208534202E0,-2.760163051E0,6.581187844E-1,8.155079842E0,9.600000000E1,0.000000000E0
1.189055307E1,5.238435442E1,5.208646914E0,3.571304374E0,7.020152211E-1,3.544386292E2,2.000000000E2,0.000000000E0
1.289109457E1,5.238439267E1,5.208819360E0,-8.933093022E0,8.961894512E-1,3.357713928E2,9.600000000E1,0.000000000E0
1.388539430E1,5.238444559E1,5.208838999E0,-2.617079572E0,9.961190224E-1,3.418706970E2,1.920000000E2,0.000000000E0
1.488102369E1,5.238444791E1,5.208844703E0,-1.435393165E0,1.106898785E0,3.540853882E2,1.920000000E2,0.000000000E0
1.588590642E1,5.238441553E1,5.208804661E0,-7.210335061E0,1.097177863E0,3.573593750E2,1.920000000E2,0.000000000E0
1.788761903E1,5.238448349E1,5.208840415E0,-4.900723073E0,1.069055319E0,3.524470215E2,1.920000000E2,0.000000000E0
1.888856499E1,5.238454067E1,5.208748773E0,-1.871795980E0,1.011175156E0,3.503510742E2,1.280000000E2,0.000000000E0
1.990255330E1,5.238458443E1,5.208763319E0,4.256237009E-1,9.068802595E-1,3.467845459E2,1.280000000E2,0.000000000E0
2.089869349E1,5.238451456E1,5.208854210E0,-3.346024486E0,6.916800141E-1,3.483912354E2,1.280000000E2,0.000000000E0
2.190340706E1,5.238444671E1,5.208848436E0,-7.659131731E0,4.957104027E-1,3.458114319E2,1.280000000E2,0.000000000E0
2.291413433E1,5.238439764E1,5.208917652E0,-1.168047276E1,1.206789464E-1,1.647845764E2,6.400000000E1,0.000000000E0
2.391871033E1,5.238437950E1,5.208994026E0,-2.024105056E1,1.728404164E-1,1.128468170E2,6.400000000E1,0.000000000E0
2.491182903E1,5.238433038E1,5.209045231E0,-2.816047158E1,3.178553581E-1,1.164644928E2,6.400000000E1,0.000000000E0
2.590114414E1,5.238427597E1,5.209079323E0,-4.115839201E1,4.528404176E-1,1.297924652E2,6.400000000E1,0.000000000E0
2.690997106E1,5.238422975E1,5.209066547E0,-5.290886171E1,5.035677552E-1,1.421528015E2,6.400000000E1,0.000000000E0
2.791572441E1,5.238419768E1,5.209067620E0,-6.180185330E1,5.261790752E-1,1.500076141E2,9.600000000E1,0.000000000E0
2.889306618E1,5.238419981E1,5.209065942E0,-6.436507066E1,4.265051782E-1,1.557721558E2,9.600000000E1,0.000000000E0
2.990142106E1,5.238422001E1,5.208897421E0,-7.302709971E1,0.000000000E0,0.000000000E0,1.280000000E2,0.000000000E0
3.089248637E1,5.238422516E1,5.208844037E0,-6.713881908E1,0.000000000E0,0.000000000E0,1.280000000E2,0.000000000E0
3.189781321E1,5.238426135E1,5.208882455E0,-6.329507192E1,5.254660249E-1,0.000000000E0,6.400000000E1,0.000000000E0
3.288694040E1,5.238423032E1,5.208717030E0,-6.445188222E1,0.000000000E0,0.000000000E0,6.400000000E1,0.000000000E0
3.388666163E1,5.238425558E1,5.208762060E0,-5.943490520E1,0.000000000E0,0.000000000E0,6.400000000E1,0.000000000E0
5.389622081E1,5.238445434E1,5.208502490E0,-5.154259035E1,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
5.489551335E1,5.238446274E1,5.208595979E0,-4.632352241E1,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
5.627943408E1,5.238447250E1,5.208602290E0,-3.988067913E1,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
5.728920989E1,5.238447250E1,5.208602290E0,-3.692803053E1,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
5.829064035E1,5.238447250E1,5.208602290E0,-3.593310955E1,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
5.929295792E1,5.238447250E1,5.208602290E0,-3.578604121E1,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
6.028594977E1,5.238447250E1,5.208602290E0,-3.393436890E1,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
6.129993700E1,5.238447250E1,5.208602290E0,-3.377065222E1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
6.229081688E1,5.238447250E1,5.208602290E0,-3.375366337E1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
6.329480454E1,5.238447250E1,5.208602290E0,-3.373691412E1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
6.428224138E1,5.238447250E1,5.208602290E0,-3.371995943E1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
6.627791496E1,5.238447250E1,5.208602290E0,-3.039203943E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
6.727636949E1,5.238447250E1,5.208602290E0,-3.035316976E1,2.408736182E-4,2.404325409E2,3.200000000E1,0.000000000E0
