"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.670775290E-1,3.600000143E0,-4.200000000E1,-1.350000000E1
2.671446470E-1,4.200000286E0,-4.210000229E1,-1.340000057E1
3.672109920E-1,4.599999905E0,-4.210000229E1,-1.450000000E1
4.672773570E-1,4.900000095E0,-4.220000076E1,-1.590000057E1
5.673456550E-1,4.700000286E0,-4.210000229E1,-1.620000076E1
6.674143860E-1,4.900000095E0,-4.210000229E1,-1.650000000E1
7.674815180E-1,5.000000000E0,-4.210000229E1,-1.639999962E1
8.675479490E-1,5.300000191E0,-4.200000000E1,-1.680000114E1
9.676120800E-1,5.200000286E0,-4.200000000E1,-1.670000076E1
1.067677878E0,5.300000191E0,-4.200000000E1,-1.680000114E1
1.167743842E0,5.000000000E0,-4.200000000E1,-1.670000076E1
1.267811206E0,4.900000095E0,-4.210000229E1,-1.680000114E1
1.367878638E0,4.700000286E0,-4.220000076E1,-1.700000000E1
1.467946369E0,4.900000095E0,-4.220000076E1,-1.730000114E1
1.568016100E0,5.099999905E0,-4.210000229E1,-1.760000038E1
1.668083896E0,5.099999905E0,-4.220000076E1,-1.770000076E1
1.768151193E0,4.900000095E0,-4.229999924E1,-1.770000076E1
1.868217558E0,4.800000191E0,-4.250000000E1,-1.780000114E1
1.968285622E0,4.400000095E0,-4.260000229E1,-1.750000000E1
2.068352687E0,4.200000286E0,-4.279999924E1,-1.710000038E1
2.168419251E0,3.900000095E0,-4.290000153E1,-1.700000000E1
2.268485816E0,3.700000048E0,-4.300000000E1,-1.700000000E1
2.368553146E0,3.400000095E0,-4.310000229E1,-1.670000076E1
2.468620844E0,2.799999952E0,-4.310000229E1,-1.580000019E1
2.568694509E0,2.299999952E0,-4.320000076E1,-1.510000038E1
2.668761474E0,1.899999976E0,-4.329999924E1,-1.480000019E1
2.768828939E0,2.100000143E0,-4.340000153E1,-1.480000019E1
2.868889637E0,2.200000048E0,-4.350000000E1,-1.500000000E1
2.968956835E0,2.200000048E0,-4.360000229E1,-1.490000057E1
3.069023733E0,1.800000072E0,-4.379999924E1,-1.480000019E1
3.169091164E0,1.700000048E0,-4.390000153E1,-1.490000057E1
3.269162729E0,1.700000048E0,-4.390000153E1,-1.510000038E1
3.369230360E0,1.700000048E0,-4.390000153E1,-1.510000038E1
3.469297125E0,1.500000000E0,-4.390000153E1,-1.510000038E1
3.569359856E0,1.500000000E0,-4.400000000E1,-1.530000019E1
3.669426420E0,1.399999976E0,-4.390000153E1,-1.540000057E1
3.769493851E0,1.399999976E0,-4.390000153E1,-1.550000000E1
3.869560882E0,1.300000072E0,-4.379999924E1,-1.550000000E1
3.969628114E0,1.500000000E0,-4.379999924E1,-1.540000057E1
4.069694912E0,1.500000000E0,-4.370000076E1,-1.540000057E1
4.169761544E0,1.600000024E0,-4.360000229E1,-1.560000038E1
4.271519971E0,1.300000072E0,-4.350000000E1,-1.580000019E1
4.371587236E0,1.399999976E0,-4.350000000E1,-1.569999981E1
4.471654734E0,1.300000072E0,-4.350000000E1,-1.550000000E1
4.571722297E0,1.500000000E0,-4.350000000E1,-1.540000057E1
4.671789395E0,1.500000000E0,-4.350000000E1,-1.530000019E1
4.771856727E0,1.399999976E0,-4.350000000E1,-1.530000019E1
4.871923925E0,1.000000000E0,-4.329999924E1,-1.550000000E1
4.971991123E0,1.000000000E0,-4.329999924E1,-1.560000038E1
5.072058221E0,8.000000119E-1,-4.329999924E1,-1.560000038E1
5.172124653E0,9.000000358E-1,-4.350000000E1,-1.519999981E1
5.272191752E0,8.000000119E-1,-4.340000153E1,-1.480000019E1
5.372258951E0,6.999999881E-1,-4.329999924E1,-1.440000057E1
5.472326782E0,6.999999881E-1,-4.320000076E1,-1.440000057E1
5.572393847E0,6.000000238E-1,-4.310000229E1,-1.440000057E1
5.672460912E0,6.000000238E-1,-4.320000076E1,-1.450000000E1
5.772527843E0,6.999999881E-1,-4.320000076E1,-1.440000057E1
5.872595041E0,6.999999881E-1,-4.320000076E1,-1.450000000E1
5.972662272E0,6.999999881E-1,-4.310000229E1,-1.450000000E1
6.072729470E0,4.000000060E-1,-4.300000000E1,-1.469999981E1
6.172796002E0,2.000000030E-1,-4.300000000E1,-1.450000000E1
6.272862934E0,1.000000015E-1,-4.310000229E1,-1.450000000E1
6.372933398E0,3.000000119E-1,-4.310000229E1,-1.430000019E1
6.473001163E0,2.000000030E-1,-4.300000000E1,-1.419999981E1
6.573069195E0,0.000000000E0,-4.290000153E1,-1.419999981E1
6.673133093E0,-2.000000030E-1,-4.290000153E1,-1.419999981E1
6.773200225E0,-2.000000030E-1,-4.279999924E1,-1.410000038E1
