"Time (s)","Pressure (hPa)"
8.270506000E-3,1.001812744E3
1.083530060E-1,1.001812256E3
2.084233390E-1,1.001806396E3
3.084928390E-1,1.001802002E3
4.085618390E-1,1.001800049E3
5.086305050E-1,1.001807129E3
6.086989330E-1,1.001807373E3
7.087673080E-1,1.001805664E3
8.088355300E-1,1.001801758E3
9.089027300E-1,1.001802734E3
1.008969911E0,1.001802734E3
1.109037661E0,1.001786621E3
1.209105507E0,1.001785645E3
1.309173078E0,1.001781250E3
1.409240878E0,1.001780518E3
1.509309190E0,1.001778320E3
1.609376895E0,1.001771729E3
1.709444561E0,1.001755615E3
1.809512192E0,1.001750977E3
1.909579792E0,1.001743652E3
2.009647363E0,1.001738281E3
2.109714908E0,1.001730713E3
2.209782473E0,1.001717773E3
2.309850014E0,1.001711914E3
2.409917534E0,1.001714111E3
2.509985034E0,1.001712891E3
2.610052515E0,1.001709717E3
2.710119979E0,1.001708740E3
2.810187427E0,1.001708984E3
2.910254893E0,1.001701904E3
3.010322093E0,1.001706055E3
3.110388526E0,1.001709229E3
3.210455592E0,1.001708740E3
3.310522725E0,1.001710938E3
3.410589858E0,1.001706787E3
3.510656991E0,1.001714111E3
3.610724157E0,1.001708008E3
3.710791290E0,1.001696777E3
3.810858423E0,1.001688477E3
3.910925856E0,1.001685303E3
4.010993289E0,1.001686279E3
4.111060489E0,1.001678711E3
4.211127622E0,1.001685547E3
4.312863271E0,1.001679443E3
4.412930404E0,1.001669434E3
4.512997237E0,1.001659424E3
4.613064370E0,1.001665039E3
4.713131503E0,1.001670898E3
4.813198636E0,1.001671875E3
4.913265769E0,1.001680176E3
5.013332902E0,1.001676025E3
5.113400068E0,1.001677734E3
5.213467201E0,1.001684082E3
5.313534334E0,1.001686035E3
5.413601467E0,1.001685547E3
5.513668600E0,1.001682617E3
5.613735733E0,1.001683838E3
5.713802866E0,1.001674072E3
5.813870032E0,1.001687256E3
5.913937165E0,1.001682861E3
6.014004298E0,1.001679199E3
6.114071431E0,1.001677246E3
6.214139031E0,1.001671143E3
6.314206164E0,1.001673340E3
6.414273297E0,1.001677246E3
6.514340463E0,1.001671631E3
6.614407596E0,1.001669678E3
6.714474729E0,1.001661377E3
6.814541862E0,1.001662842E3
6.914608995E0,1.001668213E3
7.014676128E0,1.001677734E3
7.114743261E0,1.001679688E3
7.214810427E0,1.001682861E3
7.314877560E0,1.001674805E3
7.414944693E0,1.001679199E3
7.515011826E0,1.001681885E3
7.615078959E0,1.001690430E3
7.715146092E0,1.001687988E3
7.815213225E0,1.001690674E3
7.915280391E0,1.001703369E3
8.015347557E0,1.001716309E3
8.115414690E0,1.001723877E3
8.215481823E0,1.001726562E3
8.315548956E0,1.001730713E3
8.415616089E0,1.001731689E3
8.515683222E0,1.001737061E3
8.615750355E0,1.001739990E3
8.715817521E0,1.001744629E3
8.815884654E0,1.001747559E3
8.915951720E0,1.001745361E3
9.016018853E0,1.001745361E3
9.116085986E0,1.001742188E3
9.216152719E0,1.001732178E3
9.316219852E0,1.001729736E3
9.416287018E0,1.001723877E3
9.516354151E0,1.001725586E3
9.616421284E0,1.001723877E3
9.716488417E0,1.001729004E3
9.816555550E0,1.001733643E3
9.916622683E0,1.001737549E3
1.001668982E1,1.001732178E3
1.011675698E1,1.001731201E3
1.021682412E1,1.001731201E3
1.031689125E1,1.001733154E3
1.041695838E1,1.001738525E3
1.051702551E1,1.001735840E3
1.061709265E1,1.001735840E3
1.071715978E1,1.001744629E3
1.081722695E1,1.001738770E3
1.091729408E1,1.001735840E3
1.101736121E1,1.001727539E3
1.111742834E1,1.001728027E3
1.121749548E1,1.001720215E3
1.131756261E1,1.001721436E3
1.141762974E1,1.001724365E3
1.151769684E1,1.001728760E3
1.161776401E1,1.001731689E3
1.171786984E1,1.001726074E3
1.181793698E1,1.001721924E3
1.191800418E1,1.001712646E3
1.201807131E1,1.001706299E3
1.211813844E1,1.001713623E3
1.221820557E1,1.001713623E3
1.231827274E1,1.001713867E3
1.241833987E1,1.001718750E3
1.251840701E1,1.001726074E3
1.261847414E1,1.001722656E3
1.271854127E1,1.001719238E3
1.281860840E1,1.001713379E3
1.291867554E1,1.001708984E3
1.301874270E1,1.001717773E3
1.311880977E1,1.001722656E3
1.321887690E1,1.001729492E3
1.331894404E1,1.001730713E3
1.341901117E1,1.001728516E3
1.351907830E1,1.001726562E3
1.361914544E1,1.001725098E3
1.371921260E1,1.001714111E3
1.381927973E1,1.001719482E3
1.391934687E1,1.001726074E3
1.401941400E1,1.001725830E3
1.411948113E1,1.001728271E3
1.421954797E1,1.001736816E3
1.431961510E1,1.001734375E3
1.441968226E1,1.001727539E3
1.451974940E1,1.001728760E3
1.461981653E1,1.001728516E3
1.471988366E1,1.001725098E3
1.481995080E1,1.001718750E3
1.492001793E1,1.001718506E3
1.502008506E1,1.001726074E3
1.512015223E1,1.001715576E3
1.522021940E1,1.001716309E3
1.532028653E1,1.001715332E3
1.542035366E1,1.001708740E3
1.552042079E1,1.001712402E3
1.562048793E1,1.001715332E3
1.572055506E1,1.001719971E3
1.582062219E1,1.001722656E3
1.592068936E1,1.001720703E3
1.602075649E1,1.001712646E3
1.612082369E1,1.001723389E3
1.622089082E1,1.001725098E3
1.632095796E1,1.001725098E3
1.642102509E1,1.001719727E3
1.652109222E1,1.001719727E3
1.662115939E1,1.001718750E3
1.672122652E1,1.001708984E3
1.682129366E1,1.001703613E3
1.692136079E1,1.001697754E3
1.702142792E1,1.001700195E3
1.712149506E1,1.001702148E3
1.722156219E1,1.001696777E3
1.732162935E1,1.001694824E3
1.742169649E1,1.001692139E3
1.752176369E1,1.001697998E3
1.762183082E1,1.001707520E3
1.772189795E1,1.001714600E3
1.782196475E1,1.001710693E3
1.792203189E1,1.001714600E3
1.802209905E1,1.001722168E3
1.812216618E1,1.001727539E3
1.822223332E1,1.001725342E3
1.832230045E1,1.001724854E3
1.842236758E1,1.001732666E3
1.852243472E1,1.001742432E3
1.862250185E1,1.001746582E3
1.872256898E1,1.001742432E3
1.882263615E1,1.001734619E3
1.892270328E1,1.001736816E3
1.902277042E1,1.001725830E3
1.912292999E1,1.001723389E3
1.922299712E1,1.001722168E3
1.932306426E1,1.001720215E3
1.942313139E1,1.001714600E3
1.952319856E1,1.001716064E3
1.962326569E1,1.001714844E3
1.972333282E1,1.001715332E3
1.982339996E1,1.001713623E3
1.992346709E1,1.001710693E3
2.002353422E1,1.001716064E3
2.012360135E1,1.001721191E3
2.022366882E1,1.001706299E3
2.032373595E1,1.001702148E3
2.042380309E1,1.001703857E3
2.052387022E1,1.001707520E3
2.062393735E1,1.001700195E3
2.072400449E1,1.001698486E3
2.082407195E1,1.001700928E3
2.092413905E1,1.001698730E3
2.102420618E1,1.001702393E3
2.112427332E1,1.001705811E3
2.122434015E1,1.001710938E3
2.132440728E1,1.001704346E3
2.142447442E1,1.001696289E3
2.152454155E1,1.001709717E3
2.162460872E1,1.001713135E3
2.172467588E1,1.001715576E3
2.182474301E1,1.001711182E3
2.192481015E1,1.001715332E3
2.202487728E1,1.001718018E3
2.212494441E1,1.001706543E3
2.222501151E1,1.001702881E3
2.232507865E1,1.001696777E3
2.242514581E1,1.001689697E3
2.252521294E1,1.001688232E3
2.262528008E1,1.001688477E3
2.272534721E1,1.001700195E3
2.282541434E1,1.001696045E3
2.292548141E1,1.001701660E3
2.302554854E1,1.001700439E3
2.312561571E1,1.001696533E3
2.322568284E1,1.001703369E3
2.332574998E1,1.001704102E3
2.342581711E1,1.001705811E3
2.352588424E1,1.001708740E3
2.362595137E1,1.001714844E3
2.372601851E1,1.001712646E3
2.382608567E1,1.001718018E3
2.392615257E1,1.001717529E3
2.402621971E1,1.001713623E3
2.412628684E1,1.001710449E3
2.422635427E1,1.001707275E3
2.432642140E1,1.001706299E3
2.442648854E1,1.001704346E3
2.452655570E1,1.001699463E3
2.462662284E1,1.001702637E3
2.472668997E1,1.001699219E3
2.482675710E1,1.001694336E3
2.492682424E1,1.001690674E3
2.502689137E1,1.001695068E3
2.512695850E1,1.001694824E3
2.522702570E1,1.001692383E3
2.532709287E1,1.001690918E3
2.542716000E1,1.001696289E3
2.552722713E1,1.001699707E3
2.562729427E1,1.001699951E3
2.572736140E1,1.001695557E3
2.582742853E1,1.001698486E3
2.592749573E1,1.001698730E3
2.602756290E1,1.001698730E3
2.612763003E1,1.001698975E3
2.622769717E1,1.001698975E3
2.632776423E1,1.001701416E3
2.642787779E1,1.001700439E3
2.652794492E1,1.001693115E3
2.662801206E1,1.001698730E3
2.672807922E1,1.001692871E3
2.682814629E1,1.001691406E3
2.692821372E1,1.001693604E3
2.702828086E1,1.001699951E3
2.712834842E1,1.001702881E3
2.722841556E1,1.001700928E3
2.732848269E1,1.001703125E3
2.742854985E1,1.001703857E3
2.752861699E1,1.001713135E3
2.762868412E1,1.001708008E3
2.772875125E1,1.001708008E3
2.782881839E1,1.001713623E3
2.792888552E1,1.001709229E3
2.802895265E1,1.001712402E3
2.812901982E1,1.001710205E3
2.822908695E1,1.001711670E3
2.832915408E1,1.001708496E3
2.842922122E1,1.001702881E3
2.852928835E1,1.001702637E3
2.862935548E1,1.001701416E3
2.872942262E1,1.001698975E3
2.882948978E1,1.001694580E3
2.892955695E1,1.001698730E3
2.902962408E1,1.001695557E3
2.912969121E1,1.001694824E3
2.922975835E1,1.001697021E3
2.932982555E1,1.001704834E3
2.942989268E1,1.001696533E3
2.952995981E1,1.001692139E3
2.963002698E1,1.001698975E3
2.973009411E1,1.001705566E3
2.983016131E1,1.001700195E3
2.993022844E1,1.001699707E3
3.003029558E1,1.001699951E3
3.013036228E1,1.001706543E3
3.023042941E1,1.001704346E3
3.033049658E1,1.001711670E3
3.043056371E1,1.001712158E3
3.053063084E1,1.001700928E3
3.063069798E1,1.001698242E3
3.073076511E1,1.001703613E3
3.083083224E1,1.001707764E3
3.093089938E1,1.001705322E3
3.103096648E1,1.001699219E3
3.113103361E1,1.001700195E3
3.123110074E1,1.001696045E3
3.133116787E1,1.001696777E3
3.143123501E1,1.001695312E3
3.153130214E1,1.001695801E3
3.163136927E1,1.001699463E3
3.173143644E1,1.001697754E3
3.183150357E1,1.001699707E3
3.193157071E1,1.001697754E3
3.203163784E1,1.001695312E3
3.213170490E1,1.001689941E3
3.223177204E1,1.001696289E3
3.233183917E1,1.001692383E3
3.243190630E1,1.001693359E3
3.253197347E1,1.001701660E3
3.263204060E1,1.001705566E3
3.273210774E1,1.001701416E3
3.283217487E1,1.001709473E3
3.293224200E1,1.001700195E3
3.303230913E1,1.001695312E3
3.313237627E1,1.001701660E3
3.323244343E1,1.001708984E3
3.333251057E1,1.001705566E3
3.343257770E1,1.001707764E3
3.353264483E1,1.001708252E3
3.363271196E1,1.001711426E3
3.373277910E1,1.001711914E3
3.383299267E1,1.001709473E3
3.393305984E1,1.001699463E3
3.403312704E1,1.001705811E3
3.413319417E1,1.001707764E3
3.423326130E1,1.001711426E3
3.433332844E1,1.001710938E3
3.443339557E1,1.001708984E3
3.453346270E1,1.001704834E3
3.463352987E1,1.001715820E3
3.473359700E1,1.001711426E3
3.483366414E1,1.001705811E3
3.493373127E1,1.001707764E3
3.503379840E1,1.001703369E3
3.513386560E1,1.001699951E3
3.523393270E1,1.001699463E3
3.533399987E1,1.001690674E3
3.543406703E1,1.001689941E3
3.553413417E1,1.001690186E3
3.563420130E1,1.001687744E3
3.573426843E1,1.001690918E3
3.583433557E1,1.001684326E3
3.593440267E1,1.001679932E3
3.603446977E1,1.001689697E3
3.613453693E1,1.001697998E3
3.623460406E1,1.001704590E3
3.633467113E1,1.001704346E3
3.643473826E1,1.001707031E3
3.653480540E1,1.001711426E3
3.663487253E1,1.001711182E3
3.673493966E1,1.001709961E3
3.683500683E1,1.001713623E3
3.693507396E1,1.001712158E3
3.703514110E1,1.001715576E3
3.713520823E1,1.001712891E3
3.723527536E1,1.001713379E3
3.733534243E1,1.001710449E3
3.743540956E1,1.001708496E3
3.753547673E1,1.001707764E3
3.763554386E1,1.001708984E3
3.773561099E1,1.001695557E3
3.783567812E1,1.001698242E3
3.793574526E1,1.001701416E3
3.803581239E1,1.001695801E3
3.813587952E1,1.001690918E3
3.823594672E1,1.001698242E3
3.833601386E1,1.001691406E3
3.843608099E1,1.001693848E3
3.853614812E1,1.001699707E3
3.863621526E1,1.001700684E3
3.873628239E1,1.001697510E3
3.883634952E1,1.001696289E3
3.893641672E1,1.001697510E3
3.903648386E1,1.001702393E3
3.913655099E1,1.001699219E3
3.923661812E1,1.001700439E3
3.933668532E1,1.001704834E3
3.943675245E1,1.001709717E3
3.953681959E1,1.001708984E3
3.963688672E1,1.001713867E3
3.973695389E1,1.001714600E3
3.983702102E1,1.001708740E3
3.993708815E1,1.001705078E3
4.003715529E1,1.001705811E3
4.013722242E1,1.001701904E3
4.023728955E1,1.001704346E3
4.033735675E1,1.001711426E3
4.043742392E1,1.001706787E3
4.053749105E1,1.001710693E3
4.063755818E1,1.001704102E3
4.073762532E1,1.001696777E3
4.083769245E1,1.001695557E3
4.093775958E1,1.001685791E3
4.103782672E1,1.001683350E3
4.113786344E1,1.001684082E3
4.123793057E1,1.001679443E3
4.133799770E1,1.001688232E3
4.143806484E1,1.001686035E3
4.153813197E1,1.001689453E3
4.163819910E1,1.001686279E3
4.173826623E1,1.001685303E3
4.183833340E1,1.001688965E3
4.193840053E1,1.001694092E3
4.203846773E1,1.001692139E3
4.213853487E1,1.001692627E3
4.223860200E1,1.001690186E3
4.233866913E1,1.001697510E3
4.243873626E1,1.001699463E3
4.253880340E1,1.001701416E3
4.263887050E1,1.001699951E3
4.273893763E1,1.001694824E3
4.283900476E1,1.001697021E3
4.293907190E1,1.001699219E3
4.303913896E1,1.001700928E3
4.313920610E1,1.001703369E3
4.323927323E1,1.001705566E3
4.333934040E1,1.001712158E3
4.343940753E1,1.001714111E3
4.353947466E1,1.001714355E3
4.363954179E1,1.001726562E3
4.373960893E1,1.001719482E3
4.383967606E1,1.001720215E3
4.393974319E1,1.001728516E3
4.403981036E1,1.001733398E3
4.413987742E1,1.001733643E3
4.423994456E1,1.001731445E3
4.434001169E1,1.001721191E3
4.444007882E1,1.001724854E3
4.454014596E1,1.001727051E3
4.464021309E1,1.001728760E3
4.474028026E1,1.001729248E3
4.484034739E1,1.001726318E3
4.494041452E1,1.001725098E3
4.504048166E1,1.001722900E3
4.514054879E1,1.001729004E3
4.524061592E1,1.001720947E3
4.534068305E1,1.001719971E3
4.544075022E1,1.001710693E3
4.554081739E1,1.001720947E3
4.564088459E1,1.001727539E3
4.574095172E1,1.001716553E3
4.584101885E1,1.001713135E3
4.594108598E1,1.001718262E3
4.604115319E1,1.001716064E3
4.614122032E1,1.001725342E3
4.624128748E1,1.001724609E3
4.634135462E1,1.001725098E3
4.644142175E1,1.001721680E3
4.654148888E1,1.001723877E3
4.664155602E1,1.001728516E3
4.674162315E1,1.001729004E3
4.684169028E1,1.001729980E3
4.694175745E1,1.001723145E3
4.704182458E1,1.001723145E3
4.714189178E1,1.001727051E3
4.724195891E1,1.001719971E3
4.734202605E1,1.001713867E3
4.744209318E1,1.001708496E3
4.754216031E1,1.001705322E3
4.764222748E1,1.001702881E3
4.774229461E1,1.001700684E3
4.784236175E1,1.001700439E3
4.794242888E1,1.001704590E3
4.804249601E1,1.001698242E3
4.814256314E1,1.001691162E3
4.824263028E1,1.001696045E3
4.834269744E1,1.001696045E3
4.844276458E1,1.001700195E3
4.854302297E1,1.001701416E3
4.864309010E1,1.001697510E3
4.874315724E1,1.001692627E3
4.884322437E1,1.001684326E3
4.894329150E1,1.001687012E3
4.904335867E1,1.001687012E3
4.914342583E1,1.001689453E3
4.924349297E1,1.001689209E3
4.934356010E1,1.001692383E3
4.944362723E1,1.001689453E3
4.954369437E1,1.001691895E3
4.964376150E1,1.001695312E3
4.974382863E1,1.001701416E3
4.984389580E1,1.001697021E3
4.994396293E1,1.001697754E3
5.004403006E1,1.001705566E3
5.014409720E1,1.001712402E3
5.024416433E1,1.001708984E3
5.034423146E1,1.001706543E3
5.044429860E1,1.001704346E3
5.054436576E1,1.001703613E3
5.064443290E1,1.001705078E3
5.074450003E1,1.001700439E3
5.084456716E1,1.001691650E3
5.094463429E1,1.001688721E3
5.104470143E1,1.001685547E3
5.114476856E1,1.001683350E3
5.124483573E1,1.001679688E3
5.134490279E1,1.001680664E3
5.144496992E1,1.001676025E3
5.154503706E1,1.001682373E3
5.164510419E1,1.001683838E3
5.174517132E1,1.001683594E3
5.184523846E1,1.001687988E3
5.194530529E1,1.001688965E3
5.204537242E1,1.001694580E3
5.214543956E1,1.001705322E3
5.224550669E1,1.001705566E3
5.234557382E1,1.001704346E3
5.244564096E1,1.001705811E3
5.254570809E1,1.001708496E3
5.264577525E1,1.001715820E3
5.274584242E1,1.001708252E3
5.284590955E1,1.001699951E3
5.294597635E1,1.001695068E3
5.304604349E1,1.001686035E3
5.314611062E1,1.001687256E3
5.324617775E1,1.001691162E3
5.334624485E1,1.001688721E3
5.344631195E1,1.001681396E3
5.354637909E1,1.001678711E3
5.364644622E1,1.001680420E3
5.374651335E1,1.001684814E3
5.384658048E1,1.001678711E3
5.394664762E1,1.001670410E3
5.404671475E1,1.001673096E3
5.414678192E1,1.001682617E3
5.424684905E1,1.001684814E3
5.434691625E1,1.001687256E3
5.444698338E1,1.001684570E3
5.454705052E1,1.001683105E3
5.464711765E1,1.001677979E3
5.474718478E1,1.001674561E3
5.484725195E1,1.001674316E3
5.494731941E1,1.001675293E3
5.504738655E1,1.001679199E3
5.514745368E1,1.001690674E3
5.524752081E1,1.001690430E3
5.534758851E1,1.001684326E3
5.544765565E1,1.001683105E3
5.554772281E1,1.001687500E3
5.564778994E1,1.001696777E3
5.574785678E1,1.001690186E3
5.584792391E1,1.001688965E3
5.594809369E1,1.001700439E3
5.604816083E1,1.001702148E3
5.614822793E1,1.001699951E3
5.624829506E1,1.001702881E3
5.634836226E1,1.001694580E3
5.644842946E1,1.001694092E3
5.654849659E1,1.001701904E3
5.664856366E1,1.001703613E3
5.674863079E1,1.001701660E3
5.684869792E1,1.001696533E3
5.694876506E1,1.001694580E3
5.704883222E1,1.001698486E3
5.714889936E1,1.001696533E3
5.724896619E1,1.001685547E3
5.734903332E1,1.001682861E3
5.744910039E1,1.001679199E3
5.754916722E1,1.001678711E3
5.764923436E1,1.001674316E3
5.774930152E1,1.001665039E3
5.784936865E1,1.001664795E3
5.794943579E1,1.001666260E3
5.804950292E1,1.001661377E3
5.814957005E1,1.001654541E3
5.824963719E1,1.001652100E3
5.834970375E1,1.001652832E3
5.844977092E1,1.001656494E3
5.854983775E1,1.001662354E3
5.864990488E1,1.001673828E3
5.874997232E1,1.001673584E3
5.885003945E1,1.001672852E3
5.895010658E1,1.001684570E3
5.905017372E1,1.001689209E3
5.915024092E1,1.001686523E3
5.925030808E1,1.001695557E3
5.935037522E1,1.001708008E3
5.945044235E1,1.001703125E3
5.955050918E1,1.001705566E3
5.965057638E1,1.001698242E3
5.975064351E1,1.001699951E3
5.985071065E1,1.001696533E3
5.995077781E1,1.001690186E3
6.005084495E1,1.001693848E3
6.015091201E1,1.001686523E3
6.025097945E1,1.001682129E3
6.035104658E1,1.001679688E3
6.045111378E1,1.001676758E3
6.055118091E1,1.001664307E3
6.065124808E1,1.001668213E3
6.075131521E1,1.001666992E3
6.085138234E1,1.001663330E3
6.095144948E1,1.001668457E3
6.105151661E1,1.001666260E3
6.115158374E1,1.001668457E3
6.125165088E1,1.001672607E3
6.135171804E1,1.001675781E3
6.145178517E1,1.001687012E3
6.155185231E1,1.001686279E3
6.165191944E1,1.001689453E3
6.175198657E1,1.001694580E3
6.185205371E1,1.001699463E3
6.195212084E1,1.001698975E3
6.205218801E1,1.001706055E3
6.215225514E1,1.001703857E3
6.225232227E1,1.001708252E3
6.235238980E1,1.001717285E3
6.245245694E1,1.001719238E3
6.255252407E1,1.001715332E3
6.265259120E1,1.001717285E3
6.275265837E1,1.001710449E3
6.285272554E1,1.001707764E3
6.295279267E1,1.001697998E3
6.305285980E1,1.001695068E3
6.315292700E1,1.001700195E3
6.325299413E1,1.001708008E3
6.335317711E1,1.001702148E3
6.345324424E1,1.001707275E3
6.355331138E1,1.001702148E3
6.365337851E1,1.001701172E3
6.375344564E1,1.001689697E3
6.385351278E1,1.001694092E3
6.395357991E1,1.001690674E3
6.405364794E1,1.001692871E3
6.415371508E1,1.001694580E3
6.425378224E1,1.001702148E3
6.435384938E1,1.001698730E3
6.445391651E1,1.001695312E3
6.455398364E1,1.001686523E3
6.465405077E1,1.001683350E3
6.475411791E1,1.001672363E3
6.485418504E1,1.001679199E3
6.495425221E1,1.001683350E3
6.505431934E1,1.001680176E3
6.515438647E1,1.001682373E3
6.525445361E1,1.001680420E3
6.535452034E1,1.001674561E3
6.545458747E1,1.001679199E3
6.555465460E1,1.001691406E3
6.565472177E1,1.001706055E3
6.575478890E1,1.001704346E3
6.585485604E1,1.001713867E3
6.595492317E1,1.001716309E3
6.605499030E1,1.001721680E3
6.615505744E1,1.001720459E3
6.625512457E1,1.001721924E3
6.635519173E1,1.001719727E3
6.645525890E1,1.001721924E3
6.655532607E1,1.001718018E3
6.665539320E1,1.001719238E3
6.675546033E1,1.001714600E3
6.685552747E1,1.001701172E3
6.695559460E1,1.001693359E3
6.705566083E1,1.001700439E3
6.715572800E1,1.001700928E3
6.725579506E1,1.001702637E3
6.735586220E1,1.001700684E3
6.745592933E1,1.001706055E3
6.755599646E1,1.001702393E3
6.765606360E1,1.001706543E3
6.775613073E1,1.001713867E3
6.785619789E1,1.001715088E3
6.795626489E1,1.001721924E3
6.805633203E1,1.001726562E3
6.815639916E1,1.001728027E3
6.825646629E1,1.001732666E3
6.835653343E1,1.001734863E3
6.845660056E1,1.001735840E3
6.855666769E1,1.001734131E3
