"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-8.954587579E-1,3.790137053E0,5.054314137E0
1.000732180E-1,2.813272953E0,1.453324795E0,9.306546211E0
2.001412990E-1,4.434196949E0,7.233104229E0,1.078141975E1
3.002060480E-1,-4.194769382E0,7.336058140E0,1.010383987E1
4.002684280E-1,-3.847599506E0,3.488458395E0,4.005621910E0
5.003421070E-1,-4.070267200E0,3.213116884E0,7.190007210E0
6.004023850E-1,-5.418243885E0,1.136083412E1,1.347976685E1
7.004665660E-1,-3.404658794E0,6.699181080E0,9.498087883E0
8.005383770E-1,3.076643229E0,8.092648983E-1,5.190787792E0
9.006043240E-1,3.217905283E0,4.984879971E0,1.373116589E1
1.000670538E0,-3.155654192E0,8.767834663E0,1.957080269E1
1.100734292E0,-3.052700281E0,4.958543301E0,4.470110893E0
1.200808239E0,-3.723097324E0,2.379909277E0,2.849187136E0
1.300870852E0,-5.832453251E0,1.005356026E1,1.274472523E1
1.400938834E0,-3.210722446E0,8.121379852E0,9.670475960E0
1.501031814E0,3.071854591E0,1.436564922E0,5.164450645E0
1.601075860E0,2.195549965E0,1.896265626E0,8.202785492E0
1.701141942E0,-3.632114887E0,1.221559048E1,1.024510193E1
1.801205025E0,-1.831620216E0,6.263422966E0,3.505218267E0
1.901279145E0,-2.221887112E0,4.221106529E0,3.486064196E0
2.001347759E0,-7.379155159E0,6.941002846E0,8.360807419E0
2.101409706E0,-2.478074312E0,8.502069473E0,8.377567291E0
2.201483786E0,3.359167576E0,2.590605259E0,8.253065109E0
2.301543966E0,1.970488191E0,2.264983892E0,7.101418972E0
2.401608351E0,1.065452337E0,1.016130257E1,1.436564922E-1
2.501690697E0,-3.330436230E0,7.292961121E0,8.990502357E0
2.601748910E0,-2.114144564E0,4.604190350E0,4.496448040E0
2.701815791E0,-5.561900616E0,4.699961662E0,6.344828129E0
2.801879940E0,-1.364736676E0,1.106394386E1,1.087240219E1
2.901948353E0,2.722290516E0,5.066285610E0,5.097411156E0
3.002018864E0,1.573038578E0,5.985686779E-1,4.005621910E0
3.102079844E0,4.022381783E0,7.589851379E0,6.799740314E0
3.202156931E0,-3.751828671E0,9.040781975E0,8.614601135E0
3.302210178E0,-2.940169573E0,5.559505939E0,5.801327705E0
3.402287528E0,-4.628133297E0,5.183605194E0,6.605803967E0
3.502359741E0,-3.653663397E0,1.300809479E1,1.285007286E1
3.602423254E0,6.703969836E-2,6.799740314E0,2.715107679E0
3.702493272E0,4.178009510E0,1.462901950E0,5.767807961E0
3.802557852E0,4.661653042E0,4.721509933E0,1.419086647E1
3.902616498E0,-5.861184597E0,1.322357941E1,7.515628815E0
4.002692576E0,-1.723877907E0,5.458946705E0,3.775771379E0
4.102754322E0,-4.240260601E0,3.996044636E0,4.510813713E0
4.202818174E0,-7.362394810E0,1.287162113E1,1.473197269E1
4.302891890E0,-3.433390141E0,7.798152924E0,5.798933506E0
4.404138527E0,3.861965179E0,3.687183261E-1,9.213169098E0
4.504215908E0,1.649655342E0,4.067873001E0,1.268007946E1
4.604274821E0,-9.883566856E0,1.107352066E1,5.394300938E0
4.704343133E0,-1.419804931E0,6.210748672E0,2.114144564E0
4.804410945E0,-2.092596292E0,4.805309772E0,4.407859802E0
4.904485458E0,-6.363982677E0,8.830085754E0,7.958569527E0
5.004543471E0,-2.832427025E0,9.847652435E0,8.315316200E0
5.104624759E0,2.590605259E0,2.178790092E0,6.933819771E0
5.204685504E0,3.936187744E0,3.512401104E0,7.836461544E0
5.304746919E0,-2.650462151E0,1.097774982E1,1.331216812E0
5.404824000E0,5.411061049E-1,9.150918007E0,3.909850836E0
5.504882546E0,-6.703969240E-1,4.192375183E0,7.446194887E-1
5.604950326E0,-4.486870766E0,6.646506786E0,5.293741703E0
5.705014738E0,2.427794695E0,1.320442581E1,4.048718929E0
5.805083086E0,3.134105682E0,3.313676357E0,6.361588001E0
5.905160266E0,3.627326250E0,1.776551962E0,6.514821529E0
6.005216046E0,5.604997158E0,9.481328011E0,6.677632332E0
6.105285395E0,-3.596200705E0,8.071100235E0,1.154998207E1
6.205355082E0,-2.935380936E0,4.010410309E0,6.663266659E0
6.305423662E0,-6.165257454E0,4.106181145E0,7.893924236E0
6.405488844E0,-5.171633363E-1,1.247417164E1,1.431776333E1
6.505554793E0,6.895511150E-1,5.370358467E0,5.001639843E0
6.605616677E0,2.784541607E0,8.212362528E-1,6.864386082E0
6.705694394E0,6.701575279E0,6.603409767E0,1.034805584E1
6.805752574E0,-6.220325947E0,1.045340347E1,1.102563572E1
6.905823086E0,-3.067065954E0,4.781366825E0,4.297723293E0
7.005886166E0,-3.967313290E0,4.039141655E0,3.735068798E0
7.105956279E0,-6.682421207E0,1.353962421E1,1.323794556E1
7.206021125E0,-3.047911882E0,7.707170486E0,5.078257084E0
7.306084539E0,4.438985348E0,6.081457734E-1,9.074301720E0
7.406153420E0,2.542719841E0,5.224307537E0,1.483013821E1
7.506221600E0,-7.951386452E0,1.175349522E1,5.011217117E0
7.606288846E0,-1.254600048E0,6.256239891E0,3.703943014E0
7.706355459E0,3.040728867E-1,4.980091572E0,1.347976685E0
7.806423641E0,-5.435003757E0,9.553156853E0,8.662486076E0
7.906491786E0,-4.455745220E0,9.943423271E0,8.071100235E0
8.006556966E0,3.277762175E0,1.644866824E0,5.559505939E0
8.106624247E0,3.507612705E0,1.750214934E0,5.997658253E0
8.206691861E0,-5.276981831E0,1.084127617E1,6.533976078E0
8.306764475E0,-1.340793967E-1,1.033129597E1,3.584229469E0
8.406826656E0,-3.076643229E0,3.138894320E0,1.778946161E0
8.506893206E0,-5.190787792E0,5.238673210E0,8.676852226E0
8.606971887E0,-9.122186899E-1,1.190912247E1,1.444705391E1
8.707027602E0,8.619389534E-1,3.354378939E0,7.577879906E0
8.807098015E0,3.838022470E0,2.418217510E-1,4.233078003E0
8.907161262E0,2.535537004E0,5.528380394E0,1.095620155E1
9.007231374E0,-8.138139725E0,9.364008904E0,1.755961227E1
9.107299327E0,-5.183605194E0,4.637710094E0,6.026389599E0
9.207361810E0,-3.517189741E0,3.780560017E0,3.529160976E0
9.307428390E0,-8.415876389E0,1.363300037E1,1.098014450E1
9.407518636E0,-4.154066563E0,6.658478260E0,4.798126698E0
9.507580383E0,4.386311531E0,8.595446348E-1,8.377567291E0
9.607630264E0,3.996044636E0,5.351204395E0,9.021627426E0
9.707698280E0,-5.909070015E0,1.132491970E1,7.008042336E0
9.807768559E0,-2.454131603E0,5.233884811E0,1.800494671E0
9.907841407E0,-1.185166001E0,3.809291124E0,1.819648862E0
1.000790272E1,-8.066311836E0,7.640130997E0,7.975329399E0
1.010797277E1,-2.466102988E-1,1.100887585E1,8.178842545E0
1.020803685E1,2.315263748E0,1.771763325E0,5.514014721E0
1.030810193E1,6.720729351E0,2.219492674E0,3.193962574E0
1.040817461E1,9.098244458E-2,9.088666916E0,2.815667152E0
1.050823353E1,-3.680000305E0,9.129369736E0,7.661679268E0
1.060830354E1,-3.351984918E-2,5.710345268E0,2.068653345E0
1.070837138E1,-6.129343510E0,4.209135056E0,7.587456703E0
1.080845163E1,-3.222693920E0,1.338399601E1,7.501263142E0
1.090850864E1,-9.816526622E-2,5.008822918E0,8.413481712E0
1.100858382E1,5.435003757E0,1.142069101E0,6.026389599E0
1.110864617E1,2.516382933E0,5.387118340E0,1.171039772E1
1.120870645E1,-6.079063892E0,1.076226521E1,1.679344368E1
1.130876927E1,-4.925023079E0,4.388705730E0,6.988888264E0
1.140884555E1,-3.979284763E0,4.180403709E0,5.241067410E0
1.150890719E1,-3.308887720E0,1.166490650E1,1.253642273E1
1.160898354E1,-1.465296149E0,6.869174480E0,4.905869007E0
1.170904771E1,5.478100777E0,1.391073704E0,8.731920242E0
1.180909749E1,3.136499882E0,5.008822918E0,1.112140656E1
1.190915854E1,-4.300117493E0,1.128661156E1,1.598417854E1
1.200922475E1,-3.929004908E0,4.532361984E0,6.498061657E0
1.210929516E1,-7.901106775E-2,3.912245035E0,4.573064744E-1
1.220936201E1,-7.328875065E0,8.281796455E0,7.635342598E0
1.230942526E1,1.556278616E-1,1.103281784E1,7.788576126E0
1.240949441E1,3.486064196E0,1.862745762E0,9.177255630E0
1.250955963E1,3.332830429E0,2.138087511E0,5.248250484E0
1.260963094E1,-1.893871427E0,1.241670895E1,2.399063349E0
1.270969419E1,-2.008796453E0,7.778998852E0,4.201952457E0
1.280976317E1,-1.400650740E0,4.640104771E0,1.788523316E0
1.290982892E1,-5.842030525E0,5.633728504E0,7.836461544E0
1.300989663E1,1.352765322E0,1.084606457E1,1.122436047E1
1.310996371E1,4.692778587E-1,3.447755814E0,7.597033978E0
1.321003139E1,3.191568375E0,7.685621977E-1,8.664880753E0
1.331010794E1,5.339232922E0,7.395915031E0,1.160983849E1
1.341016595E1,-5.921041489E0,9.059935570E0,1.232812119E1
1.351023406E1,-4.769395351E0,4.041535854E0,4.711932659E0
1.361029824E1,-3.806896925E0,3.227482557E0,4.264203548E0
1.371036403E1,-8.810931444E-1,1.207432747E1,1.634571457E1
1.381043504E1,-2.583422422E0,6.969734192E0,6.838048935E0
1.391049992E1,2.650462151E0,5.818088055E-1,6.265817165E0
1.401056977E1,2.300898075E0,5.262616158E0,1.128900528E1
1.411064168E1,-2.411034822E0,9.680052757E0,1.626670265E1
1.421070536E1,-3.122134447E0,4.996851444E0,4.975303173E0
1.431077477E1,-2.355966330E0,2.406246185E0,3.222693920E0
1.441084192E1,-6.093429565E0,1.150688457E1,1.521082783E1
1.451090676E1,-2.894678354E0,9.115004539E0,8.717555046E0
1.461097604E1,3.023969173E0,8.619389534E-1,8.348835945E0
1.471103162E1,2.916226625E0,9.648927450E-1,8.554743767E0
1.481111654E1,-4.697566986E0,1.266092491E1,8.047157288E0
1.491117515E1,2.657645047E-1,7.024802208E0,3.342407703E0
1.501123923E1,-5.147690773E-1,3.557892323E0,1.292908341E-1
1.511131041E1,-7.216344357E0,5.954561234E0,7.304932594E0
1.521137852E1,7.374366522E-1,1.234488106E1,8.037580490E0
1.531144010E1,1.692752242E0,2.037527800E0,7.465348721E0
1.541151308E1,2.930592299E0,1.177983165E0,1.685569525E0
1.551157446E1,1.065452337E0,1.098732662E1,1.304879785E0
1.561164374E1,-3.804502726E0,9.759063721E0,9.040781975E0
1.571170296E1,-2.116539001E0,4.316877365E0,4.233078003E0
1.581177561E1,-5.609786034E0,4.573064804E0,6.184412003E0
1.591184342E1,-1.412622094E0,1.409988403E1,1.335526466E1
1.601190847E1,-3.615354896E-1,6.512427330E0,3.938581944E0
1.611197705E1,3.280156374E0,-5.985686928E-2,4.000833035E0
1.621204440E1,3.450150013E0,5.190787792E0,1.295302677E1
1.631212271E1,-8.123774529E0,1.332892799E1,1.217967606E1
1.641218643E1,-3.981678963E0,4.994457245E0,3.663240433E0
1.651225181E1,-2.037527800E0,3.648874760E0,-2.729473412E-1
1.661232020E1,-1.174631214E1,1.295542145E1,1.130337143E1
1.671238338E1,-5.456552505E0,9.040781975E0,8.327287674E0
1.681245299E1,5.449369431E0,-5.530774593E-1,7.383943558E0
1.691252487E1,2.006402254E0,3.002420664E0,9.150918007E0
1.701258721E1,-4.288146019E0,1.331695652E1,1.752130318E1
1.711264986E1,-2.384697676E0,6.454965115E0,2.760598898E0
1.721272314E1,-3.014391899E0,4.350397110E0,2.906649590E0
1.731277993E1,-9.775823593E0,8.083071709E0,9.854835510E0
1.741285471E1,-1.125309169E-1,1.062100315E1,5.856396198E0
1.751292050E1,1.400650740E0,2.545114040E0,3.701548815E0
1.761299147E1,4.106181145E0,2.219492674E0,6.557918549E0
1.771305373E1,-7.470137477E-1,8.873182297E0,3.416630268E0
1.781313208E1,-4.379128456E0,9.062330246E0,1.188757420E1
1.791319940E1,-2.995237827E0,3.991255999E0,3.150865555E0
1.801325305E1,-5.530774593E0,3.423812866E0,3.016786337E0
1.811332540E1,2.035133541E-1,1.561067200E1,1.364976025E1
1.821339308E1,1.144463301E0,6.409473896E0,5.490072250E0
1.831345843E1,4.620950222E0,-6.703969240E-1,4.630527496E0
1.841352197E1,3.955342054E0,5.387118340E0,1.394904518E1
1.851360003E1,-6.988888264E0,1.096098995E1,1.633613777E1
1.861365314E1,-3.847599506E0,4.549122334E0,6.241874218E0
1.871371789E1,-3.644086361E0,3.308887720E0,3.000026226E0
1.881378844E1,-1.088197899E1,1.529941559E1,1.336484241E1
1.891385692E1,-4.443774223E0,8.784594536E0,4.767001152E0
1.901396856E1,3.287339211E0,-2.162030220E0,9.835680962E0
1.911403660E1,6.385530949E0,4.348002911E0,8.961771011E0
1.921410961E1,-4.082238674E0,1.531857014E1,1.630261803E1
1.931416959E1,-3.349590540E0,8.854028702E0,5.051919818E-1
1.941424054E1,-4.913052082E0,2.810878515E0,5.913859010E-1
1.951430395E1,-8.221940041E0,9.486116409E0,7.877163887E0
1.961437187E1,-3.131711483E0,1.056354046E1,6.306519985E0
1.971443308E1,4.264203548E0,1.908236980E0,6.399896622E0
1.981450633E1,4.106181145E0,1.233051538E0,5.909070015E0
1.991458031E1,-3.495641351E-1,1.102324104E1,-1.709512234E0
2.001463819E1,-2.537931204E-1,9.871595383E0,5.633728504E0
2.011471117E1,-4.063084126E0,3.100585938E0,2.006402254E0
2.021477438E1,-5.379935265E0,6.028783798E0,5.430215359E0
2.031484290E1,-2.458920240E0,1.423156929E1,1.349413300E1
2.041490771E1,-2.530748367E0,5.348809719E0,2.949746609E0
2.051497663E1,8.605023384E0,-1.364736706E-1,6.284971237E0
2.061504321E1,4.956148624E0,6.545947552E0,1.324512863E1
2.071510435E1,-5.868367672E0,1.007271385E1,1.289077568E1
2.081517634E1,-5.985687256E0,4.743058205E0,5.370358467E0
2.091524309E1,-5.097411156E0,4.745452881E0,7.587456703E0
2.101532004E1,-7.055927753E0,1.411425018E1,1.195461369E1
2.111538125E1,-1.283331275E0,6.390319347E0,4.795732498E0
2.121544430E1,6.337645531E0,-1.987248063E-1,1.136801720E1
2.131551287E1,2.870735407E0,1.826831698E0,9.773429871E0
2.141558645E1,-6.996070862E0,9.620196342E0,2.280786133E1
2.151564564E1,-1.982459545E0,8.480521202E0,5.075862408E0
2.161571288E1,-2.628913641E0,4.585036278E0,5.042342663E0
2.171578680E1,-9.735121727E0,5.806116581E0,7.491685867E0
2.181585428E1,8.475732803E-1,1.018285084E1,9.706390381E0
2.191591380E1,3.162837029E0,1.848380208E0,8.047157288E0
2.201598191E1,4.084632874E0,1.690358043E0,3.828445435E0
2.211604979E1,1.388679385E0,7.783787251E0,3.131711483E0
2.221611680E1,-5.667248249E0,9.593858719E0,1.177743816E1
2.231618861E1,-3.723097324E0,3.763799906E0,4.072661400E0
2.241625726E1,-5.004034519E0,2.806090117E0,3.172414064E0
2.251631718E1,-1.879505754E0,1.436804295E1,1.930743217E1
2.261638639E1,-1.072635174E0,6.677632332E0,4.632921696E0
2.271644540E1,5.286558628E0,-5.985686779E-1,7.448588848E0
2.281653685E1,4.130124092E0,3.100585938E0,1.296020985E1
2.291659300E1,-7.391126156E0,1.235206413E1,2.333460236E1
