"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.679455170E-1,-2.520234585E-1,-1.406158686E0,-2.293912172E0
3.680095340E-1,-6.081578732E-1,-7.568088770E-1,-7.392599583E-1
4.680794120E-1,6.379388273E-2,2.156885862E-1,-5.999826789E-1
5.681368580E-1,4.351999462E-1,2.422744513E0,7.054363489E-1
6.681997050E-1,-1.874481559E0,1.972537041E0,9.082435966E-1
7.682737160E-1,-1.952129751E-1,-8.203388453E-1,8.025639057E-1
8.683455290E-1,7.858366370E-1,-5.717167258E-1,-8.807760477E-2
9.684122420E-1,-1.537283897E0,1.191718653E-1,-2.020244360E0
1.068470665E0,-3.057796061E-1,-1.483871192E-1,-8.675416708E-1
1.168549878E0,2.427773923E-1,4.007807374E-1,-4.448229074E-1
1.268606490E0,3.808329403E-1,1.371445656E0,7.475860715E-1
1.368672705E0,-8.378431797E-1,2.193670273E0,1.299808264E0
1.468759987E0,-1.046148300E0,-4.759434611E-2,8.734242916E-1
1.568810798E0,4.400868714E-1,-5.271235108E-1,-1.821508557E-1
1.668877412E0,1.088825822E0,2.016386688E-1,-1.313473225E0
1.768946831E0,3.618961275E-1,-8.270584345E-1,-2.200245112E-1
1.869012050E0,2.165101916E-1,1.869779080E-1,3.165198490E-2
1.969080197E0,7.736192942E-1,1.576085448E0,-1.049771905E-2
2.069152379E0,-2.068194300E-1,4.142197967E-1,1.064625144E0
2.169233290E0,-1.658235192E0,-5.766036510E-1,1.293699622E0
2.269280440E0,4.546792060E-2,5.357819796E-1,-2.982152402E-1
2.369341919E0,2.988616705E0,-1.483738542E0,-5.144615769E-1
2.469418302E0,-8.268476725E-1,-2.092771292E0,-1.444198489E0
2.569488115E0,-4.963695407E-1,1.039002389E-1,-6.574040055E-1
2.669551629E0,5.457665324E-1,1.453301549E0,-2.059745938E-1
2.769619811E0,8.194342256E-1,5.999227762E-1,1.721916080E0
2.869688691E0,-1.170764804E0,5.003517866E-1,1.279649615E0
2.969760003E0,-6.393120289E-1,6.066423059E-1,-6.702321768E-1
3.069821615E0,1.788266420E0,-3.509978533E0,-6.036478877E-1
3.169889801E0,4.565802217E-1,-2.346280336E0,-8.669307828E-1
3.269953517E0,-9.343599081E-1,-9.583944082E-1,-8.449396491E-1
3.370013532E0,5.732554793E-1,6.487920284E-1,-3.935102224E-1
3.470087480E0,1.134640574E0,2.616388798E0,1.703590155E0
3.570154326E0,-6.942899227E-1,2.883337259E0,1.982755661E0
3.670222008E0,-1.243457794E0,2.932684720E-1,4.452077746E-1
3.770286590E0,1.254912764E-1,-1.230229497E0,-7.691923976E-1
3.870351636E0,-2.049868256E-1,-1.465545148E-1,-1.750852823E0
3.970425483E0,-4.261200428E-1,-1.082400084E0,-4.802530706E-1
4.070488928E0,1.755822152E-1,3.120727278E-2,-5.279005766E-1
4.170555512E0,1.006358981E0,2.003080368E0,9.418411851E-1
4.270628929E0,-1.358911276E0,3.813073874E0,1.031027436E0
4.372116432E0,-1.703439355E0,-1.373782873E0,-4.653877020E-2
4.472192149E0,9.098422527E-1,-1.155093074E0,-5.413395762E-1
4.572254527E0,1.846298695E0,-2.033649683E-1,-1.384944558E0
4.672321507E0,-1.072483882E-1,-1.745188832E0,-3.513605297E-1
4.772393219E0,-2.764580548E-1,-4.629826844E-1,-4.592790082E-2
4.872461031E0,8.487557173E-1,1.507057786E0,7.689663172E-1
4.972523143E0,-5.959405899E-1,1.645724177E0,1.291866899E0
5.072603029E0,-2.127379656E0,-3.110098280E-2,4.122210443E-1
5.172657911E0,3.722808361E-1,-3.689094484E-1,-2.536220849E-1
5.272725491E0,2.816963673E0,-1.761071444E0,-9.475650191E-1
5.372796739E0,4.614671767E-1,-3.750048637E0,-4.531703889E-2
5.472861354E0,-3.638802096E-2,1.081762910E-1,-1.186208650E-1
5.572929566E0,1.584779918E-1,1.833259821E0,-2.780567110E-1
5.672994945E0,1.048508644E0,-1.277502440E-2,2.294296980E0
5.773060158E0,-1.815838456E0,-1.582935080E-2,1.564312816E0
5.873149740E0,-6.655791998E-1,7.575260401E-1,-1.721723750E-2
5.973194153E0,1.499327183E0,-2.087884188E0,-9.713887572E-1
6.073262434E0,-7.016202807E-1,-3.021897316E0,-1.510782719E0
6.173333489E0,-1.435269356E0,4.569803476E-1,-4.851400256E-1
6.273402235E0,-5.751711130E-1,1.847920537E0,-8.003464937E-1
6.373457518E0,4.578019679E-1,7.349240184E-1,1.678544641E0
6.473529999E0,-1.196421146E0,1.458188534E0,9.992625117E-1
6.573594847E0,-1.128615141E0,3.305312395E-1,-6.097565293E-1
6.673669200E0,1.655708790E0,-3.010290861E0,-2.914957404E-1
6.773730246E0,1.675725542E-2,-1.009096265E0,-1.617684245E0
6.873801826E0,-7.914174795E-1,-3.756289780E-1,-6.885581613E-1
6.973865872E0,3.142486215E-1,8.430472016E-1,-4.429903328E-1
7.073937852E0,7.638454437E-1,2.428242445E0,9.442846775E-1
7.173999432E0,-1.522012353E0,3.089809656E0,7.640793920E-1
7.274066011E0,-1.694887161E0,-1.373782873E0,2.283505797E-1
7.374129793E0,3.508321196E-2,-5.869883299E-1,-5.859327912E-1
7.474200207E0,1.147468925E0,8.607622385E-1,-1.792391658E0
7.574269254E0,1.858985052E-2,-2.042680264E0,-9.113193303E-2
7.674335131E0,4.211500585E-1,-5.155171752E-1,4.427642822E-1
7.774402381E0,5.311057568E-1,1.711697459E0,3.016544282E-1
7.874469193E0,-4.817087650E-1,1.160697103E0,9.766605496E-1
7.974543139E0,-1.297824740E0,-1.301089883E0,7.610250711E-1
8.074602753E0,4.571911097E-1,-1.856498867E-1,-7.581967711E-1
8.174670401E0,1.438851595E0,-3.151533306E-1,-1.172974229E0
8.274738047E0,1.101653934E0,-2.665762663E0,3.706821799E-1
8.374802595E0,-6.643574834E-1,2.737207711E-1,-1.169919968E0
8.474870946E0,-5.227051675E-2,6.695614457E-1,-1.919246912E-1
8.574949693E0,1.505367458E-1,1.595022321E0,2.392035484E0
8.675009108E0,-1.776743174E0,8.906946778E-1,9.736062288E-1
8.775075555E0,7.906551659E-2,7.526391149E-1,-2.823327780E-1
8.875141802E0,1.113260388E0,-2.119649172E0,-1.121661663E0
8.975210081E0,-1.366241693E0,-1.618128896E0,-2.074611425E0
9.075275962E0,-5.861667395E-1,-4.434350133E-1,-6.537388563E-1
9.175347716E0,8.854076266E-1,2.309602052E-1,-2.328526676E-1
9.275417229E0,6.935959458E-1,2.674421072E0,6.327434182E-1
9.375477809E0,-2.250774384E0,2.979853868E0,6.199152470E-1
9.475541690E0,-1.192144990E0,-1.193577528E0,1.207567573E0
9.575613136E0,1.298963428E0,-4.965803027E-1,2.369027138E-1
9.675677020E0,1.625776410E0,6.744483709E-1,-1.695874929E0
9.775746699E0,1.132739633E-1,-1.061019778E0,-2.169701755E-1
