"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.787414200E-2,3.738357306E0,-7.109980583E-1,-1.966107368E0
1.379410880E-1,1.084518909E0,-3.013679981E-1,-2.614481449E0
2.380211680E-1,-1.485394001E0,5.733663559E0,1.514412880E0
3.380877310E-1,-4.142075539E0,7.229995728E-1,-3.580857277E0
4.381555960E-1,-2.222980499E0,-1.598042965E0,-5.778794289E0
5.382109610E-1,-2.914753437E0,-6.706399918E-1,3.815507889E-2
6.382783920E-1,-1.012640238E0,3.549557686E0,1.865859509E0
7.383441570E-1,2.183145285E0,-1.297886610E0,-6.706790924E-1
8.384124890E-1,1.521598339E0,-4.154262543E0,-2.621157169E0
9.384802540E-1,2.694573879E0,4.386535645E0,-5.813360214E0
1.038550817E0,-9.141993523E-2,2.734334946E0,-3.968939781E-1
1.138615381E0,-3.858078241E0,-2.516043425E0,-3.460160255E0
1.238681913E0,-1.275799870E0,-2.590187311E0,-2.701205254E0
1.338744643E0,-1.288526535E0,3.935409069E0,5.150122166E0
1.438814374E0,-1.540545464E0,2.721940517E0,3.170524120E0
1.538882106E0,2.687970161E0,-4.689511299E0,-3.927124977E0
1.638950802E0,3.630888224E0,-1.954703331E-1,2.456460476E0
1.739018032E0,-5.965942383E0,2.779398441E0,1.009212685E1
1.839085495E0,-4.367870808E0,-1.985795021E0,-2.507898331E0
1.939156592E0,-1.307252049E0,-2.737023115E0,-2.696193695E0
2.039225055E0,-2.373901367E0,5.548970699E0,8.451350212E0
2.139293717E0,-7.279307842E-1,8.097867966E-1,-8.128819466E-1
2.239356716E0,6.453257561E0,-4.343680382E0,-1.817826271E0
2.339420213E0,1.402880311E0,-1.390016556E0,6.379018784E0
2.439484945E0,-6.005792618E0,3.958868027E0,2.090762138E0
2.539552310E0,-1.066837549E0,-9.460926056E-2,-4.065202713E0
2.639624041E0,-9.112762809E-1,-2.730200291E0,-4.520846844E0
2.739691639E0,-4.661418915E0,1.594789982E0,3.324360371E0
2.839763937E0,-4.782459736E-1,1.906508446E0,3.547530651E0
2.939827969E0,6.366031647E0,-4.054279327E0,-2.028701782E0
3.039895267E0,2.190448761E0,-3.240743637E0,8.633489609E-1
3.139956663E0,-4.240994453E0,4.174094200E0,1.673615456E0
3.240023295E0,-8.636118174E-1,7.906737328E-1,-3.557813644E0
3.340088326E0,-3.528820515E0,-9.137029648E-1,-1.332345963E0
3.440163124E0,-5.720463753E0,-5.900774002E-1,2.141057014E0
3.540229289E0,-7.425212860E-2,2.058651924E0,2.232779503E0
3.640297920E0,4.935710907E0,-3.808577299E0,-8.179411888E-1
3.740357885E0,5.061640739E0,-5.054210186E0,-4.717082977E-1
3.840426349E0,3.367616415E0,1.525658607E0,-4.114699364E0
3.940493679E0,-3.702542067E0,2.320092201E0,4.263401508E0
4.040560944E0,-2.367918253E0,-1.590616703E0,-3.842314482E0
