"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.238695780E1,5.211456900E0,-7.089922864E-1,0.000000000E0,0.000000000E0,4.283000183E1,2.000000000E0
1.103827473E0,5.238681394E1,5.212124873E0,1.576555134E1,3.042624235E0,2.508176575E2,8.000000000E0,0.000000000E0
2.159609664E0,5.238680961E1,5.212016562E0,1.349957986E1,2.867644072E0,2.447483978E2,8.000000000E0,0.000000000E0
3.146734971E0,5.238678999E1,5.211952971E0,1.527253083E1,3.276928186E0,2.596413879E2,8.000000000E0,0.000000000E0
4.136257663E0,5.238678460E1,5.211904921E0,1.564340999E1,3.811609983E0,2.613064270E2,2.400000000E1,0.000000000E0
5.133351470E0,5.238675322E1,5.211848167E0,1.714394335E1,3.409977674E0,2.559444427E2,8.000000000E0,0.000000000E0
6.181006161E0,5.238673949E1,5.211800065E0,1.917816272E1,2.937335014E0,2.544365234E2,1.200000000E1,0.000000000E0
7.150107468E0,5.238674986E1,5.211787644E0,1.574082935E1,3.634117365E0,2.489781799E2,6.000000000E0,0.000000000E0
8.186337506E0,5.238674240E1,5.211732142E0,1.656755568E1,2.667998314E0,2.576994629E2,8.000000000E0,0.000000000E0
9.124872890E0,5.238676076E1,5.211682942E0,1.505365812E1,3.934673369E-1,0.000000000E0,1.200000000E1,0.000000000E0
1.013312470E1,5.238675805E1,5.211653990E0,1.288669256E1,1.651249409E0,0.000000000E0,8.000000000E0,0.000000000E0
1.148139031E1,5.238675483E1,5.211612784E0,1.120107772E1,2.599440098E0,2.591109619E2,8.000000000E0,0.000000000E0
1.243859773E1,5.238675104E1,5.211570810E0,1.010894308E1,2.781639814E0,2.576041565E2,8.000000000E0,0.000000000E0
1.344501916E1,5.238674679E1,5.211528523E0,9.257251205E0,2.753840446E0,2.604912109E2,6.000000000E0,0.000000000E0
