"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.779736870E-1,2.389999962E1,-2.680000114E1,-2.570000076E1
2.780673250E-1,2.410000038E1,-2.700000000E1,-2.539999962E1
3.781349100E-1,2.320000076E1,-2.680000114E1,-2.660000038E1
4.782014420E-1,2.389999962E1,-2.430000114E1,-3.089999962E1
5.782573730E-1,2.460000038E1,-2.370000076E1,-3.030000114E1
6.783233710E-1,2.710000038E1,-2.460000038E1,-2.880000114E1
7.783905030E-1,2.730000114E1,-2.430000114E1,-2.860000038E1
8.784588350E-1,2.710000038E1,-2.530000114E1,-2.830000114E1
9.785269000E-1,2.570000076E1,-2.630000114E1,-2.900000000E1
1.078596763E0,2.470000076E1,-2.680000114E1,-2.930000114E1
1.178661094E0,2.450000000E1,-2.610000038E1,-2.970000076E1
1.278728259E0,2.560000038E1,-2.439999962E1,-3.020000076E1
1.378790722E0,2.630000114E1,-2.450000000E1,-2.950000000E1
1.478860687E0,2.689999962E1,-2.589999962E1,-2.780000114E1
1.578928785E0,2.610000038E1,-2.730000114E1,-2.750000000E1
1.678999281E0,2.500000000E1,-2.820000076E1,-2.830000114E1
1.779064810E0,2.420000076E1,-2.800000000E1,-2.950000000E1
1.879134208E0,2.370000076E1,-2.680000114E1,-3.050000000E1
1.979204137E0,2.450000000E1,-2.510000038E1,-3.100000000E1
2.079270633E0,2.539999962E1,-2.689999962E1,-2.720000076E1
2.179337663E0,2.710000038E1,-2.670000076E1,-2.550000000E1
2.279400195E0,2.650000000E1,-2.780000114E1,-2.550000000E1
2.379467259E0,2.510000038E1,-2.839999962E1,-2.539999962E1
2.479531258E0,2.350000000E1,-2.910000038E1,-2.560000038E1
2.579598789E0,2.200000000E1,-2.710000038E1,-2.689999962E1
2.679670587E0,2.180000114E1,-2.570000076E1,-2.760000038E1
2.779738685E0,2.210000038E1,-2.530000114E1,-2.770000076E1
2.879810283E0,2.320000076E1,-2.930000114E1,-2.339999962E1
2.979874415E0,2.350000000E1,-2.950000000E1,-2.360000038E1
3.079940779E0,2.380000114E1,-3.039999962E1,-2.339999962E1
3.180002976E0,2.350000000E1,-3.020000076E1,-2.439999962E1
3.280068774E0,2.239999962E1,-2.960000038E1,-2.570000076E1
3.380134472E0,2.050000000E1,-2.780000114E1,-2.850000000E1
3.480208503E0,2.150000000E1,-2.780000114E1,-2.700000000E1
3.580276068E0,2.450000000E1,-3.400000000E1,-1.810000038E1
3.680344566E0,2.260000038E1,-3.590000153E1,-2.110000038E1
3.780404830E0,2.250000000E1,-3.529999924E1,-2.000000000E1
3.880472995E0,2.139999962E1,-3.579999924E1,-2.080000114E1
3.980540025E0,2.070000076E1,-3.420000076E1,-2.300000000E1
4.080608023E0,2.039999962E1,-3.039999962E1,-2.639999962E1
4.180677486E0,2.130000114E1,-2.920000076E1,-2.670000076E1
4.280744951E0,2.300000000E1,-3.120000076E1,-2.239999962E1
4.383321533E0,2.560000038E1,-3.089999962E1,-2.250000000E1
4.483387530E0,2.560000038E1,-3.070000076E1,-2.220000076E1
4.583454595E0,2.530000114E1,-3.089999962E1,-2.300000000E1
4.683523525E0,2.439999962E1,-3.030000114E1,-2.400000000E1
4.783593957E0,2.300000000E1,-3.020000076E1,-2.500000000E1
4.883661189E0,2.289999962E1,-2.920000076E1,-2.570000076E1
4.983728321E0,2.300000000E1,-3.139999962E1,-2.289999962E1
5.083796252E0,2.470000076E1,-3.260000229E1,-2.150000000E1
5.183862984E0,2.420000076E1,-3.270000076E1,-2.150000000E1
