"Time (s)","Pressure (hPa)"
2.317046800E-2,1.002135742E3
1.232374680E-1,1.002133789E3
2.233038010E-1,1.002120850E3
3.233708010E-1,1.002116699E3
4.234380010E-1,1.002128418E3
5.235035010E-1,1.002132080E3
6.235693580E-1,1.002128662E3
7.236364830E-1,1.002136963E3
8.237035940E-1,1.002132812E3
9.237706940E-1,1.002133545E3
1.023836966E0,1.002143555E3
1.123903299E0,1.002145264E3
1.223970452E0,1.002146973E3
1.324037452E0,1.002146240E3
1.424103985E0,1.002140869E3
1.524171110E0,1.002142578E3
1.624238227E0,1.002136230E3
1.724305338E0,1.002119385E3
1.824371969E0,1.002119629E3
1.924439119E0,1.002117188E3
2.024506261E0,1.002102783E3
2.124573397E0,1.002098389E3
2.224640527E0,1.002084473E3
2.324707277E0,1.002069336E3
2.424774397E0,1.002063232E3
2.524841512E0,1.002056641E3
2.624908660E0,1.002051270E3
2.724975802E0,1.002045654E3
2.825042629E0,1.002048828E3
2.925109862E0,1.002047852E3
3.025177062E0,1.002044922E3
3.125245862E0,1.002027100E3
3.225318462E0,1.002020996E3
3.325385562E0,1.002021729E3
3.425452695E0,1.002014404E3
3.525520161E0,1.002014893E3
3.625587594E0,1.002011230E3
3.725654394E0,1.002010986E3
3.825721227E0,1.002015625E3
3.925788360E0,1.002006104E3
4.025855826E0,1.002005371E3
4.125922926E0,1.002007324E3
4.225990059E0,1.002008789E3
4.326056959E0,1.002016357E3
4.428662467E0,1.002030029E3
4.528729600E0,1.002025146E3
4.628796733E0,1.002030029E3
4.728863866E0,1.002037598E3
4.828931332E0,1.002045166E3
4.928998898E0,1.002054688E3
5.029066031E0,1.002066162E3
5.129133164E0,1.002069092E3
5.229200297E0,1.002077881E3
5.329267430E0,1.002095703E3
5.429334563E0,1.002096191E3
5.529401729E0,1.002095703E3
5.629469162E0,1.002101318E3
5.729536295E0,1.002099854E3
5.829603728E0,1.002096436E3
5.929670761E0,1.002103760E3
6.029737827E0,1.002097168E3
6.129803293E0,1.002093994E3
6.229865059E0,1.002090576E3
6.329931959E0,1.002088135E3
6.429999092E0,1.002092773E3
6.530066158E0,1.002091797E3
6.630133291E0,1.002083984E3
6.730200757E0,1.002087646E3
6.830268190E0,1.002080811E3
6.930335356E0,1.002081299E3
7.030402489E0,1.002083496E3
7.130469989E0,1.002084717E3
7.230537122E0,1.002088379E3
7.330604255E0,1.002087646E3
7.430671555E0,1.002089844E3
7.530738688E0,1.002088867E3
7.630805854E0,1.002083008E3
7.730873020E0,1.002076660E3
7.830939853E0,1.002076416E3
7.931006386E0,1.002079834E3
8.031073519E0,1.002078857E3
8.131140652E0,1.002078613E3
8.231207785E0,1.002072510E3
8.331275185E0,1.002073975E3
8.431342351E0,1.002069092E3
8.531409484E0,1.002073486E3
8.631476317E0,1.002086670E3
8.731543450E0,1.002084229E3
8.831610583E0,1.002074707E3
8.931677716E0,1.002081787E3
9.031744882E0,1.002081299E3
9.131812048E0,1.002066406E3
9.231879181E0,1.002066162E3
9.331946314E0,1.002066650E3
9.432013447E0,1.002061523E3
9.532080347E0,1.002063965E3
9.632147480E0,1.002063965E3
9.732214613E0,1.002072266E3
9.832281779E0,1.002060059E3
9.932348912E0,1.002054688E3
1.003241605E1,1.002052490E3
1.013248681E1,1.002055908E3
1.023255394E1,1.002056641E3
1.033262108E1,1.002064697E3
1.043268791E1,1.002064941E3
1.053275508E1,1.002071533E3
1.063282221E1,1.002087402E3
1.073288934E1,1.002109375E3
1.083295678E1,1.002114258E3
1.093302408E1,1.002117188E3
1.103309091E1,1.002114258E3
1.113315804E1,1.002127441E3
1.123322487E1,1.002137695E3
1.133329174E1,1.002146240E3
1.143335887E1,1.002146729E3
1.153342601E1,1.002143799E3
1.163349314E1,1.002163086E3
1.173356554E1,1.002168457E3
1.183363267E1,1.002160645E3
1.193369980E1,1.002144287E3
1.203376700E1,1.002141846E3
1.213383384E1,1.002141846E3
1.223390097E1,1.002146484E3
1.233396810E1,1.002156982E3
1.243403524E1,1.002157715E3
1.253410267E1,1.002162598E3
1.263416980E1,1.002170166E3
1.273423697E1,1.002178467E3
1.283430410E1,1.002182617E3
1.293437123E1,1.002180664E3
1.303443837E1,1.002186768E3
1.313450170E1,1.002186768E3
1.323456883E1,1.002187988E3
1.333463627E1,1.002184082E3
1.343470443E1,1.002177979E3
1.353477157E1,1.002177979E3
1.363483863E1,1.002176514E3
1.373490646E1,1.002174561E3
1.383497360E1,1.002177246E3
1.393504073E1,1.002171875E3
1.403510816E1,1.002150146E3
1.413517533E1,1.002148926E3
1.423524280E1,1.002138672E3
1.433531466E1,1.002136963E3
1.443538179E1,1.002145508E3
1.453544893E1,1.002156006E3
1.463551576E1,1.002162109E3
1.473558289E1,1.002161865E3
1.483565003E1,1.002153076E3
1.493571719E1,1.002144287E3
1.503578433E1,1.002141846E3
1.513585176E1,1.002130371E3
1.523591889E1,1.002133057E3
1.533598606E1,1.002136475E3
1.543605319E1,1.002142334E3
1.553612172E1,1.002143799E3
1.563618856E1,1.002148438E3
1.573625569E1,1.002137939E3
1.583632282E1,1.002133789E3
1.593638962E1,1.002129883E3
1.603645669E1,1.002138672E3
1.613652455E1,1.002134277E3
1.623659169E1,1.002134033E3
1.633665885E1,1.002127686E3
1.643672529E1,1.002130371E3
1.653679212E1,1.002131104E3
1.663685902E1,1.002126465E3
1.673692545E1,1.002127197E3
1.683699258E1,1.002121338E3
1.693705972E1,1.002121094E3
1.703712688E1,1.002131348E3
1.713719402E1,1.002133301E3
1.723726115E1,1.002128174E3
1.733732388E1,1.002122559E3
1.743739095E1,1.002132568E3
1.753745808E1,1.002129883E3
1.763752522E1,1.002146729E3
1.773759232E1,1.002154053E3
1.783765948E1,1.002156982E3
1.793772661E1,1.002163330E3
1.803779368E1,1.002165283E3
1.813786075E1,1.002178467E3
1.823792788E1,1.002180664E3
1.833799534E1,1.002185303E3
1.843806248E1,1.002195801E3
1.853812818E1,1.002209717E3
1.863819534E1,1.002210693E3
1.873826248E1,1.002208252E3
1.883832931E1,1.002210693E3
1.893839678E1,1.002216797E3
1.903849003E1,1.002225098E3
1.913855660E1,1.002225586E3
1.923862376E1,1.002234131E3
