Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0.009399,0.2475440502,1.158497334,-1.087595463
0.019401,-0.02094602585,1.646047592,-0.9309244156
0.0274005,-0.4375498295,1.998005867,-0.3682694435
0.0367845,-0.3724586964,2.150173664,-0.4428329468
0.046792,-0.9925758839,2.363264084,-0.3374848366
0.0551944,-0.9805388451,2.450137615,-0.2656459808
0.064194566,-0.9805388451,2.450137615,-0.2656459808
0.074202566,-0.9150829315,2.535302162,-0.216676712
0.083704566,-0.6612896919,2.935146332,1.650857925
0.093704566,-0.6369624138,2.821671486,2.133066177
0.103505866,-0.5539295673,2.486207485,2.887713432
0.112960593,-0.4374890327,2.618322849,2.805447578
0.122629509,-0.4063634872,2.618322849,2.850938797
0.132629432,0.3071689606,2.235461473,3.058745384
0.14262936,0.4823255539,2.055878162,2.856146812
0.15262836,0.5415210724,1.990716219,2.74894619
0.162627485,0.5610115528,1.962601662,2.708924294
0.172626602,0.7173566818,1.754521847,2.808218002
0.182625768,0.7503402233,1.655787706,2.790523529
0.192624978,1.742912769,1.465248585,2.700687408
0.202624278,1.399888754,1.21785903,2.714100838
0.212623611,1.117930651,0.5081913471,2.749990463
0.222622929,1.034110308,-0.01293897629,1.865348816
0.232622276,1.166397572,-0.09475493431,0.8626699448
0.242621651,1.096424818,0.05096006393,0.2427396774
0.252621091,0.6205801964,-0.1294100285,0.0002899169922
0.262620552,0.7248408794,-0.1668257713,-1.241575718
0.272619996,1.259001017,-0.06304001808,-0.717376709
0.28261946,0.9334800243,-0.4639549255,-0.845539093
0.292618942,0.4857027531,-0.8036227226,-0.9843564034
0.302618442,-0.2465071678,-0.8272037506,-1.326468945
0.312617908,-0.9810991287,-0.901471138,-2.204118729
0.322750808,-1.276298404,-0.444439888,-2.885983944
0.332811908,-1.505355477,-0.07403802872,-3.744949341
0.342810408,-1.930498004,0.7324864864,-4.164054871
0.353076174,-2.068556309,0.40706563,-4.733158112
