Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0,52.2551283,4.5768147,-0.6004588732,0,0,14.91100025,2.599998474
2.043675589,52.25526417,4.576716855,1.442446195,0.2481076121,225.0803986,16,137.2338715
3.040676011,52.25512414,4.576747721,-11.66128007,0.6943844557,127.0250015,2,46.89579773
4.059068588,52.25511948,4.576759506,-5.105631237,0.1573374867,208.1685486,12,71.44954681
5.063801972,52.25512538,4.576788787,4.154083125,0.1371002495,217.5537262,2,17.23105431
6.065665855,52.2551246,4.576791092,14.98263234,0.4374924302,310.2077942,12,11.14263058
7.07136447,52.25512474,4.576787476,14.17913657,1.256502509,299.0257874,12,13.25190258
8.081788469,52.25512506,4.576786977,14.09597737,0.3088209033,216.1196289,4,45.02907944
9.08092843,52.25512474,4.576789169,14.22673794,0.2298008204,294.5976868,16,46.55033493
10.07460381,52.25514016,4.576800558,8.866977603,0,0,16,19.81879425
11.0739712,52.25514122,4.576788883,8.482921628,0,0,12,14.16374397
11.7149532,52.25513766,4.576790683,8.737488234,0,0,8,11.70283127
12.71409051,52.2551361,4.576787923,8.149133102,0,0,8,10.20195103
13.72177374,52.25513561,4.576788152,8.011793396,0,0,8,9.163274765
14.7173127,52.25513691,4.576787193,7.426229569,0,0,8,8.322201729
15.72805031,52.25513758,4.576787961,6.994374413,0,0,6,7.630227566
16.72368542,52.25513707,4.576790643,6.798283819,0,0,6,7.103519917
17.73186839,52.25513829,4.576790378,6.584264518,0,0,6,6.75775671
18.72641081,52.25513857,4.576791349,7.444245464,0,0,6,6.375496864
19.74297315,52.2551332,4.576787837,7.870134978,0,0,6,6.069765568
20.74241715,52.25513387,4.576785025,7.346847902,0,0,6,5.802178383
21.7443985,52.25513353,4.576782383,7.181668394,0,0,6,5.553081036
22.74329319,52.2551343,4.576782434,6.457791672,0,0,6,5.302838802
23.75151073,52.25513292,4.576780537,6.135554994,0,0,4,5.107997417
24.74519715,52.25513278,4.57677692,5.772926813,0,0,4,4.97023201
25.74783023,52.25513198,4.576773594,5.611866296,0,0,4,4.818300247
26.74621011,52.25513176,4.576774314,5.036228302,0,0,4,4.690004349
27.74661607,52.25513116,4.576777373,4.569490668,0,0,4,4.591262341
28.75316096,52.2551299,4.576779751,4.167923972,0,0,4,4.513883591
29.75036153,52.25512856,4.576780662,4.089931577,0,0,4,4.460381985
