Time (s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
0.180098225,-48.95999908,-30.65999985,-51.23999786
0.190098225,-49.13999939,-30.53999901,-51.5399971
0.200098225,-49.25999832,-30.77999878,-51.5399971
0.210098558,-49.07999802,-30.53999901,-51.05999756
0.220098808,-48.95999908,-29.69999886,-51.29999924
0.230098808,-48.84000015,-29.15999985,-51.71999741
0.240098808,-48.47999954,-28.73999977,-52.07999802
0.250098808,-48.47999954,-28.68000031,-52.55999756
0.260098933,-48.65999985,-29.15999985,-52.43999863
0.270099044,-48.65999985,-29.45999908,-52.37999725
0.280099044,-48.71999741,-28.97999954,-52.73999786
0.290099044,-48.59999847,-28.79999924,-52.5
0.300099044,-48.47999954,-28.68000031,-52.37999725
0.310099044,-49.20000076,-28.5,-52.37999725
0.320099115,-49.07999802,-28.5,-52.25999832
0.330099181,-49.20000076,-29.03999901,-52.07999802
0.340099181,-48.59999847,-28.92000008,-52.43999863
0.350099181,-47.57999802,-28.8599987,-52.19999695
0.360099181,-47.52000046,-28.97999954,-52.43999863
0.370099233,-47.09999847,-28.55999947,-52.61999893
0.380099283,-47.09999847,-28.68000031,-52.43999863
0.390099283,-47.34000015,-28.61999893,-52.61999893
0.400099283,-47.21999741,-28.79999924,-52.19999695
0.410099283,-47.21999741,-28.92000008,-52.55999756
0.420099324,-47.15999985,-29.21999931,-52.55999756
0.430099324,-47.15999985,-29.57999992,-52.07999802
0.440099324,-47.39999771,-29.39999962,-51.71999741
0.450099324,-48.11999893,-29.45999908,-50.87999725
0.460099324,-48.77999878,-29.45999908,-50.21999741
0.470099324,-49.37999725,-29.15999985,-49.37999725
0.480099357,-50.45999908,-29.27999878,-49.25999832
0.49009939,-50.87999725,-29.21999931,-48.89999771
0.50009939,-51.77999878,-29.03999901,-48.36000061
0.510099356,-52.68000031,-29.21999931,-48.18000031
0.520099322,-52.91999817,-29.03999901,-47.57999802
0.530099355,-53.45999908,-28.01999855,-47.57999802
0.540099355,-53.63999939,-26.27999878,-47.63999939
0.550099355,-52.97999954,-23.45999908,-48.47999954
0.560099321,-52.97999954,-20.57999992,-49.13999939
0.570099321,-52.68000031,-18.18000031,-50.09999847
0.580099354,-52.43999863,-15.8399992,-50.81999969
0.590099354,-51.89999771,-14.88000011,-51
0.600099354,-51.11999893,-14.46000004,-51.47999954
0.61009932,-50.27999878,-13.5,-51.18000031
0.620099253,-49.61999893,-13.43999958,-51.47999954
0.630099219,-49.55999756,-13.0199995,-52.02000046
0.640099252,-49.02000046,-12.47999954,-52.61999893
0.650099252,-48.47999954,-12.71999931,-53.39999771
0.660099252,-48.11999893,-12.59999943,-54.18000031
0.670099218,-47.93999863,-12.59999943,-54.05999756
0.680099218,-47.63999939,-12.77999973,-54.41999817
0.690099251,-46.97999954,-12.53999996,-54.89999771
0.700099251,-46.02000046,-12.71999931,-55.25999832
0.710099251,-45.11999893,-12.96000004,-56.45999908
0.720099217,-44.21999741,-12.84000015,-57.05999756
0.73009925,-43.68000031,-12.23999977,-57.65999985
0.740099283,-42.89999771,-11.88000011,-58.61999893
0.750099283,-41.63999939,-11.15999985,-59.45999908
0.760099283,-40.37999725,-9.960000038,-60.41999817
0.770099283,-38.87999725,-8.819999695,-61.8599968
0.780099249,-37.31999969,-6.960000038,-63.5399971
0.790099249,-35.75999832,-4.440000057,-65.69999695
0.800099282,-35.04000092,-2.639999866,-68.15999603
0.810099282,-34.68000031,-0.4799999893,-70.13999939
0.820099282,-35.27999878,1.74000001,-71.51999664
0.830099248,-35.63999939,2.579999924,-72.59999847
0.840099281,-35.52000046,3.539999962,-73.01999664
0.850099281,-35.45999908,3.720000029,-73.73999786
0.860099281,-35.45999908,3.599999905,-74.51999664
0.870099247,-36.18000031,3.539999962,-75.11999512
0.880099213,-36.84000015,3.359999895,-76.19999695
0.890099213,-37.68000031,2.519999981,-76.86000061
0.900099246,-38.04000092,1.74000001,-78.05999756
0.910099312,-38.39999771,2.220000029,-78.72000122
0.920099345,-38.93999863,2.75999999,-78.59999847
0.930099345,-39.23999786,4.5,-78.36000061
0.940099378,-39.36000061,6.839999676,-77.45999908
0.950099378,-39.29999924,8.279999733,-77.04000092
0.960099344,-38.75999832,9.899999619,-77.04000092
0.97009931,-37.55999756,10.92000008,-77.33999634
0.980099276,-35.93999863,11.39999962,-78.11999512
0.990099242,-33.95999908,11.75999928,-78.36000061
1.000099275,-31.97999954,12.11999989,-78
1.010099275,-30.23999977,12.17999935,-77.63999939
1.020099275,-29.57999992,11.75999928,-77.58000183
1.030099241,-29.09999847,11.15999985,-77.75999451
1.040099207,-29.03999901,10.07999992,-78.29999542
1.05009924,-30.1799984,9.119999886,-78.54000092
1.06009924,-30.95999908,8.220000267,-78.65999603
1.07009924,-32.70000076,7.799999714,-78.29999542
1.08009924,-34.07999802,7.440000057,-77.58000183
1.090099206,-35.45999908,7.5,-77.51999664
1.100099206,-37.13999939,8.279999733,-76.19999695
1.110099239,-37.61999893,9.239999771,-75.05999756
1.120099239,-36.41999817,10.92000008,-73.86000061
1.130099239,-32.09999847,10.55999947,-71.69999695
1.140099205,-24.95999908,7.139999866,-70.31999969
1.150099238,-18,1.319999933,-69.36000061
1.160099238,-13.92000008,-8.039999962,-69.23999786
1.170099238,21.65999985,-5.639999866,-7.679999828
1.180099238,19.8599987,-12.53999996,-7.259999752
1.190099238,18.29999924,-17.52000046,-6.899999619
1.200099204,17.63999939,-19.5,-6.239999771
1.21009917,18.60000038,-19.92000008,-5.099999905
1.22009917,19.43999863,-19.92000008,-4.799999714
1.23009917,19.79999924,-19.73999977,-4.139999866
1.240099103,20.39999962,-19.43999863,-3.419999838
1.250099103,20.52000046,-19.26000023,-3.119999886
1.260099169,21.05999947,-19.13999939,-2.939999819
1.270099235,21.65999985,-18.42000008,-2.819999933
1.280099235,22.13999939,-18.29999924,-2.639999866
1.290099235,22.8599987,-17.27999878,-2.460000038
1.300099201,23.21999931,-16.97999954,-1.919999957
1.310099234,23.10000038,-16.79999924,-1.319999933
1.320099234,22.92000008,-16.13999939,-0.2999999821
1.330099234,22.5,-15.89999962,0.4199999869
1.340099234,22.19999886,-15.17999935,1.319999933
1.350099234,21.89999962,-14.34000015,2.579999924
1.360099267,21.23999977,-13.61999989,3.539999962
1.370099267,20.15999985,-12.35999966,4.799999714
1.380099267,18.89999962,-10.55999947,6.659999847
1.390099267,17.21999931,-9.059999466,7.679999828
1.400099233,16.07999992,-7.5,8.699999809
1.410099199,15.77999973,-6.71999979,9.960000038
1.420099232,15.05999947,-7.139999866,9.659999847
