Time (s),Pressure (hPa)
0.191398225,999.4995117
0.291398225,999.4978027
0.391398225,999.5131836
0.491398225,999.527832
0.591398225,999.5566406
0.691398225,999.557373
0.791398391,999.5769043
0.891398533,999.5839844
0.991398658,999.5842285
1.091398769,999.5825195
1.191398769,999.5583496
1.291398769,999.5541992
1.391398769,999.5397949
1.491398769,999.5449219
1.591398769,999.5427246
1.691398769,999.5517578
1.791398769,999.5629883
1.891398769,999.5559082
1.991398824,999.5427246
2.091398824,999.5588379
2.191398874,999.5844727
2.291398874,999.5705566
2.391398919,999.5322266
2.491398919,999.5539551
2.59139896,999.5681152
2.69139896,999.5498047
2.79139896,999.5549316
2.89139896,999.5808105
2.99139896,999.5961914
3.09139896,999.5615234
3.19139896,999.5383301
3.291398993,999.5686035
3.391399059,999.5598145
3.491399092,999.5563965
3.591399125,999.5480957
3.691399125,999.5578613
3.791399091,999.5778809
3.891399057,999.5620117
3.991399023,999.548584
4.091398989,999.5703125
4.191398989,999.5822754
4.291398989,999.5627441
4.392552143,999.5717773
4.492552143,999.6015625
4.592552143,999.6015625
4.692552209,999.5976562
4.792552242,999.5825195
4.892552275,999.5683594
4.992552241,999.5957031
5.092552274,999.6062012
5.192552207,999.5983887
5.292552207,999.590332
5.392552173,999.6022949
5.492552173,999.5976562
5.592552139,999.5944824
5.692552139,999.6079102
5.792552172,999.6281738
5.892552205,999.6181641
5.992552238,999.6008301
6.092552271,999.6010742
6.192552271,999.6086426
6.292552237,999.588623
6.39255217,999.5876465
6.492552136,999.6140137
6.592552102,999.6003418
6.692552102,999.5891113
6.792552102,999.5788574
6.892552102,999.5778809
6.992552135,999.5822754
7.092552135,999.5717773
7.192552201,999.5644531
7.292552201,999.5866699
7.392552234,999.5822754
7.492552234,999.5766602
7.592552234,999.5495605
7.692552167,999.5786133
7.792552133,999.5563965
7.892552099,999.5412598
7.992552099,999.5432129
8.092552065,999.5551758
8.192552098,999.5498047
8.292552131,999.5366211
8.392552197,999.5253906
8.49255223,999.5566406
8.592552263,999.5390625
8.692552296,999.5339355
8.792552262,999.5151367
8.892552228,999.5358887
8.992552194,999.5310059
9.09255216,999.519043
9.19255216,999.526123
9.29255216,999.5515137
9.39255216,999.5446777
9.49255216,999.5419922
9.59255216,999.5429688
9.692552193,999.5429688
9.792552193,999.5681152
9.892552226,999.5427246
9.992552192,999.5219727
10.09255219,999.5385742
10.19255212,999.5371094
10.29255212,999.5112305
10.39255209,999.5056152
10.49255209,999.5246582
10.59255209,999.5314941
10.69255209,999.5322266
10.79255212,999.517334
10.89255216,999.5266113
10.99255219,999.5214844
11.09255222,999.5087891
11.19255226,999.513916
11.29255222,999.5134277
11.39255216,999.5183105
11.49255212,999.4968262
11.59255209,999.5039062
11.69257314,999.5063477
11.79257314,999.5129395
11.89257314,999.5134277
11.99257317,999.5112305
12.09257317,999.5136719
12.1925732,999.5144043
12.2925732,999.5131836
12.39257324,999.5021973
12.49257324,999.486084
12.59257327,999.5222168
12.69257324,999.5100098
12.79257324,999.5236816
12.8925732,999.5327148
12.9925732,999.5378418
13.0925732,999.532959
13.1925732,999.5258789
13.29257324,999.5300293
13.3925733,999.5310059
13.49257334,999.5170898
13.59257337,999.519043
13.69257337,999.5185547
13.79257333,999.5146484
13.8925733,999.5192871
13.99257327,999.5195312
14.09257323,999.5334473
14.1925732,999.517334
14.2925732,999.5197754
14.3925732,999.5134277
14.4925732,999.5073242
14.5925732,999.5170898
14.69257323,999.515625
14.79257326,999.515625
14.8925733,999.5239258
14.99257326,999.543457
15.09257326,999.5246582
15.19257326,999.5368652
15.29257326,999.5422363
15.39257323,999.5371094
15.49257323,999.5219727
15.5925732,999.5
15.6925732,999.5126953
15.7925732,999.5249023
15.89257323,999.5197754
15.99257326,999.512207
16.09257329,999.5222168
16.19257329,999.5297852
16.29257326,999.5134277
16.39257319,999.5170898
16.49257316,999.5192871
16.59257312,999.5332031
16.69257313,999.526123
16.79257312,999.5317383
16.89257313,999.5368652
16.99257312,999.5478516
17.09257312,999.543457
17.19257316,999.5314941
17.29257316,999.5268555
17.39257319,999.5437012
17.49257319,999.5366211
17.59257322,999.5371094
17.69257322,999.5268555
17.79257319,999.5310059
17.89257316,999.5227051
17.99257316,999.529541
18.09257316,999.5393066
18.19257312,999.5249023
18.29257316,999.5195312
18.39257319,999.512207
18.49257322,999.5075684
18.59257325,999.512207
18.69257325,999.5126953
18.79257322,999.5180664
18.89257319,999.5087891
18.99263109,999.5043945
19.09263106,999.5170898
19.19263106,999.5246582
19.29263106,999.5273438
19.39263106,999.5305176
19.49263106,999.5280762
19.59263106,999.5246582
19.69263109,999.5222168
19.79263109,999.5219727
19.89263113,999.5161133
19.99263113,999.5161133
20.09263113,999.5158691
20.19263109,999.5180664
20.29263109,999.5085449
20.39263106,999.5024414
20.49263106,999.5080566
20.59263102,999.5056152
20.69263099,999.5053711
20.79263099,999.5065918
20.89263099,999.501709
20.99263102,999.5146484
21.09263106,999.5144043
21.19263109,999.512207
21.29263106,999.5187988
21.39263102,999.512207
21.49263099,999.5100098
21.59263095,999.5192871
21.69263095,999.5083008
21.79263095,999.5134277
21.89263095,999.5131836
21.99263095,999.5185547
22.09263095,999.5366211
22.19263102,999.5158691
22.29263102,999.5146484
22.39263105,999.5229492
22.49263105,999.5080566
22.59263105,999.5041504
22.69263102,999.5009766
22.79263102,999.5004883
22.89263098,999.5031738
22.99263098,999.4970703
23.09263098,999.5075684
23.19263098,999.5202637
23.29263102,999.4970703
23.39263108,999.4897461
23.49263112,999.4841309
23.59263115,999.4978027
23.69263115,999.5100098
23.79263118,999.5
23.89263118,999.5056152
23.99263115,999.5202637
24.09263111,999.5085449
24.19263108,999.5153809
24.29263108,999.5061035
24.39263108,999.501709
24.49263111,999.5134277
24.59263111,999.5231934
24.69263115,999.5053711
24.79263118,999.5131836
24.89263121,999.5095215
24.99263121,999.5166016
25.09263125,999.5166016
25.19263118,999.5100098
25.29263118,999.5007324
25.39263114,999.5187988
25.49263114,999.5227051
25.59263114,999.5244141
25.69263114,999.5231934
25.79263114,999.5275879
25.89263121,999.5258789
25.99263124,999.5222168
26.09263128,999.5356445
26.19263128,999.5390625
26.29271128,999.5356445
26.39271122,999.5209961
26.49271118,999.5283203
26.59271115,999.5339355
26.69271115,999.526123
26.79271131,999.5292969
26.89271131,999.5488281
26.99271131,999.5419922
27.09271131,999.53125
27.19271135,999.5249023
27.29271138,999.5205078
27.39271141,999.5246582
27.49271138,999.5327148
27.59271138,999.5290527
27.69271134,999.5510254
27.79271134,999.5449219
27.89271131,999.5537109
27.99271131,999.5356445
28.09271128,999.5310059
28.19271128,999.5280762
28.29271131,999.5283203
28.39271134,999.5439453
28.49271138,999.5327148
28.59271141,999.5275879
28.69271141,999.5307617
28.79271141,999.5263672
28.89271134,999.5214844
28.99271131,999.5163574
29.09271127,999.5163574
29.19271127,999.5153809
29.29271127,999.515625
29.39271127,999.5256348
29.49271131,999.5244141
29.59271131,999.5292969
29.69271134,999.5180664
29.79271114,999.5178223
29.89271117,999.5095215
29.99271117,999.5031738
30.09271117,999.5280762
30.19271114,999.5280762
30.2927111,999.5275879
30.39271107,999.526123
30.49271107,999.5241699
30.59271107,999.5422363
30.69271107,999.5368652
30.79271107,999.5334473
30.89271114,999.5170898
30.9927112,999.5427246
31.09271124,999.5517578
31.19271127,999.5568848
31.29271123,999.5510254
31.3927112,999.5551758
31.49271117,999.5495605
31.59271113,999.5456543
31.69271113,999.5532227
31.79271113,999.5532227
31.89271113,999.5583496
31.99271117,999.5634766
32.09271117,999.5703125
32.1927112,999.5778809
32.2927112,999.5766602
32.39271123,999.5773926
32.4927112,999.5681152
32.59271123,999.550293
32.6927112,999.5568848
32.7927112,999.5593262
32.89271116,999.5532227
32.99271116,999.5783691
33.09271116,999.5712891
33.19271116,999.5717773
33.2927112,999.5754395
