"Time (s)","Illuminance (lx)"
1.052910000E-1,1.710000000E2
1.652890000E-1,5.700000000E1
3.456993380E-1,1.710000000E2
5.256783380E-1,1.700000000E2
7.056543380E-1,1.680000000E2
8.856323380E-1,1.690000000E2
1.245595338E0,1.680000000E2
1.425639221E0,1.610000000E2
1.605617221E0,1.530000000E2
1.785594221E0,1.500000000E2
1.965572221E0,1.530000000E2
2.145549221E0,1.550000000E2
2.325531221E0,1.560000000E2
2.505508221E0,1.530000000E2
2.865462221E0,1.470000000E2
3.045440221E0,1.340000000E2
3.225416221E0,1.270000000E2
3.585381221E0,1.220000000E2
3.765359221E0,1.180000000E2
3.945336221E0,1.190000000E2
4.125314221E0,1.220000000E2
4.305291221E0,1.240000000E2
4.485690104E0,1.150000000E2
4.665666104E0,9.800000000E1
4.845645104E0,1.290000000E2
5.025621104E0,1.400000000E2
5.205597104E0,1.430000000E2
5.565562104E0,1.400000000E2
5.925516104E0,1.370000000E2
6.105495104E0,1.400000000E2
6.285471104E0,1.350000000E2
6.465450104E0,1.220000000E2
6.645430104E0,1.160000000E2
6.825408104E0,1.180000000E2
7.005385104E0,1.280000000E2
7.185363104E0,1.350000000E2
7.365339104E0,1.360000000E2
7.545318104E0,1.260000000E2
7.725304104E0,1.190000000E2
7.905282104E0,1.290000000E2
8.085258104E0,1.310000000E2
8.265237104E0,1.380000000E2
8.445213104E0,1.320000000E2
8.805175718E0,1.360000000E2
8.985153718E0,1.400000000E2
9.165130718E0,1.430000000E2
9.345108718E0,1.390000000E2
9.525084718E0,1.360000000E2
9.705064718E0,1.320000000E2
9.885050718E0,1.300000000E2
1.024500572E1,1.250000000E2
1.042498072E1,1.220000000E2
1.060496072E1,1.270000000E2
1.078493672E1,1.370000000E2
1.096492472E1,1.410000000E2
1.114490072E1,1.360000000E2
1.150485572E1,1.390000000E2
1.168483472E1,1.440000000E2
1.186492322E1,1.490000000E2
1.204490522E1,1.460000000E2
1.222488122E1,1.300000000E2
1.240486022E1,1.280000000E2
1.258483622E1,1.270000000E2
1.276481522E1,1.280000000E2
1.294479122E1,1.140000000E2
1.312478022E1,1.070000000E2
1.330475622E1,1.200000000E2
1.348473522E1,1.220000000E2
1.366471122E1,1.200000000E2
1.384469022E1,1.160000000E2
1.402466722E1,1.060000000E2
1.420465522E1,1.050000000E2
1.438463022E1,1.080000000E2
1.456460922E1,1.160000000E2
1.474458622E1,1.320000000E2
1.492456122E1,1.290000000E2
1.510454022E1,1.120000000E2
1.528452022E1,1.090000000E2
1.546449822E1,1.170000000E2
1.564447522E1,1.140000000E2
1.582445322E1,1.070000000E2
1.600451352E1,1.010000000E2
1.618449152E1,1.050000000E2
1.636447752E1,1.080000000E2
1.654445552E1,1.090000000E2
