"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-3.120073080E-1,9.747283161E-2,-2.037448883E-1
2.000000000E-3,-5.929204226E-1,2.074681669E-1,-1.480846405E-1
1.199950000E-2,-5.929204226E-1,2.074681669E-1,-1.480846405E-1
2.199883300E-2,-7.734526396E-1,2.758782506E-1,-1.071453094E-1
3.199833300E-2,-7.750588655E-1,2.742465734E-1,-1.067924500E-1
4.199773300E-2,-7.756985426E-1,2.726972103E-1,-1.066637039E-1
5.199723300E-2,-7.755981684E-1,2.710152566E-1,-1.067085266E-1
6.199680400E-2,-7.744587660E-1,2.688767314E-1,-1.070032120E-1
7.199617900E-2,-7.736579180E-1,2.666645050E-1,-1.072177887E-1
8.199540100E-2,-7.736920118E-1,2.641171813E-1,-1.072416306E-1
9.199470100E-2,-7.742432356E-1,2.612031698E-1,-1.071491241E-1
1.019938820E-1,-7.756813765E-1,2.586016357E-1,-1.068449020E-1
1.119930480E-1,-7.772456408E-1,2.559042871E-1,-1.065111160E-1
1.219922780E-1,-7.785888910E-1,2.533889413E-1,-1.062259674E-1
1.319915630E-1,-7.793580294E-1,2.513334751E-1,-1.060705185E-1
1.419908960E-1,-7.796016932E-1,2.493588775E-1,-1.060342789E-1
1.519902080E-1,-7.791074514E-1,2.471594661E-1,-1.061725616E-1
1.619895600E-1,-7.787877321E-1,2.446558774E-1,-1.062736511E-1
1.719889480E-1,-7.784904242E-1,2.420372367E-1,-1.063709259E-1
1.819882630E-1,-7.785135508E-1,2.391863763E-1,-1.063928604E-1
1.919875130E-1,-7.789620161E-1,2.363344878E-1,-1.063156128E-1
2.019867980E-1,-7.793513536E-1,2.335970998E-1,-1.062498093E-1
2.119860250E-1,-7.796181440E-1,2.312349677E-1,-1.062088013E-1
2.219851980E-1,-7.357102633E-1,7.002704591E-2,-1.164369583E-1
2.319844060E-1,-6.952553988E-1,-7.494051754E-2,-1.233501434E-1
2.419835660E-1,-6.578572989E-1,-2.057808489E-1,-1.277484894E-1
2.519826810E-1,-6.229156256E-1,-3.239047527E-1,-1.303119659E-1
2.619818290E-1,-5.909558535E-1,-4.306695461E-1,-1.313457489E-1
2.719809360E-1,-5.620080233E-1,-5.274546742E-1,-1.311559677E-1
2.819800730E-1,-5.369200706E-1,-6.152580380E-1,-1.298189163E-1
2.919791730E-1,-5.156565905E-1,-6.946415305E-1,-1.275682449E-1
3.022448730E-1,-4.975647926E-1,-7.664176822E-1,-1.246938705E-1
3.122439390E-1,-4.816410542E-1,-8.312302828E-1,-1.215229034E-1
3.222429720E-1,-4.675842524E-1,-8.888618350E-1,-1.182899475E-1
3.322419380E-1,-4.548991919E-1,-9.403664470E-1,-1.151123047E-1
3.422409380E-1,-4.431788921E-1,-9.864216447E-1,-1.120958328E-1
3.522398710E-1,-4.318300486E-1,-1.027631640E0,-1.093654633E-1
3.622387370E-1,-4.206342697E-1,-1.065297008E0,-1.068630219E-1
3.722376700E-1,-9.920942783E-2,2.793669701E-1,-1.451225281E-1
3.822366030E-1,-8.779346943E-2,1.972231865E-1,-1.450595856E-1
3.922355360E-1,-6.085383892E-2,1.297624111E-1,-1.617746353E-1
4.022344690E-1,-6.432175636E-2,7.765126228E-2,-1.929092407E-1
4.122333690E-1,-1.126831770E-1,3.595113754E-2,-2.312650681E-1
4.222322690E-1,-1.001386642E-1,7.898497581E-2,-2.841539383E-1
4.322311020E-1,-1.271448135E-1,1.505306959E-1,-3.370819092E-1
4.422298680E-1,-1.257978678E-1,2.091876268E-1,-3.542089462E-1
4.522286680E-1,-1.166683435E-1,2.853276730E-1,-2.805519104E-1
4.622274010E-1,-5.386912823E-2,3.128268719E-1,-2.500438690E-1
4.722261670E-1,-2.439332008E-2,3.001579046E-1,-2.120800018E-1
4.822249000E-1,-1.202392578E-2,2.885032892E-1,-2.360544205E-1
4.922236660E-1,-2.016699314E-2,2.827910185E-1,-2.978448868E-1
5.022223660E-1,-2.507078648E-2,2.356406450E-1,-2.897453308E-1
5.122211320E-1,-4.071772099E-2,1.793277264E-1,-2.718667984E-1
5.222198980E-1,-5.418920517E-2,1.291434765E-1,-2.493305206E-1
5.322186640E-1,-6.786179543E-2,5.421829224E-2,-2.174043655E-1
5.422174300E-1,-5.957305431E-2,2.670586109E-2,-2.241525650E-1
5.522161960E-1,-3.924286366E-2,1.339328289E-2,-2.121095657E-1
5.622149620E-1,-3.824591637E-2,2.573716640E-2,-2.433986664E-1
5.722137280E-1,-3.505933285E-2,2.786004543E-2,-2.533864975E-1
5.822124280E-1,-4.586267471E-2,5.271184444E-2,-2.540616989E-1
5.922111940E-1,-6.501936913E-2,6.895267963E-2,-2.575235367E-1
6.022099600E-1,-4.256379604E-2,8.375060558E-2,-2.158288956E-1
6.122086600E-1,-4.305672646E-2,6.329929829E-2,-2.175331116E-1
6.222074260E-1,-4.611122608E-2,4.338800907E-2,-2.480239868E-1
6.322063920E-1,-4.735863209E-2,1.688289642E-2,-2.306184769E-1
6.422051580E-1,-5.614447594E-2,7.609248161E-3,-2.443494797E-1
6.522039240E-1,-5.129516125E-2,-2.724063396E-2,-2.245521545E-1
6.622026900E-1,-2.972590923E-2,-4.927170277E-2,-2.336273193E-1
6.722014560E-1,-3.495669365E-2,-8.728981018E-2,-1.828908920E-1
6.822001890E-1,-4.257118702E-2,-1.118410826E-1,-1.659412384E-1
6.921988550E-1,-5.232131481E-2,-1.306700706E-1,-1.683597565E-1
7.021976210E-1,-5.460953712E-2,-1.292531490E-1,-1.686306000E-1
7.121963870E-1,-7.366073132E-2,-9.850585461E-2,-1.785831451E-1
7.221950870E-1,-4.437816143E-2,-9.619009495E-2,-2.126159668E-1
