"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.225509550E1,4.576807100E0,-1.000505014E0,0.000000000E0,0.000000000E0,1.529199982E1,2.000000000E0
4.075700000E1,5.225509740E1,4.576822700E0,-1.000493779E0,0.000000000E0,0.000000000E0,1.377000046E1,2.000000000E0
6.076800000E1,5.225509470E1,4.576820000E0,-1.000498919E0,0.000000000E0,0.000000000E0,1.377499962E1,2.000000000E0
6.076800000E1,5.225509470E1,4.576820000E0,-1.000498919E0,0.000000000E0,0.000000000E0,1.377499962E1,2.000000000E0
1.007850000E2,5.225509480E1,4.576826300E0,-1.000495281E0,0.000000000E0,0.000000000E0,1.413099957E1,2.000000000E0
1.007850000E2,5.225509480E1,4.576826300E0,-1.000495281E0,0.000000000E0,0.000000000E0,1.413099957E1,2.000000000E0
1.408340000E2,5.225509470E1,4.576820000E0,-1.000498919E0,0.000000000E0,0.000000000E0,1.377499962E1,2.000000000E0
1.408340000E2,5.225509470E1,4.576820000E0,-1.000498919E0,0.000000000E0,0.000000000E0,1.377499962E1,2.000000000E0
1.808480000E2,5.225509550E1,4.576821200E0,-1.000497174E0,0.000000000E0,0.000000000E0,1.388700008E1,2.000000000E0
1.808480000E2,5.225509550E1,4.576821200E0,-1.000497174E0,0.000000000E0,0.000000000E0,1.388700008E1,2.000000000E0
2.208660000E2,5.225509650E1,4.576819900E0,-1.000496549E0,0.000000000E0,0.000000000E0,1.368900013E1,2.000000000E0
2.208660000E2,5.225509650E1,4.576819900E0,-1.000496549E0,0.000000000E0,0.000000000E0,1.368900013E1,2.000000000E0
2.608770000E2,5.225509560E1,4.576816900E0,-1.000499430E0,0.000000000E0,0.000000000E0,1.340100002E1,2.000000000E0
2.608770000E2,5.225509560E1,4.576816900E0,-1.000499430E0,0.000000000E0,0.000000000E0,1.340100002E1,2.000000000E0
