"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.804233380E-1,-2.453999901E1,1.679999948E0,1.937999916E1
1.904213380E-1,-2.411999893E1,1.740000010E0,1.961999893E1
2.004193380E-1,-2.400000000E1,1.799999952E0,1.968000031E1
2.104180040E-1,-2.345999908E1,2.279999971E0,1.985999870E1
2.204165040E-1,-2.400000000E1,2.819999933E0,1.973999977E1
2.304149040E-1,-2.411999893E1,3.119999886E0,1.968000031E1
2.404135700E-1,-2.393999863E1,3.000000000E0,1.950000000E1
2.504121410E-1,-2.447999954E1,2.700000048E0,1.950000000E1
2.604106410E-1,-2.405999947E1,2.159999847E0,1.968000031E1
2.704093070E-1,-2.405999947E1,2.159999847E0,1.992000008E1
2.804079070E-1,-2.381999969E1,2.460000038E0,2.021999931E1
2.904066340E-1,-2.327999878E1,2.639999866E0,2.015999985E1
3.004053000E-1,-2.279999924E1,3.359999895E0,2.045999908E1
3.104039150E-1,-2.261999893E1,3.419999838E0,2.039999962E1
3.204026290E-1,-2.268000031E1,3.480000019E0,2.039999962E1
3.304012950E-1,-2.250000000E1,3.720000029E0,2.027999878E1
3.403999200E-1,-2.297999954E1,3.179999828E0,2.003999901E1
3.503986250E-1,-2.327999878E1,3.119999886E0,1.997999954E1
3.603972910E-1,-2.369999886E1,2.819999933E0,2.010000038E1
3.703959220E-1,-2.387999916E1,2.700000048E0,2.010000038E1
3.803946220E-1,-2.369999886E1,3.240000010E0,2.034000015E1
3.903932880E-1,-2.297999954E1,3.359999895E0,2.015999985E1
4.003920150E-1,-2.261999893E1,3.659999847E0,1.997999954E1
4.103907100E-1,-2.250000000E1,3.959999800E0,2.010000038E1
4.203893760E-1,-2.226000023E1,3.959999800E0,1.973999977E1
4.303880960E-1,-2.297999954E1,4.079999924E0,1.961999893E1
4.403867880E-1,-2.310000038E1,3.899999857E0,1.979999924E1
4.503854540E-1,-2.321999931E1,3.539999962E0,2.003999901E1
4.603841680E-1,-2.334000015E1,3.240000010E0,2.021999931E1
4.703828570E-1,-2.310000038E1,3.299999952E0,2.045999908E1
4.803816230E-1,-2.303999901E1,3.599999905E0,2.063999939E1
4.903803560E-1,-2.285999870E1,3.599999905E0,2.052000046E1
5.003791220E-1,-2.285999870E1,3.659999847E0,2.076000023E1
5.103778220E-1,-2.285999870E1,3.419999838E0,2.063999939E1
5.203765880E-1,-2.285999870E1,3.359999895E0,2.063999939E1
5.303753540E-1,-2.279999924E1,3.359999895E0,2.076000023E1
5.403741200E-1,-2.303999901E1,3.419999838E0,2.129999924E1
5.503728860E-1,-2.297999954E1,3.419999838E0,2.142000008E1
5.603716520E-1,-2.310000038E1,3.720000029E0,2.123999977E1
5.703704180E-1,-2.357999992E1,4.019999981E0,2.135999870E1
5.803691840E-1,-2.357999992E1,4.019999981E0,2.118000031E1
5.903678840E-1,-2.334000015E1,4.319999695E0,2.111999893E1
6.003666500E-1,-2.327999878E1,3.720000029E0,2.153999901E1
6.103654160E-1,-2.334000015E1,3.419999838E0,2.177999878E1
6.203641160E-1,-2.345999908E1,3.299999952E0,2.153999901E1
6.303628820E-1,-2.400000000E1,2.759999990E0,2.171999931E1
6.403618480E-1,-2.405999947E1,3.059999943E0,2.171999931E1
6.503606140E-1,-2.381999969E1,3.419999838E0,2.195999908E1
6.603593800E-1,-2.357999992E1,3.419999838E0,2.184000015E1
6.703581460E-1,-2.351999855E1,3.659999847E0,2.195999908E1
6.803569120E-1,-2.376000023E1,3.659999847E0,2.171999931E1
6.903556450E-1,-2.357999992E1,3.480000019E0,2.165999985E1
7.003543110E-1,-2.381999969E1,3.539999962E0,2.189999962E1
7.103530770E-1,-2.369999886E1,3.419999838E0,2.202000046E1
7.203518430E-1,-2.345999908E1,3.119999886E0,2.171999931E1
7.303505430E-1,-2.345999908E1,3.000000000E0,2.135999870E1
7.403493090E-1,-2.327999878E1,3.119999886E0,2.177999878E1
7.503480750E-1,-2.345999908E1,3.059999943E0,2.202000046E1
7.603467750E-1,-2.321999931E1,3.240000010E0,2.285999870E1
7.703455410E-1,-2.339999962E1,2.879999876E0,2.279999924E1
7.803442070E-1,-2.334000015E1,2.519999981E0,2.213999939E1
7.903429730E-1,-2.351999855E1,2.579999924E0,2.177999878E1
8.003417060E-1,-2.369999886E1,2.399999857E0,2.118000031E1
8.103404390E-1,-2.369999886E1,3.059999943E0,2.160000038E1
8.203391720E-1,-2.369999886E1,3.419999838E0,2.171999931E1
8.303378720E-1,-2.369999886E1,3.480000019E0,2.184000015E1
8.403365380E-1,-2.435999870E1,3.899999857E0,2.207999992E1
8.503352710E-1,-2.418000031E1,3.419999838E0,2.129999924E1
8.603340040E-1,-2.447999954E1,3.119999886E0,2.171999931E1
8.703326700E-1,-2.442000008E1,3.119999886E0,2.153999901E1
8.803314030E-1,-2.429999924E1,2.759999990E0,2.123999977E1
8.903301360E-1,-2.471999931E1,2.819999933E0,2.135999870E1
9.003288690E-1,-2.471999931E1,3.059999943E0,2.118000031E1
9.103276350E-1,-2.442000008E1,3.179999828E0,2.111999893E1
9.203264010E-1,-2.447999954E1,3.779999971E0,2.123999977E1
9.303251670E-1,-2.435999870E1,3.720000029E0,2.118000031E1
9.403237330E-1,-2.423999977E1,3.599999905E0,2.093999863E1
9.503224330E-1,-2.447999954E1,3.480000019E0,2.105999947E1
9.603211990E-1,-2.393999863E1,2.819999933E0,2.135999870E1
9.703199650E-1,-2.387999916E1,2.639999866E0,2.147999954E1
9.803186650E-1,-2.418000031E1,2.159999847E0,2.129999924E1
9.903174650E-1,-2.447999954E1,2.220000029E0,2.100000000E1
1.000316265E0,-2.484000015E1,1.799999952E0,2.100000000E1
