"Time (s)","Pressure (hPa)"
2.157173380E-1,1.000299316E3
3.157033380E-1,1.000292725E3
4.156903380E-1,1.000292725E3
5.156780040E-1,1.000289307E3
6.156652540E-1,1.000285645E3
7.156526540E-1,1.000280029E3
8.156398200E-1,1.000281250E3
9.156272480E-1,1.000281982E3
1.015614748E0,1.000285400E3
1.115601970E0,1.000290527E3
1.215589970E0,1.000293701E3
1.315578151E0,1.000298340E3
1.415566317E0,1.000306396E3
1.515554470E0,1.000303223E3
1.615542470E0,1.000299561E3
1.715530536E0,1.000294189E3
1.815518473E0,1.000291992E3
1.915506414E0,1.000302002E3
2.015494358E0,1.000294189E3
2.115482252E0,1.000298584E3
2.215470152E0,1.000286621E3
2.315458152E0,1.000275635E3
2.415446152E0,1.000281250E3
2.515434152E0,1.000281006E3
2.615422068E0,1.000282715E3
2.715410028E0,1.000285156E3
2.815397912E0,1.000287354E3
2.915385800E0,1.000285889E3
3.015373728E0,1.000284424E3
3.115361624E0,1.000285889E3
3.215349490E0,1.000279785E3
3.315337390E0,1.000273193E3
3.415325590E0,1.000269531E3
3.515313756E0,1.000274658E3
3.615301922E0,1.000270020E3
3.715290088E0,1.000284180E3
3.815278288E0,1.000290527E3
3.915266454E0,1.000296875E3
4.015254620E0,1.000304199E3
4.115242820E0,1.000307129E3
4.215230820E0,1.000310791E3
4.315218686E0,1.000311768E3
4.415695104E0,1.000314209E3
4.515683104E0,1.000304443E3
4.615671104E0,1.000304443E3
4.715659070E0,1.000300537E3
4.815647070E0,1.000294189E3
4.915635070E0,1.000293701E3
5.015623070E0,1.000291748E3
5.115611036E0,1.000295654E3
5.215599002E0,1.000297119E3
5.315586868E0,1.000293701E3
5.415574734E0,1.000295654E3
5.515562834E0,1.000289307E3
5.615551034E0,1.000292480E3
5.715539200E0,1.000288330E3
5.815527366E0,1.000292480E3
5.915515532E0,1.000295410E3
6.015503698E0,1.000306641E3
6.115491831E0,1.000297363E3
6.215479997E0,1.000304199E3
6.315468130E0,1.000305664E3
6.415455996E0,1.000301270E3
6.515443862E0,1.000301514E3
6.615431862E0,1.000293701E3
6.715419862E0,1.000291016E3
6.815407828E0,1.000291504E3
6.915395794E0,1.000298096E3
7.015383794E0,1.000302979E3
7.115371794E0,1.000294922E3
7.215359760E0,1.000299316E3
7.315347726E0,1.000305908E3
7.415335692E0,1.000306396E3
7.515323558E0,1.000299805E3
7.615311558E0,1.000300781E3
7.715299758E0,1.000298828E3
7.815287924E0,1.000295410E3
7.915276090E0,1.000297363E3
8.015264256E0,1.000304932E3
8.115252456E0,1.000310303E3
8.215240656E0,1.000309326E3
8.315228822E0,1.000304199E3
8.415216988E0,1.000306885E3
8.515204954E0,1.000299316E3
8.615192820E0,1.000296143E3
8.715180753E0,1.000291504E3
8.815168753E0,1.000292480E3
8.915156753E0,1.000291748E3
9.015144719E0,1.000284180E3
9.115132685E0,1.000289795E3
9.215120685E0,1.000290039E3
9.315108685E0,1.000283691E3
9.415096651E0,1.000289551E3
9.515084617E0,1.000296143E3
9.615072483E0,1.000296143E3
9.715060349E0,1.000295410E3
9.815048515E0,1.000295410E3
9.915036748E0,1.000298340E3
1.001502495E1,1.000296387E3
1.011501315E1,1.000302734E3
1.021500138E1,1.000294434E3
1.031498961E1,1.000291260E3
1.041497781E1,1.000291504E3
1.051496601E1,1.000290283E3
1.061495411E1,1.000286133E3
1.071494201E1,1.000281738E3
1.081492991E1,1.000282227E3
1.091491815E1,1.000281250E3
1.101490638E1,1.000294678E3
1.111489458E1,1.000281738E3
1.121488278E1,1.000287598E3
1.131487101E1,1.000287109E3
1.141485925E1,1.000293701E3
1.151484745E1,1.000293701E3
1.161483565E1,1.000289062E3
1.171482378E1,1.000289307E3
1.181492922E1,1.000288574E3
1.191491732E1,1.000289062E3
1.201490555E1,1.000290283E3
1.211489378E1,1.000287598E3
1.221488198E1,1.000285156E3
1.231487018E1,1.000285645E3
1.241485842E1,1.000287598E3
1.251484665E1,1.000286865E3
1.261483488E1,1.000284912E3
1.271482308E1,1.000289307E3
1.281481101E1,1.000291992E3
1.291479888E1,1.000290527E3
1.301478695E1,1.000292480E3
1.311477518E1,1.000291992E3
1.321476338E1,1.000286865E3
1.331475158E1,1.000287109E3
1.341473981E1,1.000287354E3
1.351472804E1,1.000290039E3
1.361471624E1,1.000288574E3
1.371470444E1,1.000287598E3
1.381469271E1,1.000280029E3
1.391468061E1,1.000280029E3
1.401466851E1,1.000280762E3
1.411465664E1,1.000296387E3
1.421464488E1,1.000285645E3
1.431463314E1,1.000289062E3
1.441462134E1,1.000295654E3
1.451460954E1,1.000298584E3
1.461459778E1,1.000294189E3
1.471458601E1,1.000293457E3
1.481457428E1,1.000300293E3
1.491456248E1,1.000300293E3
1.501455058E1,1.000302734E3
1.511453871E1,1.000303223E3
1.521452694E1,1.000301514E3
1.531451524E1,1.000305176E3
1.541450347E1,1.000302979E3
1.551449167E1,1.000303711E3
1.561447987E1,1.000310791E3
1.571446811E1,1.000309570E3
1.581445637E1,1.000313477E3
1.591444457E1,1.000318115E3
1.601443261E1,1.000312988E3
1.611442047E1,1.000314941E3
1.621440837E1,1.000314453E3
1.631439664E1,1.000324707E3
1.641438480E1,1.000325684E3
1.651437297E1,1.000334473E3
1.661436114E1,1.000328369E3
1.671434934E1,1.000332031E3
1.681433754E1,1.000333008E3
1.691432570E1,1.000325928E3
1.701431387E1,1.000329834E3
1.711430183E1,1.000325439E3
1.721428970E1,1.000319580E3
1.731427760E1,1.000314209E3
1.741426560E1,1.000317139E3
1.751425360E1,1.000320068E3
1.761424157E1,1.000321289E3
1.771422953E1,1.000319336E3
1.781421753E1,1.000320312E3
1.791420553E1,1.000321289E3
1.801419350E1,1.000325195E3
1.811418146E1,1.000329834E3
1.821416933E1,1.000328125E3
1.831415720E1,1.000328125E3
1.841414530E1,1.000328613E3
1.851413353E1,1.000326660E3
1.861412173E1,1.000322021E3
1.871410993E1,1.000324707E3
1.881409816E1,1.000330322E3
1.891408640E1,1.000323730E3
1.901407460E1,1.000315918E3
1.911408094E1,1.000318604E3
1.921406914E1,1.000317627E3
1.931405704E1,1.000310303E3
1.941404494E1,1.000301758E3
1.951403311E1,1.000301025E3
1.961402134E1,1.000300293E3
1.971400954E1,1.000294922E3
1.981399774E1,1.000291016E3
1.991398597E1,1.000287842E3
2.001397421E1,1.000288818E3
2.011396241E1,1.000288818E3
2.021395061E1,1.000286377E3
2.031393881E1,1.000278564E3
2.041392691E1,1.000271484E3
2.051391501E1,1.000278809E3
2.061390324E1,1.000280762E3
2.071389147E1,1.000278320E3
2.081387967E1,1.000291260E3
2.091386787E1,1.000286133E3
2.101385611E1,1.000285889E3
2.111384430E1,1.000283691E3
