"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,1.130097747E0,3.337619066E0,9.713572502E0
1.000694140E-1,-7.494080067E-1,1.628106833E-1,8.047157288E0
2.001477270E-1,-5.458946824E-1,1.994430900E0,1.011581135E1
3.002028730E-1,3.854782581E-1,3.490852594E0,7.585062504E0
4.002674890E-1,-1.544307232E0,3.993650436E0,1.057790565E1
5.003433720E-1,-2.873129845E-1,4.917840481E0,1.126745701E1
6.003986240E-1,-3.591412306E-1,1.891477108E-1,1.150449085E1
7.004707750E-1,1.247417212E0,1.704723716E0,6.057515144E0
8.005386210E-1,-7.637736797E-1,3.335224867E0,8.145322800E0
9.006080380E-1,3.495641351E-1,4.642498970E0,8.818114281E0
1.000674618E0,1.963305324E-1,4.101392746E0,8.830085754E0
1.100747803E0,-6.464542150E-1,4.738269806E0,1.316851139E1
1.200810124E0,-3.375927508E-1,3.232271075E-1,6.227508545E0
1.300878775E0,1.453324795E0,2.202732801E0,6.426233768E0
1.400947124E0,-1.173194647E-1,3.371139050E0,8.614601135E0
1.501010373E0,-1.264177084E0,4.795732498E0,1.044382668E1
1.601075619E0,4.477293789E-1,4.527573586E0,1.228981304E1
1.701149266E0,-1.149251938E0,6.967339516E-1,1.193546009E1
1.801208118E0,-4.357580245E-1,1.438959122E0,7.154093266E0
1.901274499E0,-8.475732803E-1,2.899466753E0,8.889942169E0
2.001340311E0,-1.168406129E0,3.421418667E0,8.514040947E0
2.101413293E0,4.501236677E-1,4.393494129E0,8.631361008E0
2.201481576E0,-2.705530524E-1,5.138113976E0,1.135843945E1
2.301550626E0,-1.197137404E-2,1.462901950E0,7.489291668E0
2.401611377E0,1.154040456E0,1.908236980E0,5.712739468E0
2.501676826E0,-1.675992459E-2,3.313676357E0,7.350423813E0
2.601745407E0,-1.082212210E0,4.601796150E0,9.177255630E0
2.701812256E0,-2.681587934E-1,4.757423878E0,1.137759399E1
2.801877835E0,1.223474383E0,3.366350412E0,1.059466648E1
2.901945983E0,-1.221080124E-1,1.130097747E0,8.344047546E0
3.002016561E0,-4.429408312E-1,2.719896078E0,7.905895233E0
3.102081444E0,-6.799740195E-1,4.862771988E0,7.728719234E0
3.202151987E0,-4.932205975E-1,5.751048088E0,8.961771011E0
3.302220340E0,6.153286099E-1,5.044736862E0,1.188757420E1
3.402280625E0,-2.944957912E-1,2.176395893E0,9.876383781E0
3.502355173E0,-2.825244367E-1,1.977671027E0,5.202759266E0
3.602425821E0,-2.394274771E-1,2.861158371E0,7.000859737E0
3.702487068E0,-1.575432777E0,4.467716694E0,9.708784103E0
3.802563719E0,-5.411061049E-1,5.638517380E0,1.157631874E1
3.902616668E0,-2.226675600E-1,3.708731651E0,1.484929276E1
4.002686850E0,-6.320885420E-1,6.680026650E-1,8.485309601E0
4.102759664E0,7.565908432E-1,2.636096478E0,4.960937500E0
4.202825147E0,-1.029538155E0,3.955342054E0,7.917866707E0
4.303809497E0,-1.321639657E0,5.051919937E0,1.016848469E1
4.403876382E0,-5.602602959E-1,5.918647289E0,1.151167297E1
4.503950563E0,-1.151646137E0,3.160442829E0,1.229699516E1
4.604018010E0,-1.484450340E0,1.664021015E0,6.057515144E0
4.704078759E0,-6.967339516E-1,2.324840784E0,7.252258301E0
4.804152444E0,-1.563461423E0,4.431802750E0,8.600234985E0
4.904213396E0,-9.648927450E-1,5.703162670E0,1.183968925E1
5.004281443E0,-1.268965602E-1,5.698374271E0,1.166730118E1
5.104347592E0,5.698373914E-1,2.612153769E0,9.495694160E0
5.204412207E0,-2.561874092E-1,2.868341208E0,6.981705189E0
5.304490326E0,-8.164477348E-1,3.732674360E0,6.718335152E0
