"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.697755800E-1,-4.505546689E-1,-3.415530920E-2,-6.486472487E-2
3.698403600E-1,-7.120733708E-2,2.236298174E-1,-1.393902898E-1
4.699074090E-1,4.584128559E-1,2.724990547E-1,-1.039600968E-1
5.699718630E-1,-1.500773709E-2,-5.039106607E-1,-7.753010392E-1
6.700550460E-1,8.139364123E-1,-7.348177433E-1,1.495489776E-1
7.701164590E-1,-5.568451881E-1,6.451268196E-1,-4.118361771E-1
8.701790100E-1,2.275057733E-1,-1.117351949E-1,3.218129873E-1
9.702443240E-1,7.736192942E-1,-4.128917456E-1,4.928552508E-1
1.070322276E0,-1.579502076E-1,5.394471288E-1,-1.355204545E-2
1.170379527E0,4.321456254E-1,9.236813784E-1,-2.332589030E-2
1.270444982E0,-1.872717440E-1,-2.717818916E-1,2.124680877E-1
1.370528763E0,-8.164629340E-1,7.763303071E-2,-2.414047867E-1
1.470578812E0,-2.080411464E-1,2.425666451E-1,-9.601885080E-2
1.570653425E0,4.290913045E-1,5.136582628E-2,-1.222860590E-1
1.670743472E0,6.745906919E-2,-1.715999842E-1,-6.231955290E-1
1.770790856E0,6.086856723E-1,-7.238221169E-1,1.648205966E-1
1.870851572E0,-5.238584876E-1,2.798294425E-1,-3.195955157E-1
1.970914417E0,-9.509949945E-3,7.213524729E-2,2.432160079E-2
2.070985732E0,7.870583534E-1,-2.254886739E-2,8.282202482E-1
2.171056714E0,1.279347241E-1,3.005988598E-1,3.554105461E-1
2.271122432E0,3.948828578E-1,1.631541550E-1,6.341698021E-2
2.371183880E0,1.572562605E-1,-7.085505128E-1,1.996399164E-1
2.471255932E0,-6.564162374E-1,1.130632162E-1,-7.952549309E-2
2.571320047E0,-2.025433630E-1,1.043785457E-2,-2.332589030E-2
2.671385528E0,3.001987338E-1,-1.489979774E-1,-2.200245112E-1
2.771451341E0,6.563332081E-1,-7.507002354E-1,-1.607705653E-1
2.871537187E0,3.869415820E-1,-2.748362124E-1,-2.817218900E-1
2.971588868E0,-4.401699603E-1,3.464137316E-1,-2.126941234E-1
3.071654016E0,-3.027937002E-2,1.888104975E-1,-1.277838498E-1
3.171732495E0,3.417375684E-1,4.329202231E-3,2.796632648E-1
3.271789243E0,4.156522453E-1,-3.035468757E-1,3.859538138E-1
3.371852931E0,1.089979112E-1,-1.899259537E-1,1.489381045E-1
3.471927810E0,2.018494308E-1,-4.880281985E-1,2.839393318E-1
3.571992527E0,-6.448098421E-1,-4.515088350E-2,-1.002949029E-1
3.672071139E0,-9.355816841E-1,4.001698792E-1,-2.059745938E-1
3.772132590E0,1.077761799E-1,-2.125279605E-1,-2.556471154E-3
3.872189508E0,-7.975945622E-2,-2.241344005E-1,-4.906377792E-1
3.972264722E0,3.588418067E-1,2.712773085E-1,-2.096397877E-1
4.072332136E0,3.001987338E-1,-2.369625717E-1,6.280610710E-2
4.172400318E0,-1.744435728E-1,4.770063236E-2,-2.933283448E-1
4.273795768E0,-2.055976838E-1,5.625274777E-2,-1.332816333E-1
4.373855419E0,4.119870663E-1,6.297226995E-2,3.456367254E-1
4.473924869E0,2.861488461E-1,1.252805144E-1,2.527852058E-1
4.573997317E0,2.861488461E-1,5.968684554E-1,1.892552227E-1
4.674058798E0,-4.297852516E-1,-3.334792852E-1,2.371073514E-2
4.774126115E0,-7.352178097E-1,2.230189741E-1,2.814958692E-1
4.874207968E0,1.242695376E-1,-2.846100330E-1,3.547996879E-1
4.974261749E0,3.301311433E-1,-2.045867145E-1,2.088029087E-1
5.074327697E0,-2.355985157E-2,-2.552885413E-1,-3.183737993E-1
5.174394745E0,1.444280893E-1,-4.270742089E-2,-1.271729767E-1
5.274461696E0,-2.361409664E-1,3.396942019E-1,-5.692347884E-2
5.374527248E0,-9.319848567E-2,-1.331154853E-1,3.279216290E-1
5.474595929E0,3.728916943E-1,1.374978125E-1,2.540069222E-1
5.574667009E0,-2.526343167E-1,3.836764991E-1,5.425399914E-2
5.674732090E0,-1.274069399E-1,5.363928080E-1,2.362918407E-1
5.774797039E0,-2.202584594E-1,-4.776434600E-1,1.727618575E-1
5.874868385E0,-5.763928890E-1,6.052880362E-2,1.110644639E-1
5.974931502E0,1.499258727E-1,-2.400168926E-1,2.615419589E-2
6.075005585E0,-3.638802096E-2,2.028604150E-1,-1.467206776E-1
6.175072298E0,-3.460967243E-1,-2.247452736E-1,-8.345549107E-1
6.275127213E0,5.763098001E-1,-6.286597252E-2,-2.114723772E-1
6.375198029E0,-3.845812082E-1,1.368869692E-1,-6.824494600E-1
6.475267444E0,-4.012163263E-3,-2.675058246E-1,1.147296503E-1
6.575339491E0,3.881633282E-1,1.704845428E-1,1.666532010E-1
6.675404404E0,-2.813449800E-1,-3.475291729E-1,1.916986704E-1
6.775469589E0,-4.560524225E-1,5.382254124E-1,8.968418092E-2
6.875534870E0,-5.018673539E-1,-7.691587508E-2,1.440511942E-1
6.975603282E0,-7.755349874E-1,2.175211757E-1,-6.547559053E-2
7.075669698E0,3.056965172E-1,-2.070301622E-1,4.800270796E-1
7.175749944E0,-2.257562429E-1,-1.245633587E-1,-4.332164526E-1
7.275811893E0,3.478462100E-1,-3.469183147E-1,-6.335802674E-1
7.375873210E0,4.553584754E-1,7.306479216E-1,-1.009057760E-1
7.475938024E0,-3.179968894E-1,-1.031830832E-1,2.004554309E-2
7.576012171E0,1.945190430E-1,-4.538197219E-1,6.474041939E-1
7.676073251E0,3.435701728E-1,1.833127141E-1,2.167441547E-1
7.776140597E0,2.286590822E-2,-6.951115131E-1,2.020833939E-1
7.876209344E0,-3.931333423E-1,4.661433399E-1,-2.530112267E-1
7.976273527E0,-2.043759674E-1,1.106197536E-1,1.330556124E-1
8.076344510E0,-4.780435860E-1,6.541572511E-2,1.843682975E-1
8.176408754E0,1.603105962E-1,-2.865752019E-2,1.776487678E-1
8.276478999E0,-3.822061419E-2,-9.218750894E-2,-2.908848524E-1
8.376540851E0,6.318301708E-2,-2.449038178E-1,-5.370635390E-1
8.476612132E0,6.056313515E-1,-2.204692066E-1,1.393689029E-2
8.576679313E0,-2.312540263E-1,1.600998342E-1,-2.120832503E-1
8.676742727E0,-1.756653041E-1,-9.707443416E-2,9.579282999E-2
8.776819309E0,1.444280893E-1,3.262552023E-1,3.474693000E-1
8.876878458E0,3.203572631E-1,-1.147895232E-1,6.382411718E-1
8.976952573E0,4.539950285E-3,1.729280055E-1,2.668351233E-1
9.077014755E0,-5.898318887E-1,-3.476617485E-2,-3.232607245E-1
9.177079736E0,-6.228186488E-1,1.930865645E-1,-2.096397877E-1
9.277147916E0,9.250454605E-2,-4.886390269E-1,5.791918933E-2
9.377212101E0,1.297673136E-1,-2.259669900E-1,-3.745734096E-1
9.477285115E0,1.187033392E-2,-7.141809165E-2,-5.052985549E-1
9.577348193E0,3.399049640E-1,5.559405088E-1,-1.882595122E-1
9.677420543E0,-8.647897094E-2,3.329747021E-1,-1.436663419E-1
9.777485324E0,3.722808361E-1,-1.599935442E-1,6.162499785E-1
9.877548506E0,1.847451925E-1,2.376797199E-1,1.941421330E-1
9.977615820E0,2.225504257E-2,-5.527799129E-1,1.660423428E-1
1.007769130E1,-3.271598816E-1,4.905779362E-1,-5.509088188E-2
1.017775048E1,-1.665023267E-1,-4.306068420E-1,5.899828076E-1
1.027782057E1,-8.770070225E-2,-1.094242930E-2,5.325614810E-1
1.037788495E1,1.975733638E-1,-1.288394183E-1,1.782596409E-1
1.047796236E1,-5.043792352E-2,-7.433698773E-1,-4.130579233E-1
1.057802964E1,-1.237417534E-1,-8.241366595E-2,-6.445758939E-1
1.067808836E1,1.792474091E-1,-1.557174921E-1,-1.296164393E-1
1.077815924E1,-1.665023267E-1,-1.367806643E-1,-1.180099994E-1
1.087822846E1,3.979371786E-1,-4.392915219E-2,4.000037313E-1
1.097828917E1,2.666011453E-1,1.943082958E-1,1.819248348E-1
1.107835838E1,4.022132158E-1,-3.542487025E-1,1.452729255E-1
1.117843036E1,-1.243526191E-1,5.319842324E-2,-1.839834452E-1
1.127849275E1,-5.256910920E-1,1.857561767E-1,-2.041420043E-1
1.137855736E1,-2.037650943E-1,-1.667130738E-1,-3.309973329E-2
1.147862901E1,-2.031542361E-1,-1.954237372E-1,-2.175810337E-1
1.157868940E1,4.492498338E-1,-1.479462504E0,1.623771489E-1
1.167881405E1,7.051339746E-2,1.161175370E-1,-7.759118676E-1
1.177888330E1,-3.314359486E-1,2.004169524E-1,-7.655271888E-1
1.187896051E1,-2.227019221E-1,-1.080700010E-1,-1.516075879E-1
1.197901629E1,2.177319229E-1,6.480485946E-2,7.543055415E-1
1.207909084E1,1.309890598E-1,3.891743124E-1,4.287143946E-1
1.217915225E1,4.804039896E-1,-3.151533306E-1,5.655482411E-1
1.227921124E1,-1.793304831E-1,5.625274777E-2,2.309986949E-2
1.237929459E1,-5.085868239E-1,-1.807629764E-1,2.265179902E-1
1.247935837E1,-5.818907022E-1,7.335697114E-2,1.672640741E-1
1.257941955E1,3.173029423E-1,-2.980490923E-1,3.291433752E-1
1.267948507E1,-1.872717440E-1,-9.638922215E-1,-8.247810602E-1
1.277955201E1,4.327565134E-1,-8.180279285E-2,-3.189846873E-1
1.287961946E1,2.293383628E-1,-1.868716180E-1,-2.615633309E-1
1.297968881E1,-2.031542361E-1,-1.722108573E-1,-1.839834452E-1
1.307975972E1,5.768522620E-2,3.500789106E-1,2.228527963E-1
1.317982074E1,2.782075703E-1,4.056676626E-1,2.802741528E-1
1.327988326E1,9.348877072E-1,3.042640388E-1,6.614540219E-1
1.337995464E1,-2.905763872E-2,3.506897986E-1,2.582829893E-1
1.348003359E1,-6.521402001E-1,9.826988913E-3,-1.660637185E-2
1.358009504E1,-3.008926809E-1,-1.801521033E-1,9.701456130E-2
1.368015636E1,4.608562887E-1,-5.064867064E-2,1.446620524E-1
1.378022924E1,3.087508678E-1,-1.323080897E0,-8.319067955E-2
1.388029458E1,3.252441883E-1,6.243574023E-1,4.978551879E-4
1.398036207E1,-1.561860275E-2,-2.626188993E-1,-3.470844626E-1
1.408042402E1,-9.136588871E-2,-3.049011528E-2,-4.686466753E-1
1.418049203E1,4.278695583E-1,-5.675732344E-2,2.558395267E-1
1.428055981E1,4.058100283E-2,1.497151405E-1,-8.991020173E-2
1.438062763E1,4.150413871E-1,-1.251742393E-1,2.515634894E-1
1.448069421E1,-1.255743504E-1,1.167284101E-1,1.098427325E-1
1.458075832E1,-2.764580548E-1,1.654650643E-2,2.737592533E-2
1.468082687E1,-3.858029544E-1,-1.216415968E-2,5.669745803E-2
1.478089555E1,6.196128577E-2,-3.921223581E-1,7.217372768E-3
1.488097367E1,4.974398017E-2,-5.081867576E-1,-1.271729767E-1
1.498102942E1,-3.381554484E-1,5.516644716E-1,-2.420156449E-1
1.508110233E1,3.447234631E-2,6.052880362E-2,-2.210415900E-2
1.518117051E1,5.150815938E-3,-8.363538980E-2,-1.721723750E-2
1.528123363E1,2.611033618E-1,2.535622120E-1,4.586468041E-1
1.538129651E1,2.623250782E-1,1.142849401E-1,3.609083593E-1
1.548136453E1,2.152884603E-1,-3.084338009E-1,3.169260621E-1
1.558142654E1,-5.593570694E-2,1.362760961E-1,1.306121498E-1
1.568150649E1,-5.006455779E-1,-1.728217155E-1,-1.110858470E-2
1.578157261E1,-5.134737492E-1,1.203936040E-1,1.141187921E-1
1.588163225E1,2.360578775E-1,-4.525980055E-1,2.552286685E-1
1.598169943E1,-4.860532656E-2,-8.466060758E-1,-6.036478877E-1
1.608177728E1,3.698373735E-1,1.252805144E-1,-3.226498663E-1
1.618183520E1,2.110124081E-1,-3.921223581E-1,1.379425377E-1
1.628190314E1,-1.616154015E-1,3.487246484E-2,-2.511786222E-1
1.638196812E1,6.929166615E-2,2.120233923E-1,4.978551879E-4
1.648203840E1,4.376434088E-1,4.708976671E-2,2.381244302E-1
1.658209945E1,6.196128577E-2,-6.431879997E-1,2.973783612E-1
1.668217047E1,-3.057796061E-1,4.606455266E-1,1.055666804E-1
1.678224172E1,-2.281997055E-1,-2.699492872E-1,3.047087491E-1
1.688232053E1,-4.719349444E-1,9.779158980E-2,1.141187921E-1
1.698237178E1,4.034349620E-1,-5.802688599E-1,1.330556124E-1
1.708243769E1,-2.789015174E-1,-6.401336193E-1,-6.494627595E-1
1.718250630E1,2.898140252E-1,1.778149307E-1,-3.079890907E-1
1.728257865E1,5.647033453E-1,-2.736144662E-1,1.788705140E-1
1.738264784E1,-3.515944779E-1,-3.049011528E-2,-4.466555119E-1
1.748271252E1,-3.430424035E-1,3.506897986E-1,-1.241186559E-1
1.758278126E1,7.644562721E-1,-7.630500942E-2,7.066580653E-1
1.768284271E1,4.388651550E-1,-3.652442694E-1,3.853429556E-1
1.778290813E1,5.096571147E-2,6.872765422E-1,-2.554546893E-1
1.788297538E1,-5.586777925E-1,-2.320756465E-1,-2.884414196E-1
1.798304239E1,-7.547655702E-1,1.332217753E-1,1.434403211E-1
1.808311007E1,1.487041414E-1,-4.006744623E-1,3.774017096E-1
1.818317985E1,4.424619302E-2,-1.190655753E-1,-5.596655607E-1
1.828324597E1,-2.416387498E-1,9.412639588E-2,-9.542845488E-1
1.838331091E1,6.984828711E-1,-2.235235274E-1,1.605445594E-1
1.848337630E1,-4.212331176E-1,3.792679310E-2,-3.904559016E-1
1.858344738E1,-1.322938651E-1,5.136582628E-2,-3.745734096E-1
1.868351320E1,5.775315762E-1,4.708976671E-2,1.617662758E-1
1.878358265E1,6.257214397E-2,-1.160112545E-1,3.165198490E-2
1.888364806E1,8.822849393E-2,4.942431450E-1,2.173550129E-1
1.898378253E1,-2.049868256E-1,-3.426422477E-1,1.538250297E-1
1.908385028E1,-5.953297019E-1,2.657795548E-1,-1.143448129E-1
1.918391730E1,9.494800866E-2,-1.783194989E-1,1.562684923E-1
1.928398488E1,-7.181821018E-2,-1.099025980E-1,-6.543496847E-1
1.938405116E1,6.501560658E-2,-1.715999842E-1,-9.500085115E-1
1.948411807E1,2.330035567E-1,4.337674677E-1,-5.443938971E-1
1.958418708E1,-2.501908541E-1,-2.003106475E-1,-6.274716258E-1
1.968425194E1,-2.123172134E-1,3.609419614E-2,-1.007429838E0
1.978432018E1,3.142486215E-1,-7.447241247E-2,-4.423794448E-1
1.988439443E1,2.635468245E-1,6.048097610E-1,-6.073130369E-1
1.998446598E1,8.371492624E-1,2.224081010E-1,-2.462916970E-1
2.008453313E1,-4.982705787E-2,-4.605392516E-1,-4.576510787E-1
2.018459497E1,-6.894029379E-1,-2.381843030E-1,-6.647343636E-1
