"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.572607000E-2,8.700389266E-1,-3.708381653E0,1.729492188E0
1.357978100E-1,1.734276861E-2,-2.732909679E0,-2.011274815E0
2.358646620E-1,1.590615153E0,-3.570587635E-1,-1.407259464E0
3.359341260E-1,-1.363377333E0,9.903361797E-1,-2.969579697E-1
4.359982240E-1,1.599573493E-1,1.105562925E0,2.831412315E0
5.360676210E-1,2.367541552E0,7.825469971E-2,2.723749161E0
6.361319520E-1,-1.051900983E0,-3.218371868E0,2.122053146E0
7.361989170E-1,9.834966660E-1,-3.463954926E-1,-1.978332520E0
8.362664150E-1,-2.860716879E-1,1.280107021E0,-1.163339615E0
9.363329450E-1,3.775637448E-1,1.361797571E0,-8.869886398E-1
1.036400507E0,7.362364531E-1,9.187476635E-1,2.585398674E0
1.136469938E0,9.395194054E-1,-4.722983837E-1,5.381570816E0
1.236538035E0,-3.268033564E-1,-2.954443455E0,-3.168923855E0
1.336605233E0,-8.829057217E-3,-7.450301647E-1,-2.397632599E-1
1.436674164E0,-1.218157768E0,1.543344021E0,-2.441482544E-1
1.536745160E0,-1.611128151E-1,2.531526089E0,6.954011917E-1
1.636822091E0,1.124202132E0,3.366720676E-1,4.105896950E0
1.736886555E0,-1.711325407E0,-2.702959538E0,3.437833786E-1
1.836951217E0,1.121051431E0,-3.112754822E-1,-3.320166111E0
1.937007748E0,-6.828913689E-1,3.223059177E-1,-1.525210381E0
2.037070678E0,-2.367267609E-1,1.525577307E0,3.426952362E-1
2.137136874E0,8.896592259E-2,1.072169065E0,6.007099152E-1
2.237203571E0,-2.561784983E-1,1.552388191E0,4.486168861E0
2.337273302E0,-1.449242830E-1,-2.923719883E0,-2.160850048E0
2.437340932E0,6.593883634E-1,-1.061992645E0,4.367828369E-3
2.537411496E0,-1.016268253E0,1.251316786E0,-2.373104095E-1
2.637476294E0,-5.320474505E-1,2.312514305E0,7.665214539E-1
2.737542559E0,-9.057050943E-2,1.630183697E0,2.952858925E0
