"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.858453800E-1,-1.730000114E1,-5.000000000E0,-4.150000000E1
2.859153420E-1,-1.730000114E1,-4.300000191E0,-4.129999924E1
3.859831760E-1,-1.710000038E1,-3.600000143E0,-4.129999924E1
4.860498060E-1,-1.689999962E1,-2.900000095E0,-4.160000229E1
5.861145710E-1,-1.670000076E1,-3.000000000E0,-4.190000153E1
6.861812350E-1,-1.650000000E1,-4.200000286E0,-4.190000153E1
7.862460670E-1,-1.720000076E1,-5.700000286E0,-4.150000000E1
8.863160300E-1,-1.700000000E1,-6.200000286E0,-4.150000000E1
9.863814930E-1,-1.680000114E1,-6.500000000E0,-4.120000076E1
1.086454690E0,-1.650000000E1,-6.700000286E0,-4.129999924E1
1.186519920E0,-1.670000076E1,-7.000000000E0,-4.120000076E1
1.286589718E0,-1.630000114E1,-7.500000000E0,-4.150000000E1
1.386656048E0,-1.580000019E1,-7.000000000E0,-4.170000076E1
1.486727713E0,-1.530000019E1,-5.700000286E0,-4.210000229E1
1.586792843E0,-1.550000000E1,-3.900000095E0,-4.240000153E1
1.686869074E0,-1.550000000E1,-3.500000000E0,-4.240000153E1
1.786932570E0,-1.550000000E1,-4.500000000E0,-4.229999924E1
1.887000600E0,-1.590000057E1,-6.000000000E0,-4.179999924E1
1.987052896E0,-1.590000057E1,-6.500000000E0,-4.179999924E1
2.087119127E0,-1.590000057E1,-6.700000286E0,-4.160000229E1
2.187186123E0,-1.580000019E1,-7.200000286E0,-4.170000076E1
2.287256154E0,-1.530000019E1,-8.000000000E0,-4.170000076E1
2.387323484E0,-1.469999981E1,-8.900000572E0,-4.179999924E1
2.487390581E0,-1.419999981E1,-8.900000572E0,-4.179999924E1
2.587457912E0,-1.430000019E1,-7.800000191E0,-4.200000000E1
2.687524444E0,-1.450000000E1,-6.000000000E0,-4.210000229E1
2.787592075E0,-1.430000019E1,-5.099999905E0,-4.229999924E1
2.887661706E0,-1.440000057E1,-6.200000286E0,-4.200000000E1
2.987733068E0,-1.500000000E1,-8.100000381E0,-4.170000076E1
3.087799764E0,-1.540000057E1,-9.199999809E0,-4.140000153E1
3.187861361E0,-1.510000038E1,-9.400000572E0,-4.170000076E1
3.287926791E0,-1.450000000E1,-9.600000381E0,-4.200000000E1
3.387993887E0,-1.440000057E1,-1.040000057E1,-4.200000000E1
3.488061285E0,-1.410000038E1,-1.140000057E1,-4.170000076E1
3.588130782E0,-1.390000057E1,-1.169999981E1,-4.170000076E1
3.688198212E0,-1.369999981E1,-1.050000000E1,-4.190000153E1
3.788271076E0,-1.360000038E1,-8.199999809E0,-4.240000153E1
3.888339740E0,-1.360000038E1,-6.400000095E0,-4.270000076E1
3.988406904E0,-1.369999981E1,-6.200000286E0,-4.260000229E1
4.088469001E0,-1.390000057E1,-7.599999905E0,-4.229999924E1
4.188541332E0,-1.380000019E1,-9.000000000E0,-4.190000153E1
4.291012870E0,-1.369999981E1,-9.800000191E0,-4.190000153E1
4.391078934E0,-1.400000000E1,-9.900000572E0,-4.190000153E1
4.491134831E0,-1.430000019E1,-1.019999981E1,-4.190000153E1
4.591204061E0,-1.410000038E1,-1.119999981E1,-4.170000076E1
4.691271825E0,-1.330000019E1,-1.230000019E1,-4.160000229E1
4.791339255E0,-1.300000000E1,-1.210000038E1,-4.160000229E1
4.891405086E0,-1.280000019E1,-1.069999981E1,-4.179999924E1
4.991472251E0,-1.360000038E1,-9.100000381E0,-4.200000000E1
5.091538714E0,-1.469999981E1,-9.100000381E0,-4.170000076E1
