"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,5.225512660E1,4.576811900E0,-6.004627212E-1,0.000000000E0,0.000000000E0,1.513799953E1,2.599998474E0
2.098666821E0,5.225505562E1,4.576659625E0,8.061196102E0,7.641690969E-1,1.984549866E2,1.200000000E1,6.467961121E1
3.104258936E0,5.225506891E1,4.576745274E0,9.406116054E-1,5.274085402E-1,3.015044250E2,6.000000000E0,2.648439407E1
4.106534166E0,5.225509467E1,4.576774063E0,-4.602844985E-1,9.551038742E-1,3.129551697E2,3.000000000E0,1.879536057E1
5.137562819E0,5.225510472E1,4.576787249E0,2.970531300E0,4.862259924E-1,3.189961243E2,6.000000000E0,1.961016846E1
6.122952395E0,5.225511130E1,4.576802790E0,4.362444517E0,1.788723320E-1,3.128382568E2,6.000000000E0,3.440245438E1
7.143285164E0,5.225512262E1,4.576805938E0,2.732542331E0,1.039779037E-1,6.032852173E1,6.000000000E0,2.906514168E1
8.115153163E0,5.225513396E1,4.576792616E0,3.729512031E0,0.000000000E0,0.000000000E0,8.000000000E0,2.008393478E1
9.127708547E0,5.225513278E1,4.576803009E0,6.291419560E0,0.000000000E0,0.000000000E0,8.000000000E0,1.572892857E1
1.005705866E1,5.225513461E1,4.576801248E0,6.778427304E0,0.000000000E0,0.000000000E0,8.000000000E0,1.195713806E1
1.106423862E1,5.225513868E1,4.576795615E0,6.888467454E0,0.000000000E0,0.000000000E0,8.000000000E0,1.063134480E1
1.207188970E1,5.225514385E1,4.576787307E0,6.404801226E0,0.000000000E0,0.000000000E0,6.000000000E0,9.660805702E0
1.307377270E1,5.225514650E1,4.576780191E0,5.775183927E0,0.000000000E0,0.000000000E0,6.000000000E0,8.921426773E0
1.406390493E1,5.225514688E1,4.576780032E0,5.093008101E0,0.000000000E0,0.000000000E0,6.000000000E0,8.332313538E0
1.506431816E1,5.225514550E1,4.576782361E0,5.067788145E0,0.000000000E0,0.000000000E0,6.000000000E0,7.725648880E0
1.607227850E1,5.225514401E1,4.576782874E0,5.027858461E0,0.000000000E0,0.000000000E0,6.000000000E0,7.213677406E0
1.707659504E1,5.225514165E1,4.576784088E0,4.890522886E0,0.000000000E0,0.000000000E0,6.000000000E0,6.818247795E0
1.808483339E1,5.225514229E1,4.576777017E0,5.125300547E0,0.000000000E0,0.000000000E0,6.000000000E0,6.492515087E0
1.909778981E1,5.225514260E1,4.576774209E0,5.376548976E0,0.000000000E0,0.000000000E0,6.000000000E0,6.230713844E0
2.008007150E1,5.225514313E1,4.576775090E0,5.218510825E0,0.000000000E0,0.000000000E0,6.000000000E0,5.895732403E0
2.110795696E1,5.225514298E1,4.576774231E0,4.962945700E0,0.000000000E0,0.000000000E0,6.000000000E0,5.651421070E0
2.209837900E1,5.225514204E1,4.576770540E0,4.364244947E0,0.000000000E0,0.000000000E0,6.000000000E0,5.425005913E0
2.310797465E1,5.225513882E1,4.576769169E0,4.119116712E0,0.000000000E0,0.000000000E0,6.000000000E0,5.205496788E0
2.409560000E1,5.225513584E1,4.576768441E0,4.089457398E0,0.000000000E0,0.000000000E0,4.000000000E0,5.015352726E0
2.510484931E1,5.225513412E1,4.576766516E0,3.843702943E0,0.000000000E0,0.000000000E0,4.000000000E0,4.851426601E0
2.610429392E1,5.225513337E1,4.576763534E0,3.490498208E0,0.000000000E0,0.000000000E0,4.000000000E0,4.709955215E0
2.712380357E1,5.225513197E1,4.576761678E0,3.267420415E0,0.000000000E0,0.000000000E0,4.000000000E0,4.579210281E0
2.810822861E1,5.225513069E1,4.576759530E0,3.101052785E0,0.000000000E0,0.000000000E0,4.000000000E0,4.462876320E0
2.911182469E1,5.225512886E1,4.576756668E0,3.111193514E0,0.000000000E0,0.000000000E0,4.000000000E0,4.355724335E0
3.009423749E1,5.225512886E1,4.576756668E0,3.050747261E0,0.000000000E0,0.000000000E0,4.000000000E0,4.257267475E0
3.111822811E1,5.225512886E1,4.576756668E0,3.010106803E0,0.000000000E0,0.000000000E0,6.000000000E0,4.182759285E0
3.211563522E1,5.225512886E1,4.576756668E0,3.139989409E0,0.000000000E0,0.000000000E0,6.000000000E0,4.116674900E0
3.311764330E1,5.225512886E1,4.576756668E0,3.236586537E0,0.000000000E0,0.000000000E0,6.000000000E0,4.052743435E0
3.411226999E1,5.225512886E1,4.576756668E0,3.265057893E0,0.000000000E0,0.000000000E0,6.000000000E0,3.996328354E0
3.512607195E1,5.225512886E1,4.576756668E0,3.060277552E0,0.000000000E0,0.000000000E0,4.000000000E0,3.944386244E0
3.610695949E1,5.225512886E1,4.576756668E0,2.930258346E0,0.000000000E0,0.000000000E0,4.000000000E0,3.884940624E0
3.712002030E1,5.225512886E1,4.576756668E0,3.035021263E0,0.000000000E0,0.000000000E0,4.000000000E0,3.836399794E0
3.810309006E1,5.225512886E1,4.576756668E0,3.106668463E0,0.000000000E0,0.000000000E0,4.000000000E0,3.787879944E0
3.910682345E1,5.225512637E1,4.576756654E0,3.193236480E0,0.000000000E0,0.000000000E0,4.000000000E0,3.688655376E0
4.006416933E1,5.225512547E1,4.576760453E0,3.226964508E0,0.000000000E0,0.000000000E0,4.000000000E0,3.603384733E0
4.108099302E1,5.225512639E1,4.576762376E0,3.222435200E0,0.000000000E0,0.000000000E0,4.000000000E0,3.541270018E0
4.208454472E1,5.225512935E1,4.576761512E0,3.316341276E0,0.000000000E0,0.000000000E0,4.000000000E0,3.452447414E0
4.306214191E1,5.225512971E1,4.576761053E0,3.330488142E0,0.000000000E0,0.000000000E0,4.000000000E0,3.362536430E0
4.406627264E1,5.225512996E1,4.576761076E0,3.389478624E0,0.000000000E0,0.000000000E0,4.000000000E0,3.299495697E0
4.506501748E1,5.225513008E1,4.576761138E0,3.320939000E0,0.000000000E0,0.000000000E0,4.000000000E0,3.241364002E0
4.607225406E1,5.225512983E1,4.576760914E0,3.228187063E0,0.000000000E0,0.000000000E0,4.000000000E0,3.190748930E0
4.706429875E1,5.225513006E1,4.576760701E0,3.137401797E0,0.000000000E0,0.000000000E0,4.000000000E0,3.149249554E0
4.807174552E1,5.225513008E1,4.576760802E0,3.116521639E0,0.000000000E0,0.000000000E0,4.000000000E0,3.114640236E0
4.906864967E1,5.225513002E1,4.576760653E0,3.136933578E0,0.000000000E0,0.000000000E0,4.000000000E0,3.079220057E0
5.006228236E1,5.225512971E1,4.576759330E0,3.048252066E0,0.000000000E0,0.000000000E0,4.000000000E0,3.034598351E0
5.106996033E1,5.225512941E1,4.576758147E0,3.016152137E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
5.206664052E1,5.225512950E1,4.576756880E0,2.983881996E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
5.306998263E1,5.225512957E1,4.576756382E0,2.933667989E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
5.406433075E1,5.225512960E1,4.576756466E0,2.964535187E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
5.506972801E1,5.225512943E1,4.576756367E0,3.031003504E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
5.607493671E1,5.225512910E1,4.576756283E0,3.118925743E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
5.707004747E1,5.225512827E1,4.576756347E0,3.182899572E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
5.806611340E1,5.225512735E1,4.576756905E0,3.271594476E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
5.907622913E1,5.225512701E1,4.576757620E0,3.313340111E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
6.007235916E1,5.225512654E1,4.576758229E0,3.281853659E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
6.106654747E1,5.225512601E1,4.576757946E0,3.237061474E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
6.206375109E1,5.225512541E1,4.576758071E0,3.193341181E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
6.306581951E1,5.225512580E1,4.576758784E0,3.117929374E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
6.406180074E1,5.225512670E1,4.576759660E0,3.081921654E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
6.506208616E1,5.225512703E1,4.576760832E0,2.999481113E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
6.606781178E1,5.225512731E1,4.576761762E0,2.950166726E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
6.706471435E1,5.225512738E1,4.576762382E0,2.947133292E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
6.806828139E1,5.225512726E1,4.576763104E0,2.927351997E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
6.906020854E1,5.225512721E1,4.576762968E0,2.880180008E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
7.006449100E1,5.225512707E1,4.576762788E0,2.806265033E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
7.107738746E1,5.225512642E1,4.576762758E0,2.752802436E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
7.206127273E1,5.225512579E1,4.576762277E0,2.748136968E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
7.307844342E1,5.225512519E1,4.576761809E0,2.724253003E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
7.406389877E1,5.225512478E1,4.576761449E0,2.775580460E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
7.506339939E1,5.225512455E1,4.576760334E0,2.774308741E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
7.606261238E1,5.225512462E1,4.576758958E0,2.828342046E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
7.706229858E1,5.225512517E1,4.576758231E0,2.921969191E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
7.806215804E1,5.225512573E1,4.576757104E0,3.029734294E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
7.907035254E1,5.225512603E1,4.576755427E0,3.055930573E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
8.006010811E1,5.225512651E1,4.576752220E0,3.085626173E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
8.107207723E1,5.225512634E1,4.576749817E0,3.133039936E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
8.206696696E1,5.225512726E1,4.576747871E0,3.224511397E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
8.307380415E1,5.225512804E1,4.576746407E0,3.369534278E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
8.407177869E1,5.225512813E1,4.576745963E0,3.408933394E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
8.507446492E1,5.225512817E1,4.576745707E0,3.413944950E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
8.605919388E1,5.225512829E1,4.576745734E0,3.462343578E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
8.707159668E1,5.225512856E1,4.576745944E0,3.481940773E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
8.806857168E1,5.225512870E1,4.576746305E0,3.509526549E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
8.906201772E1,5.225512877E1,4.576746336E0,3.503345426E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
9.006686403E1,5.225512867E1,4.576746284E0,3.505018734E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
9.106513272E1,5.225512828E1,4.576745930E0,3.471572814E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
9.206287526E1,5.225512810E1,4.576745736E0,3.448960754E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
9.307042006E1,5.225512763E1,4.576745528E0,3.420207946E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
9.406209199E1,5.225512762E1,4.576745231E0,3.422354682E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
9.507072583E1,5.225512748E1,4.576744950E0,3.419633355E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
9.607678218E1,5.225512773E1,4.576745445E0,3.399328670E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
9.706697452E1,5.225512812E1,4.576745663E0,3.368150681E0,0.000000000E0,0.000000000E0,4.000000000E0,3.000000000E0
