"Time (s)","Pressure (hPa)"
2.057801380E-1,9.995773926E2
3.057691380E-1,9.995671387E2
4.057561380E-1,9.995661621E2
5.057434710E-1,9.995607910E2
6.057307210E-1,9.995444336E2
7.057181210E-1,9.995332031E2
8.057056210E-1,9.995341797E2
9.056927630E-1,9.995334473E2
1.005680263E0,9.995334473E2
1.105667596E0,9.995285645E2
1.205655296E0,9.995305176E2
1.305643023E0,9.995444336E2
1.405630856E0,9.995478516E2
1.505618625E0,9.995454102E2
1.605606267E0,9.995424805E2
1.705593933E0,9.995473633E2
1.805581620E0,9.995471191E2
1.905569149E0,9.995563965E2
2.005556815E0,9.995637207E2
2.105544393E0,9.995639648E2
2.205531993E0,9.995646973E2
2.305520088E0,9.995639648E2
2.405508088E0,9.995544434E2
2.505496088E0,9.995568848E2
2.605484004E0,9.995495605E2
2.705471964E0,9.995466309E2
2.805459925E0,9.995400391E2
2.905447813E0,9.995393066E2
3.005435705E0,9.995471191E2
3.105423532E0,9.995620117E2
3.205411398E0,9.995607910E2
3.305399231E0,9.995563965E2
3.405387231E0,9.995566406E2
3.505375197E0,9.995637207E2
3.605363197E0,9.995634766E2
3.705351163E0,9.995700684E2
3.805339129E0,9.995671387E2
3.905327162E0,9.995700684E2
4.005315128E0,9.995739746E2
4.105303094E0,9.995712891E2
4.205290994E0,9.995727539E2
4.305815406E0,9.995771484E2
4.405803439E0,9.995769043E2
4.505791639E0,9.995849609E2
4.605779839E0,9.995849609E2
4.705768039E0,9.995842285E2
4.805756272E0,9.995795898E2
4.905744538E0,9.995717773E2
5.005732738E0,9.995732422E2
5.105720938E0,9.995825195E2
5.205709171E0,9.995749512E2
5.305697071E0,9.995856934E2
5.405684971E0,9.995830078E2
5.505673104E0,9.995825195E2
5.605661337E0,9.995783691E2
5.705649537E0,9.995698242E2
5.805637737E0,9.995676270E2
5.905625937E0,9.995629883E2
6.005614170E0,9.995729980E2
6.105602403E0,9.995739746E2
6.205590603E0,9.995732422E2
6.305578803E0,9.995749512E2
6.405566903E0,9.995668945E2
6.505555036E0,9.995673828E2
6.605543236E0,9.995756836E2
6.705531469E0,9.995859375E2
6.805519702E0,9.995844727E2
6.905507902E0,9.995798340E2
7.005496135E0,9.995869141E2
7.105484368E0,9.995927734E2
7.205472568E0,9.996022949E2
7.305460768E0,9.996049805E2
7.405448768E0,9.995991211E2
7.505436634E0,9.995935059E2
7.605424634E0,9.995974121E2
7.705412834E0,9.996044922E2
7.805401000E0,9.995952148E2
7.905389166E0,9.995922852E2
8.005377332E0,9.995844727E2
8.105365532E0,9.995903320E2
8.205353665E0,9.995927734E2
8.305341831E0,9.996093750E2
8.405329997E0,9.996140137E2
8.505317963E0,9.996049805E2
8.605305829E0,9.996020508E2
8.705293762E0,9.996013184E2
8.805281762E0,9.995930176E2
8.905269762E0,9.995930176E2
9.005257762E0,9.995888672E2
9.105245762E0,9.995874023E2
9.205233762E0,9.995842285E2
9.305221762E0,9.995915527E2
9.405209728E0,9.995900879E2
9.505197694E0,9.995969238E2
9.605185560E0,9.995908203E2
9.705173426E0,9.995908203E2
9.805161559E0,9.995864258E2
9.905149792E0,9.995761719E2
1.000513799E1,9.995727539E2
1.010512619E1,9.995793457E2
1.020511443E1,9.995783691E2
1.030510266E1,9.995830078E2
1.040509086E1,9.995834961E2
1.050507906E1,9.995808105E2
1.060506716E1,9.995781250E2
1.070505506E1,9.995895996E2
1.080504296E1,9.995920410E2
1.090503119E1,9.995905762E2
1.100501942E1,9.995954590E2
1.110500762E1,9.995961914E2
1.120499586E1,9.996003418E2
1.130498409E1,9.996059570E2
1.140497232E1,9.996110840E2
1.150496052E1,9.996059570E2
1.160496694E1,9.996035156E2
1.170495507E1,9.996015625E2
1.180494317E1,9.996025391E2
1.190493127E1,9.996057129E2
1.200491947E1,9.996008301E2
1.210490767E1,9.995952148E2
1.220489587E1,9.995947266E2
1.230488407E1,9.995991211E2
1.240487231E1,9.996081543E2
1.250486054E1,9.996154785E2
1.260484874E1,9.996245117E2
1.270483694E1,9.996218262E2
1.280482490E1,9.996257324E2
1.290481277E1,9.996291504E2
1.300480084E1,9.996201172E2
1.310478904E1,9.996247559E2
1.320477724E1,9.996152344E2
1.330476544E1,9.996259766E2
1.340475367E1,9.996359863E2
1.350474187E1,9.996450195E2
1.360473007E1,9.996442871E2
1.370471827E1,9.996474609E2
1.380470654E1,9.996425781E2
1.390469444E1,9.996472168E2
1.400468237E1,9.996533203E2
1.410467050E1,9.996577148E2
1.420465873E1,9.996596680E2
1.430464693E1,9.996518555E2
1.440463513E1,9.996586914E2
1.450462333E1,9.996594238E2
1.460461160E1,9.996535645E2
1.470459983E1,9.996445312E2
1.480458803E1,9.996445312E2
1.490457623E1,9.996464844E2
1.500456437E1,9.996396484E2
1.510455253E1,9.996391602E2
1.520454076E1,9.996455078E2
1.530452910E1,9.996484375E2
1.540451730E1,9.996547852E2
1.550450550E1,9.996523438E2
1.560449380E1,9.996452637E2
1.570448203E1,9.996423340E2
1.580447023E1,9.996352539E2
1.590445843E1,9.996354980E2
1.600444650E1,9.996313477E2
1.610443443E1,9.996271973E2
1.620442233E1,9.996181641E2
1.630441053E1,9.996157227E2
1.640439870E1,9.996071777E2
1.650438690E1,9.996086426E2
1.660437513E1,9.996059570E2
1.670436333E1,9.996064453E2
1.680435146E1,9.996064453E2
1.690433963E1,9.996037598E2
1.700432789E1,9.996079102E2
1.710431589E1,9.996074219E2
1.720430376E1,9.996105957E2
1.730429166E1,9.995991211E2
1.740427966E1,9.995944824E2
1.750426766E1,9.996003418E2
1.760425563E1,9.995991211E2
1.770424359E1,9.995932617E2
1.780423159E1,9.995949707E2
1.790421959E1,9.995830078E2
1.800420752E1,9.995832520E2
1.810419546E1,9.995808105E2
1.820418342E1,9.995922852E2
1.830417119E1,9.995788574E2
1.840415929E1,9.995810547E2
1.850414752E1,9.995751953E2
1.860413589E1,9.995666504E2
1.870412409E1,9.995668945E2
1.880411232E1,9.995639648E2
1.890410059E1,9.995620117E2
1.900414678E1,9.995644531E2
1.910413501E1,9.995605469E2
1.920412321E1,9.995708008E2
1.930411111E1,9.995549316E2
1.940409901E1,9.995534668E2
1.950408718E1,9.995527344E2
1.960407544E1,9.995493164E2
1.970406361E1,9.995556641E2
1.980405181E1,9.995646973E2
1.990404004E1,9.995646973E2
2.000402814E1,9.995603027E2
2.010401634E1,9.995556641E2
2.020400454E1,9.995446777E2
2.030399271E1,9.995446777E2
2.040398081E1,9.995422363E2
2.050396891E1,9.995412598E2
2.060395714E1,9.995429688E2
2.070394537E1,9.995422363E2
2.080393357E1,9.995427246E2
2.090392177E1,9.995390625E2
2.100391001E1,9.995346680E2
2.110389824E1,9.995344238E2
2.120388634E1,9.995473633E2
2.130387454E1,9.995417480E2
2.140386254E1,9.995380859E2
2.150385037E1,9.995463867E2
2.160383821E1,9.995576172E2
2.170382641E1,9.995505371E2
2.180381457E1,9.995429688E2
2.190380270E1,9.995432129E2
2.200379087E1,9.995471191E2
2.210377904E1,9.995534668E2
2.220376720E1,9.995454102E2
2.230375537E1,9.995476074E2
2.240374354E1,9.995532227E2
2.250373147E1,9.995522461E2
2.260371930E1,9.995571289E2
2.270370733E1,9.995664062E2
2.280369533E1,9.995612793E2
2.290368330E1,9.995649414E2
2.300367127E1,9.995524902E2
2.310365927E1,9.995522461E2
2.320364727E1,9.995593262E2
2.330363527E1,9.995607910E2
2.340362323E1,9.995600586E2
2.350361126E1,9.995610352E2
2.360359913E1,9.995634766E2
2.370358700E1,9.995612793E2
2.380357516E1,9.995759277E2
2.390356336E1,9.995727539E2
2.400355156E1,9.995703125E2
2.410353976E1,9.995820312E2
2.420352810E1,9.995878906E2
2.430351633E1,9.995961914E2
2.440350453E1,9.995913086E2
2.450349273E1,9.995961914E2
2.460348083E1,9.995966797E2
2.470346873E1,9.996008301E2
2.480345660E1,9.996013184E2
2.490344483E1,9.995998535E2
2.500343306E1,9.995998535E2
2.510342126E1,9.995993652E2
2.520340946E1,9.995957031E2
2.530339769E1,9.995986328E2
2.540338593E1,9.996040039E2
2.550337413E1,9.996057129E2
2.560336233E1,9.996074219E2
2.570335043E1,9.996174316E2
2.580333849E1,9.996135254E2
2.590332663E1,9.996115723E2
2.600331493E1,9.996032715E2
